sample	insert_reference	count	tissue
Guts_D25_P1	rover	42	Guts
Guts_D25_P1	springer	7	Guts
Guts_D25_P1	copia	3	Guts
Guts_D25_P1	Bari1	1	Guts
Guts_D25_P1	Burdock	1	Guts
Guts_D25_P1	hobo	1	Guts
Guts_D25_P2	rover	62	Guts
Guts_D25_P2	springer	6	Guts
Guts_D25_P2	copia	5	Guts
Guts_D25_P2	hobo	4	Guts
Guts_D25_P2	roo	2	Guts
Guts_D25_P2	Doc	1	Guts
Guts_D25_P2	I-element	1	Guts
Guts_D25_P2	S-element	1	Guts
Guts_D25_P2	diver	1	Guts
Guts_D25_P2	micropia	1	Guts
Heads_D25_P1	Stalker2	2	Heads
Heads_D25_P1	roo	2	Heads
Heads_D25_P1	rover	2	Heads
Heads_D25_P1	flea	1	Heads
Heads_D25_P1	gypsy2	1	Heads
Heads_D25_P1	hobo	1	Heads
Heads_D25_P2	Stalker	2	Heads
Heads_D25_P2	roo	2	Heads
Heads_D25_P2	17.6	1	Heads
Heads_D25_P2	Bari1	1	Heads
Heads_D25_P2	Stalker2	1	Heads
Heads_D25_P2	flea	1	Heads
Heads_D25_P2	jockey	1	Heads
