sample	insert_reference	count	tissue
Guts_D25_P1	rover	26	Guts
Guts_D25_P1	roo	15	Guts
Guts_D25_P1	Doc	8	Guts
Guts_D25_P1	297	6	Guts
Guts_D25_P1	412	6	Guts
Guts_D25_P1	F-element	5	Guts
Guts_D25_P1	opus	5	Guts
Guts_D25_P1	Transpac	4	Guts
Guts_D25_P1	copia	4	Guts
Guts_D25_P1	hobo	4	Guts
Guts_D25_P1	mdg1	4	Guts
Guts_D25_P1	springer	4	Guts
Guts_D25_P1	flea	3	Guts
Guts_D25_P1	3S18	2	Guts
Guts_D25_P1	Burdock	2	Guts
Guts_D25_P1	HMS-Beagle	2	Guts
Guts_D25_P1	I-element	2	Guts
Guts_D25_P1	Idefix	2	Guts
Guts_D25_P1	Quasimodo	2	Guts
Guts_D25_P1	Stalker2	2	Guts
Guts_D25_P1	Stalker4	2	Guts
Guts_D25_P1	Tirant	2	Guts
Guts_D25_P1	blood	2	Guts
Guts_D25_P1	Bari1	1	Guts
Guts_D25_P1	Cr1a	1	Guts
Guts_D25_P1	HeT-A	1	Guts
Guts_D25_P1	Ivk	1	Guts
Guts_D25_P1	Max-element	1	Guts
Guts_D25_P1	McClintock	1	Guts
Guts_D25_P1	R1A1-element	1	Guts
Guts_D25_P1	Rt1a	1	Guts
Guts_D25_P1	Rt1b	1	Guts
Guts_D25_P1	S-element	1	Guts
Guts_D25_P1	Stalker	1	Guts
Guts_D25_P1	Stalker3	1	Guts
Guts_D25_P1	TART-B	1	Guts
Guts_D25_P1	Tabor	1	Guts
Guts_D25_P1	accord	1	Guts
Guts_D25_P1	diver	1	Guts
Guts_D25_P1	gypsy	1	Guts
Guts_D25_P1	gypsy3	1	Guts
Guts_D25_P1	hopper	1	Guts
Guts_D25_P1	invader6	1	Guts
Guts_D25_P1	jockey	1	Guts
Guts_D25_P1	mdg3	1	Guts
Guts_D25_P1	micropia	1	Guts
Guts_D25_P1	pogo	1	Guts
Guts_D25_P2	rover	37	Guts
Guts_D25_P2	roo	18	Guts
Guts_D25_P2	F-element	8	Guts
Guts_D25_P2	Doc	7	Guts
Guts_D25_P2	copia	7	Guts
Guts_D25_P2	springer	7	Guts
Guts_D25_P2	412	6	Guts
Guts_D25_P2	R1A1-element	6	Guts
Guts_D25_P2	hobo	5	Guts
Guts_D25_P2	17.6	4	Guts
Guts_D25_P2	3S18	4	Guts
Guts_D25_P2	HMS-Beagle	4	Guts
Guts_D25_P2	flea	4	Guts
Guts_D25_P2	mdg1	4	Guts
Guts_D25_P2	micropia	4	Guts
Guts_D25_P2	opus	4	Guts
Guts_D25_P2	297	3	Guts
Guts_D25_P2	Quasimodo	3	Guts
Guts_D25_P2	blood	3	Guts
Guts_D25_P2	diver	3	Guts
Guts_D25_P2	pogo	3	Guts
Guts_D25_P2	S-element	2	Guts
Guts_D25_P2	Stalker	2	Guts
Guts_D25_P2	Tabor	2	Guts
Guts_D25_P2	Transpac	2	Guts
Guts_D25_P2	gypsy4	2	Guts
Guts_D25_P2	jockey	2	Guts
Guts_D25_P2	BS	1	Guts
Guts_D25_P2	Bari1	1	Guts
Guts_D25_P2	Burdock	1	Guts
Guts_D25_P2	Circe	1	Guts
Guts_D25_P2	Cr1a	1	Guts
Guts_D25_P2	Dm88	1	Guts
Guts_D25_P2	HMS-Beagle2	1	Guts
Guts_D25_P2	HeT-A	1	Guts
Guts_D25_P2	Helena	1	Guts
Guts_D25_P2	I-element	1	Guts
Guts_D25_P2	Idefix	1	Guts
Guts_D25_P2	Juan	1	Guts
Guts_D25_P2	Max-element	1	Guts
Guts_D25_P2	NOF	1	Guts
Guts_D25_P2	Porto1	1	Guts
Guts_D25_P2	Rt1a	1	Guts
Guts_D25_P2	S2	1	Guts
Guts_D25_P2	Stalker2	1	Guts
Guts_D25_P2	Tc1	1	Guts
Guts_D25_P2	X-element	1	Guts
Guts_D25_P2	aurora-element	1	Guts
Guts_D25_P2	gypsy3	1	Guts
Guts_D25_P2	hopper	1	Guts
Guts_D25_P2	invader1	1	Guts
Guts_D25_P2	invader3	1	Guts
Guts_D25_P2	invader4	1	Guts
Guts_D25_P2	mariner2	1	Guts
Guts_D25_P2	mdg3	1	Guts
Heads_D25_P1	roo	19	Heads
Heads_D25_P1	Doc	16	Heads
Heads_D25_P1	Tabor	10	Heads
Heads_D25_P1	Stalker	9	Heads
Heads_D25_P1	3S18	7	Heads
Heads_D25_P1	F-element	6	Heads
Heads_D25_P1	mdg3	6	Heads
Heads_D25_P1	Stalker2	5	Heads
Heads_D25_P1	Transpac	5	Heads
Heads_D25_P1	micropia	5	Heads
Heads_D25_P1	pogo	5	Heads
Heads_D25_P1	297	4	Heads
Heads_D25_P1	412	4	Heads
Heads_D25_P1	I-element	4	Heads
Heads_D25_P1	flea	4	Heads
Heads_D25_P1	jockey	4	Heads
Heads_D25_P1	17.6	3	Heads
Heads_D25_P1	NOF	3	Heads
Heads_D25_P1	Rt1b	3	Heads
Heads_D25_P1	blood	3	Heads
Heads_D25_P1	copia	3	Heads
Heads_D25_P1	1731	2	Heads
Heads_D25_P1	G-element	2	Heads
Heads_D25_P1	G5	2	Heads
Heads_D25_P1	HeT-A	2	Heads
Heads_D25_P1	Idefix	2	Heads
Heads_D25_P1	R1A1-element	2	Heads
Heads_D25_P1	S-element	2	Heads
Heads_D25_P1	X-element	2	Heads
Heads_D25_P1	mdg1	2	Heads
Heads_D25_P1	opus	2	Heads
Heads_D25_P1	BS	1	Heads
Heads_D25_P1	Burdock	1	Heads
Heads_D25_P1	Circe	1	Heads
Heads_D25_P1	Cr1a	1	Heads
Heads_D25_P1	Doc2-element	1	Heads
Heads_D25_P1	G2	1	Heads
Heads_D25_P1	HMS-Beagle	1	Heads
Heads_D25_P1	Helena	1	Heads
Heads_D25_P1	Max-element	1	Heads
Heads_D25_P1	McClintock	1	Heads
Heads_D25_P1	R2-element	1	Heads
Heads_D25_P1	Rt1a	1	Heads
Heads_D25_P1	TART-C	1	Heads
Heads_D25_P1	Tc1-2	1	Heads
Heads_D25_P1	accord	1	Heads
Heads_D25_P1	aurora-element	1	Heads
Heads_D25_P1	diver	1	Heads
Heads_D25_P1	gypsy	1	Heads
Heads_D25_P1	gypsy3	1	Heads
Heads_D25_P1	gypsy4	1	Heads
Heads_D25_P1	hopper	1	Heads
Heads_D25_P1	invader1	1	Heads
Heads_D25_P1	invader3	1	Heads
Heads_D25_P1	invader4	1	Heads
Heads_D25_P1	transib4	1	Heads
Heads_D25_P2	roo	27	Heads
Heads_D25_P2	F-element	20	Heads
Heads_D25_P2	Doc	18	Heads
Heads_D25_P2	R1A1-element	17	Heads
Heads_D25_P2	Stalker	13	Heads
Heads_D25_P2	412	11	Heads
Heads_D25_P2	copia	10	Heads
Heads_D25_P2	Tabor	9	Heads
Heads_D25_P2	Transpac	9	Heads
Heads_D25_P2	297	8	Heads
Heads_D25_P2	S-element	7	Heads
Heads_D25_P2	Stalker3	7	Heads
Heads_D25_P2	mdg3	7	Heads
Heads_D25_P2	Quasimodo	5	Heads
Heads_D25_P2	hobo	5	Heads
Heads_D25_P2	hopper	5	Heads
Heads_D25_P2	opus	5	Heads
Heads_D25_P2	HMS-Beagle	4	Heads
Heads_D25_P2	I-element	4	Heads
Heads_D25_P2	Idefix	4	Heads
Heads_D25_P2	R2-element	4	Heads
Heads_D25_P2	accord	4	Heads
Heads_D25_P2	flea	4	Heads
Heads_D25_P2	gypsy6	4	Heads
Heads_D25_P2	17.6	3	Heads
Heads_D25_P2	Burdock	3	Heads
Heads_D25_P2	X-element	3	Heads
Heads_D25_P2	blood	3	Heads
Heads_D25_P2	gypsy4	3	Heads
Heads_D25_P2	rover	3	Heads
