,Transposable Element,TSD length
0,blood,3
1,GATE,23
2,mdg1,22
3,Tabor,23
4,HMS-Beagle,25
5,copia,7
6,Stalker4,49
7,opus,25
8,copia,5
9,diver,25
10,opus,31
11,baggins,35
12,gypsy4,35
13,copia,5
14,copia,4
15,Tabor,31
16,invader4,18
17,R1A1-element,14
18,opus,16
19,roo,4
20,jockey,11
21,mdg1,16
22,297,5
23,297,5
24,INE-1,45
25,Porto1,27
26,copia,5
27,opus,23
28,blood,3
29,Doc,12
30,297,4
31,297,4
32,297,5
33,Tabor,27
34,Doc,3
35,copia,6
36,mdg1,25
37,opus,20
38,mdg1,31
39,jockey,13
40,opus,23
41,297,5
42,I-element,13
43,HMS-Beagle2,25
44,297,5
45,Tabor,25
46,297,5
47,copia,4
48,HMS-Beagle,25
49,copia,5
50,copia,5
51,roo,5
52,opus,25
53,copia,4
54,mdg1,22
55,S-element,11
56,copia,5
57,copia,5
58,roo,4
59,roo,7
60,297,4
61,copia,6
62,Tabor,22
63,Tabor,19
64,Tc3,17
65,Stalker2,23
66,F-element,38
67,blood,3
68,jockey,11
69,Max-element,34
70,1360,48
71,Stalker4,12
72,Tc1-2,31
73,roo,8
74,1360,2
75,roo,4
76,pogo,2
77,copia,4
78,copia,6
79,mdg1,25
80,Tabor,27
81,Doc,12
82,Stalker4,37
83,mdg1,35
84,roo,4
85,17.6,5
86,copia,5
87,F-element,25
88,roo,25
89,invader4,6
90,R1A1-element,31
91,BS,13
92,F-element,3
93,roo,4
94,opus,24
95,roo,5
96,Rt1b,32
