,Transposable Element,TSD length
0,rover,4
1,Rt1b,16
2,Transpac,44
3,rover,4
4,Max-element,24
5,rover,5
6,rover,4
7,412,38
8,springer,3
9,rover,4
10,rover,4
11,gypsy3,16
12,rover,5
13,Tabor,30
14,I-element,11
15,copia,4
16,rover,5
17,rover,4
18,F-element,27
19,rover,4
20,rover,4
21,rover,4
22,copia,7
23,rover,4
24,rover,7
25,rover,5
26,rover,5
27,rover,5
28,rover,5
29,rover,7
30,rover,5
31,copia,5
32,rover,4
33,rover,5
34,rover,5
35,copia,8
36,rover,3
37,copia,6
38,rover,4
39,I-element,13
40,rover,5
41,rover,5
42,rover,6
43,rover,4
44,rover,6
45,rover,8
46,rover,5
47,rover,4
48,rover,5
49,rover,5
50,rover,4
51,rover,3
52,rover,5
53,rover,4
54,rover,4
55,rover,5
56,rover,5
57,rover,5
58,rover,5
59,rover,4
60,rover,4
61,rover,6
62,rover,7
63,rover,6
64,rover,3
65,rover,5
66,rover,6
67,rover,5
68,rover,4
69,rover,6
70,rover,5
71,rover,4
72,rover,5
73,copia,4
74,rover,4
75,rover,5
76,copia,5
77,copia,5
78,rover,9
79,rover,7
80,rover,4
81,rover,5
82,rover,4
83,rover,5
84,rover,4
85,rover,5
86,rover,4
87,rover,5
88,rover,5
89,rover,1
90,rover,7
91,rover,5
92,rover,6
93,rover,5
94,rover,4
95,rover,5
96,rover,6
97,rover,5
98,rover,6
99,rover,6
100,rover,5
101,copia,4
102,rover,5
103,rover,6
104,rover,5
105,Dm88,7
106,rover,6
107,rover,5
108,rover,5
109,rover,11
110,rover,7
111,copia,5
112,copia,4
113,rover,4
114,rover,7
115,rover,5
116,rover,2
117,rover,5
118,copia,12
119,copia,5
120,copia,4
121,rover,6
122,rover,5
123,rover,4
124,17.6,5
125,rover,5
126,rover,4
127,rover,1
128,rover,4
129,rover,4
130,rover,5
131,rover,4
132,rover,7
133,rover,4
134,rover,5
135,Doc,10
136,rover,5
137,rover,6
138,I-element,13
139,rover,5
140,rover,5
141,rover,1
142,F-element,20
143,rover,4
144,rover,8
145,rover,5
146,rover,4
147,rover,4
148,copia,4
149,rover,5
150,rover,6
151,rover,5
152,rover,5
153,rover,5
154,rover,5
155,rover,5
156,rover,5
157,rover,5
158,Quasimodo,43
159,copia,4
160,copia,48
161,I-element,12
162,opus,41
163,flea,2
164,rover,5
165,rover,4
166,X-element,48
167,copia,6
168,copia,4
169,copia,4
170,Burdock,6
171,FB,37
172,ZAM,9
173,flea,42
174,F-element,49
175,rover,5
176,rover,4
177,rover,5
178,copia,6
179,copia,6
180,rover,9
181,gypsy12,5
182,rover,5
183,rover,4
184,rover,5
185,Max-element,46
186,rover,5
187,rover,5
188,diver,5
189,copia,4
190,rover,5
191,rover,6
192,rover,5
193,rover,4
194,297,14
195,rover,6
196,rover,5
197,rover,4
198,rover,4
199,copia,4
200,rover,5
201,blood,3
202,copia,4
203,rover,5
204,rover,5
205,rover,5
206,rover,5
207,I-element,12
208,rover,7
209,diver,4
210,I-element,10
211,roo,37
212,rover,5
213,rover,4
214,rover,5
215,rover,5
216,rover,4
217,I-element,10
218,rover,9
219,copia,5
220,jockey,14
221,rover,5
222,rover,6
223,rover,3
224,rover,5
225,copia,5
226,rover,5
227,rover,3
228,copia,5
229,rover,4
230,I-element,13
231,rover,5
232,rover,5
233,copia,4
234,Transpac,4
235,copia,4
236,rover,5
237,I-element,6
238,blood,3
239,I-element,16
240,rover,4
241,rover,5
242,rover,5
243,roo,32
244,rover,6
245,jockey,10
246,rover,5
247,rover,4
248,rover,4
249,FB,9
250,rover,5
251,rover,5
252,rover,5
253,rover,6
254,blood,3
255,I-element,13
256,rover,5
257,rover,1
258,rover,5
259,rover,5
260,rover,5
261,rover,5
262,rover,6
263,rover,4
264,rover,6
265,rover,5
266,rover,4
267,rover,5
268,I-element,15
269,rover,5
270,rover,4
271,rover,6
272,rover,4
273,rover,5
274,rover,4
275,copia,5
276,rover,7
277,rover,5
278,rover,4
279,rover,5
280,rover,4
281,rover,5
282,copia,5
283,copia,6
284,S-element,1
285,rover,5
286,rover,6
287,diver,5
288,copia,5
289,copia,5
290,rover,4
291,copia,5
292,rover,4
293,rover,4
294,rover,4
295,rover,6
296,rover,5
297,rover,1
298,rover,6
299,rover,5
300,copia,4
301,rover,5
302,rover,4
303,rover,12
304,copia,4
305,rover,4
306,copia,4
307,rover,4
308,rover,5
309,copia,4
310,copia,6
311,rover,4
312,I-element,12
313,rover,5
314,copia,5
315,rover,6
316,rover,5
317,rover,7
318,blood,3
319,copia,4
320,rover,5
321,I-element,11
322,copia,4
323,rover,4
324,rover,3
325,rover,5
326,rover,5
327,rover,5
328,rover,5
329,copia,6
330,rover,5
331,copia,5
332,rover,5
333,rover,3
334,rover,6
335,rover,3
336,rover,5
337,rover,5
338,copia,4
339,rover,5
340,I-element,13
341,rover,5
342,copia,5
343,rover,5
344,rover,5
345,rover,1
346,rover,4
347,rover,4
348,rover,3
349,rover,4
350,copia,4
351,rover,5
352,rover,5
353,rover,4
354,rover,4
355,rover,4
356,rover,5
357,rover,3
358,rover,6
359,blood,4
360,rover,5
361,rover,5
362,rover,5
363,copia,5
364,rover,4
365,rover,4
366,rover,3
367,rover,4
368,I-element,12
369,rover,5
370,rover,1
371,rover,4
372,rover,5
373,rover,5
374,rover,5
375,rover,5
376,rover,5
377,rover,5
378,rover,5
379,rover,4
380,rover,5
381,rover,5
382,rover,5
383,copia,4
384,rover,5
385,rover,4
386,rover,5
387,rover,5
388,rover,5
389,rover,4
390,rover,6
391,rover,6
392,rover,11
393,rover,4
394,rover,6
395,rover,5
396,rover,5
397,rover,5
398,diver,7
399,rover,6
400,rover,5
401,rover,5
402,rover,5
403,rover,5
404,rover,5
405,rover,5
406,rover,5
407,rover,5
408,rover,4
409,rover,4
410,rover,5
411,rover,4
412,rover,5
413,rover,5
414,rover,6
415,rover,5
416,rover,4
417,copia,5
418,I-element,12
419,rover,4
420,rover,5
421,rover,5
422,rover,5
423,rover,5
424,rover,5
425,rover,5
426,rover,5
427,rover,5
428,rover,6
429,I-element,10
430,rover,5
431,rover,5
432,rover,5
433,diver,4
434,rover,5
435,1731,8
436,rover,5
437,roo,4
438,rover,7
439,rover,4
440,copia,5
441,rover,4
442,rover,4
443,rover,3
444,rover,6
445,diver,5
446,rover,5
447,rover,5
448,copia,4
449,rover,6
450,rover,5
451,copia,5
452,rover,4
453,rover,5
454,rover,6
455,rover,5
456,copia,5
457,copia,4
458,rover,5
459,copia,10
460,copia,4
461,copia,5
462,copia,5
463,copia,5
464,copia,5
465,rover,5
466,copia,4
467,rover,4
468,copia,5
469,copia,5
470,rover,6
471,copia,5
472,copia,4
473,rover,6
474,rover,7
475,rover,5
476,rover,4
477,I-element,13
478,rover,1
479,rover,4
480,rover,5
481,copia,30
