Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	0.21905432102785835	-16.609640474436812
H2Av	wt	Adult	0.3040952866578252	0.2390312592406966
H2Bubi	wt	Adult	1.3585524522810228	1.962672193390392
H3	wt	Adult	0.5800165197821227	-4.325112265029256
H3K18ac	wt	Adult	3.5225928818890324	4.026133254009674
H3K23ac	wt	Adult	0.3252767592672791	0.4562233793141628
H3K27ac	wt	Adult	1.4757470877459138	2.1396259671351423
H3K27me1	wt	Adult	0.8483346991241518	1.4504049427324894
H3K27me2	wt	Adult	0.12113278147520785	0.24479991204655174
H3K27me3	wt	Adult	0.36154192207526004	-5.3949192501563275
H3K36me1	wt	Adult	2.3059030437147148	2.8340955917787256
H3K36me2	wt	Adult	0.6561601712192059	-16.609640474436812
H3K36me3	wt	Adult	0.4275609082154985	-16.609640474436812
H3K4me1	wt	Adult	1.17282735311819	1.7945574061818566
H3K4me2	wt	Adult	1.0380926546601297	1.7164323867981512
H3K4me3	wt	Adult	0.5937223564820029	1.230358672885412
H3K79me1	wt	Adult	0.11536906151990178	0.15931242255676817
H3K79me2	wt	Adult	0.5623159270309883	0.9950187317773492
H3K79me3	wt	Adult	1.7703224801700854	2.3749939659187707
H3K9ac	wt	Adult	0.9221716615349695	1.5122382323430488
H3K9acS10P	wt	Adult	0.43694601002524375	0.8122939626699393
H3K9me1	wt	Adult	1.597404773942322	2.297190891848148
H3K9me2	wt	Adult	0.0	-0.3492399442751377
H3K9me3	wt	Adult	0.28273406398488743	-16.609640474436812
H4K16ac	wt	Adult	0.27002024835749583	-10.493719111824035
H4K20me1	wt	Adult	1.7690572387946688	2.370221352893667
H4K8ac	wt	Adult	1.3029180346354583	1.9387339213702888
HP1a	wt	Adult	0.0	-0.28517720080177167
HP1b	wt	Adult	1.1709338679229617	2.013306618323972
HP1c	wt	Adult	1.5803083838985292	2.4641576935083696
HP2	wt	Adult	0.6436940266099037	1.3422674359845006
JHDM1	wt	Adult	0.18058682885786692	0.4557863604540535
KDM4A	wt	Adult	0.5777435483831355	1.0721016235081897
LSD1	wt	Adult	3.980944352647311	inf
POF	wt	Adult	1.097806974683369	1.9221300144119524
PolII	wt	Adult	0.9150561481587438	1.608745760119023
RPD3	wt	Adult	0.9130190607271157	1.6514924697410602
Su(var)3-7	wt	Adult	0.06962600815827501	-5.872141437306461
dSFMBT	wt	Adult	0.5646114726970572	1.1501024055278413
