Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
BEAF32A-and-BEAF42B	wt	Embryo	0.0	0.79137250850038
CP190	wt	Embryo	0.0	-16.609640474436812
CTCF	wt	Embryo	0.0	-16.609640474436812
Chriz	wt	Embryo	0.010960443377076684	-4.569540909369498
GAF	wt	Embryo	0.0	1.4453973503818114
H1	wt	Embryo	0.0	-12.812453747144886
H2Av	wt	Embryo	0.0	-0.22040415990141946
H2Bubi	wt	Embryo	0.1472481375447845	1.6628091524472595
H3	wt	Embryo	0.0	-5.285396126307006
H3K18ac	wt	Embryo	1.5264424317311638	3.552911207463362
H3K23ac	wt	Embryo	0.011916533392152666	0.37501222152069524
H3K27ac	wt	Embryo	2.8590239072287207	5.176107081743123
H3K27me2	wt	Embryo	0.0	-0.3578858275101034
H3K27me3	wt	Embryo	0.0	0.16460381778377817
H3K36me1	wt	Embryo	1.2763416999147754	3.251633946839528
H3K36me2	wt	Embryo	0.0	-0.7213527796312217
H3K36me3	wt	Embryo	0.0	-16.609640474436812
H3K4me1	wt	Embryo	2.8846956778213184	inf
H3K4me3	wt	Embryo	0.0	1.0141325440602222
H3K79me1	wt	Embryo	0.8102463970510502	2.658859790774537
H3K79me2	wt	Embryo	0.0	1.2035381805107799
H3K79me3	wt	Embryo	0.5047463731141729	2.304848270533277
H3K9acS10P	wt	Embryo	0.0	0.031364710953656894
H3K9me1	wt	Embryo	0.10578123694506553	1.8636284367336768
H3K9me2	wt	Embryo	0.0	-16.609640474436812
H3K9me3	wt	Embryo	0.0	-16.609640474436812
H4	wt	Embryo	0.0	-1.5818736090841983
H4K16ac	wt	Embryo	0.0	-4.525308056365694
H4K20me1	wt	Embryo	0.09151286033301809	1.5534986386456904
HP1a	wt	Embryo	0.0	-16.609640474436812
HP1b	wt	Embryo	0.32375769133116594	-3.834939450193224
HP1c	wt	Embryo	0.5924484648085385	2.651473677042497
HP2	wt	Embryo	0.0	-12.463410856314134
HP4	wt	Embryo	0.0	-16.609640474436812
JHDM1	wt	Embryo	0.01771706825377912	-10.555141355629807
LSD1	wt	Embryo	0.602142738361226	2.6967864079293205
MBD-R2	wt	Embryo	0.0	1.300093811264104
MOF	wt	Embryo	0.0	-10.899071717708265
NURF301	wt	Embryo	0.0010548069372038717	1.3766800982767595
ORC2	wt	Embryo	0.0	-16.609640474436812
POF	wt	Embryo	0.0	-10.429954957794022
Pc	wt	Embryo	0.0	-7.725002415364614
PolII	wt	Embryo	0.0	-10.812847504965085
Psc	wt	Embryo	0.0	-16.609640474436812
RPD3	wt	Embryo	0.0	-5.347585136786642
Su(Hw)	wt	Embryo	0.0	-16.609640474436812
Su(var)3-7	wt	Embryo	0.0	-0.2910295322437957
ZW5	wt	Embryo	0.0	-16.609640474436812
dMi-2	wt	Embryo	0.11415947868150318	-4.296833844171952
dRING	wt	Embryo	0.0	-11.005878180861416
