Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	0.0	-16.609640474436812
ASH-1	wt	S2	enriched	0.9924259151172866	3.3628715833949308
BEAF-32	wt	S2	enriched	0.12118407502749035	-10.758888368854597
CG10630	wt	S2	enriched	0.0	-16.609640474436812
CP190	wt	S2	enriched	0.0	-16.609640474436812
CTCF	wt	S2	enriched	0.0	-16.609640474436812
Chriz	wt	S2	enriched	0.10664557891605468	-16.609640474436812
Enhancer-of-zeste	wt	S2	enriched	0.0	-16.609640474436812
GAF	wt	S2	enriched	1.5452681926496161	2.772041877487699
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	0.03060617143390814	-2.7054628251430484
H2BK5ac	wt	S2	enriched	0.5363458640281723	1.0840710699377119
H2Bubi	wt	S2	enriched	1.403567857650918	2.1033331345550956
H3	wt	S2	enriched	0.0	-16.609640474436812
H3K18ac	wt	S2	enriched	2.1055011732529687	2.875978567393953
H3K23ac	wt	S2	enriched	0.34894281152189943	-7.148486198452908
H3K27ac	wt	S2	enriched	1.894923522813067	2.760015835501765
H3K27me1	wt	S2	enriched	1.0082336082427452	1.762565682017398
H3K27me2	wt	S2	enriched	0.7291417503767591	-6.785952545089058
H3K27me3	wt	S2	enriched	0.21447797881399727	-16.609640474436812
H3K36me1	wt	S2	enriched	4.100874706095836	4.112033670547155
H3K36me3	wt	S2	enriched	0.24940334499207736	-8.025436624916304
H3K4me1	wt	S2	enriched	2.4024341588859457	2.95757872332221
H3K4me2	wt	S2	enriched	0.998011608015783	1.745623783497904
H3K4me3	wt	S2	enriched	0.1599728224927645	-7.936621707062621
H3K79me1	wt	S2	enriched	0.29183616552982755	-10.793104433885924
H3K79me2	wt	S2	enriched	1.4651719740418274	2.2843945577259355
H3K79me3	wt	S2	enriched	0.3884466203844978	1.05589669754968
H3K9ac	wt	S2	enriched	0.6012000560613597	1.052918989470035
H3K9acS10P	wt	S2	enriched	0.5940904299560819	1.913419863105125
H3K9me1	wt	S2	enriched	1.4622764972640052	2.2172494918052035
H3K9me2	wt	S2	enriched	0.21452450893467484	-16.609640474436812
H3K9me3	wt	S2	enriched	0.0	-16.609640474436812
H4	wt	S2	enriched	0.0	-16.609640474436812
H4K12ac	wt	S2	enriched	0.6772226852967932	1.434033014013602
H4K16ac	wt	S2	enriched	0.3467982098099792	-7.5685737520411935
H4K20me1	wt	S2	enriched	1.0926208900130991	2.331708082397994
H4K5ac	wt	S2	enriched	1.9965394678904935	2.76256355603471
H4K8ac	wt	S2	enriched	2.7607005208731077	3.2591233129453827
H4acTetra	wt	S2	enriched	1.2131705254030447	2.0779299957701762
HP1a	wt	S2	enriched	0.0	-16.609640474436812
HP1b	wt	S2	enriched	0.5299570511656292	1.6565462376485285
HP1c	wt	S2	enriched	0.9798122317675153	2.3916042277096294
HP2	wt	S2	enriched	0.0	-16.609640474436812
HP4	wt	S2	enriched	0.0	-16.609640474436812
ISWI	wt	S2	enriched	0.14331773969522305	-8.01958391416268
JHDM1	wt	S2	enriched	0.290146009322778	-7.375231021009206
JIL-1	wt	S2	enriched	0.10562953861680709	-16.609640474436812
KDM4A	wt	S2	enriched	0.517894362445216	1.602897361958612
LSD1	wt	S2	enriched	3.3693059574425988	3.8221189040011736
MBD-R2	wt	S2	enriched	0.3366346875983521	-4.549502727689572
MCM2-7	wt	S2	enriched	0.0	-16.609640474436812
MLE	wt	S2	enriched	0.7411049698642773	2.4686629359782093
MOF	wt	S2	enriched	0.5118725037525416	1.5840051954693444
MRG15	wt	S2	enriched	0.7173856486624468	1.5282043379904624
MSL-1	wt	S2	enriched	0.0	-16.609640474436812
NURF301	wt	S2	enriched	0.0	-16.609640474436812
ORC2	wt	S2	enriched	0.0	-16.609640474436812
PCL	wt	S2	enriched	0.0	-16.609640474436812
POF	wt	S2	enriched	0.8789293903968186	-2.5289729783164696
PR-Set7	wt	S2	enriched	0.5375121573642679	1.6884086646394771
Pc	wt	S2	enriched	0.4112384301929436	1.1573692345388618
Pho	wt	S2	enriched	0.7963960484955079	2.678750263116432
PolII	wt	S2	enriched	0.6158711272901751	-2.7067357610755653
Psc	wt	S2	enriched	0.0	-16.609640474436812
RPD3	wt	S2	enriched	0.5342009013268205	1.674917071206728
Replication-Origin	wt	S2	enriched	0.8533759111759944	1.8383507708976952
Rhino	wt	S2	enriched	0.6997306854696437	2.3196208242113707
SPT16	wt	S2	enriched	1.4404312013873282	3.1286307889842067
Smc3	wt	S2	enriched	0.6959877779417794	2.3038943127800433
Su(Hw)	wt	S2	enriched	0.0	-16.609640474436812
Su(var)3-7	wt	S2	enriched	0.0	-16.609640474436812
Su(var)3-9	wt	S2	enriched	0.0	-16.609640474436812
WDS	wt	S2	enriched	0.32939238557059475	0.7815779374328711
ZW5	wt	S2	enriched	0.2913804392663095	-7.370277385699584
dMi-2	wt	S2	enriched	1.1097692663866707	2.3594036958004714
dRING	wt	S2	enriched	0.0	-16.609640474436812
dSFMBT	wt	S2	enriched	1.1017411675815756	2.3502171673322816
dmTopo-II	wt	S2	enriched	2.0999716985496577	3.2767958933306303
mod(mdg4)	wt	S2	enriched	0.0	-16.609640474436812
