Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
BEAF32A-and-BEAF42B	wt	Embryo	0.0	-16.609640474436812
CP190	wt	Embryo	0.0	-16.609640474436812
CTCF	wt	Embryo	0.0	-16.609640474436812
Chriz	wt	Embryo	0.0	-16.609640474436812
GAF	wt	Embryo	0.0	-16.609640474436812
H1	wt	Embryo	0.04137627803396405	inf
H2Av	wt	Embryo	0.0	-16.609640474436812
H2Bubi	wt	Embryo	0.0	-16.609640474436812
H3	wt	Embryo	0.0	-16.609640474436812
H3K18ac	wt	Embryo	0.0	-16.609640474436812
H3K23ac	wt	Embryo	0.0	-16.609640474436812
H3K27ac	wt	Embryo	0.0	-16.609640474436812
H3K27me2	wt	Embryo	0.0	-16.609640474436812
H3K27me3	wt	Embryo	0.2541252848474232	inf
H3K36me1	wt	Embryo	0.23400084179526445	inf
H3K36me2	wt	Embryo	0.0	-16.609640474436812
H3K36me3	wt	Embryo	0.0	-16.609640474436812
H3K4me1	wt	Embryo	0.0	-16.609640474436812
H3K4me3	wt	Embryo	0.07002796386751282	inf
H3K79me1	wt	Embryo	0.0	-16.609640474436812
H3K79me2	wt	Embryo	0.0	-16.609640474436812
H3K79me3	wt	Embryo	0.0	-16.609640474436812
H3K9acS10P	wt	Embryo	0.1275934977630392	inf
H3K9me1	wt	Embryo	0.0847084282824744	inf
H3K9me2	wt	Embryo	0.0	-16.609640474436812
H3K9me3	wt	Embryo	0.0	-16.609640474436812
H4	wt	Embryo	0.0	-16.609640474436812
H4K16ac	wt	Embryo	0.0	-16.609640474436812
H4K20me1	wt	Embryo	0.0	-16.609640474436812
HP1a	wt	Embryo	0.0	-16.609640474436812
HP1b	wt	Embryo	0.0	-16.609640474436812
HP1c	wt	Embryo	0.0	-16.609640474436812
HP2	wt	Embryo	0.0	-16.609640474436812
HP4	wt	Embryo	0.0	-16.609640474436812
JHDM1	wt	Embryo	0.0	-16.609640474436812
LSD1	wt	Embryo	0.0	-16.609640474436812
MBD-R2	wt	Embryo	0.0	-16.609640474436812
MOF	wt	Embryo	0.0	-16.609640474436812
NURF301	wt	Embryo	0.0	-16.609640474436812
ORC2	wt	Embryo	0.0	-16.609640474436812
POF	wt	Embryo	0.0	-16.609640474436812
Pc	wt	Embryo	0.0	-16.609640474436812
PolII	wt	Embryo	0.0	-16.609640474436812
Psc	wt	Embryo	0.0	-16.609640474436812
RPD3	wt	Embryo	0.0	-16.609640474436812
Su(Hw)	wt	Embryo	0.0	-16.609640474436812
Su(var)3-7	wt	Embryo	0.0	-16.609640474436812
ZW5	wt	Embryo	0.0	-16.609640474436812
dMi-2	wt	Embryo	0.0	-16.609640474436812
dRING	wt	Embryo	0.0	-16.609640474436812
