Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	0.3968914272064132	-5.973798096005477
H2Av	wt	Adult	0.760038587018662	-1.9272250658989716
H2Bubi	wt	Adult	0.5374726347255779	0.8014853657531292
H3	wt	Adult	0.3689995933896631	-4.852198603125255
H3K18ac	wt	Adult	4.471997252836418	3.219507054328016
H3K23ac	wt	Adult	1.3785945046725168	1.4837626323828712
H3K27ac	wt	Adult	2.7460396477707225	2.3168885291366386
H3K27me1	wt	Adult	3.194243412889996	2.5579778778671707
H3K27me2	wt	Adult	0.04111641193840102	-0.24988245249059915
H3K27me3	wt	Adult	0.5830604207195099	-1.1143396121610059
H3K36me1	wt	Adult	6.716326462752485	4.508349825337072
H3K36me2	wt	Adult	0.30979248792061603	-1.1324160476957832
H3K36me3	wt	Adult	1.0298857606320049	-16.609640474436812
H3K4me1	wt	Adult	1.1299022829208407	1.3261785968652973
H3K4me2	wt	Adult	1.0856516290032598	1.2776226945974356
H3K4me3	wt	Adult	0.34572001182086143	0.6421323433133495
H3K79me1	wt	Adult	1.071096819476029	1.2637293516015522
H3K79me2	wt	Adult	1.1045398815685858	1.3529846308562086
H3K79me3	wt	Adult	1.0861893845868276	1.2514776092023288
H3K9ac	wt	Adult	0.7622292566674288	0.8616567242451582
H3K9acS10P	wt	Adult	1.1372500433903066	1.4146084278445377
H3K9me1	wt	Adult	1.985973884294088	1.9927835794078745
H3K9me2	wt	Adult	1.199993941619655	-7.195828942432652
H3K9me3	wt	Adult	0.4781570976972625	-6.605792980710114
H4K16ac	wt	Adult	0.20374080692277094	0.15288163184165868
H4K20me1	wt	Adult	0.2938245075295306	0.5155487552029855
H4K8ac	wt	Adult	2.6805622918571306	2.339563767265665
HP1a	wt	Adult	0.4233693570621711	-6.483948798239125
HP1b	wt	Adult	0.30683841154429986	0.5799006542915257
HP1c	wt	Adult	0.3224400735432527	0.27714946567524024
HP2	wt	Adult	0.3124366196787407	0.5731339529877786
JHDM1	wt	Adult	0.1316020556993235	0.21178618973736182
KDM4A	wt	Adult	0.14625670706059815	0.2307204050163899
LSD1	wt	Adult	3.049853142029557	2.49101318393947
POF	wt	Adult	0.68750498036139	0.6666958975949336
PolII	wt	Adult	0.530565882919932	0.8677023956136264
RPD3	wt	Adult	1.2817266311771702	1.4641106246293571
Su(var)3-7	wt	Adult	0.871464246475414	1.1540857855484872
dSFMBT	wt	Adult	1.2427852138596671	1.5042933066152562
