Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
BEAF32A-and-BEAF42B	wt	Embryo	0.2705049321356876	-16.609640474436812
CP190	wt	Embryo	0.7882062582193581	1.3344436851123829
CTCF	wt	Embryo	0.4840310107974343	1.0928774102197656
Chriz	wt	Embryo	0.0	-0.18799859212923384
GAF	wt	Embryo	2.5010346761650575	2.3913913295669134
H1	wt	Embryo	0.16868411283908524	-13.71301587918089
H2Av	wt	Embryo	0.7446559468846562	-9.22576938610714
H2Bubi	wt	Embryo	0.5488710948745731	0.8470936517398842
H3	wt	Embryo	0.0380829228980192	-11.009235221723927
H3K18ac	wt	Embryo	5.514154993758075	3.6762995196354713
H3K23ac	wt	Embryo	0.5640437636381442	0.9021817091477907
H3K27ac	wt	Embryo	6.68181100637744	4.237515824543677
H3K27me2	wt	Embryo	0.3321527025378644	-0.2604193071813528
H3K27me3	wt	Embryo	0.4629399773642719	-16.609640474436812
H3K36me1	wt	Embryo	5.690418942500855	3.645894943014158
H3K36me2	wt	Embryo	0.5938723371067417	-1.929892321781419
H3K36me3	wt	Embryo	0.9586293188580495	-16.609640474436812
H3K4me1	wt	Embryo	4.068515868002485	3.0409481783637085
H3K4me3	wt	Embryo	0.7567745988981139	1.1086201166383693
H3K79me1	wt	Embryo	1.5624405320084394	1.6072624328034764
H3K79me2	wt	Embryo	0.5144424327124107	0.9843956098203593
H3K79me3	wt	Embryo	1.9027401394713441	1.818175121159456
H3K9acS10P	wt	Embryo	0.6070935312478993	-5.185285135726127
H3K9me1	wt	Embryo	0.45852273040604125	0.5616856628781947
H3K9me2	wt	Embryo	0.6793486249103848	-16.609640474436812
H3K9me3	wt	Embryo	0.0985378911488195	-1.0490694247526016
H4	wt	Embryo	0.16251890902880547	-0.47594527985870627
H4K16ac	wt	Embryo	0.28038715415467097	0.6198968307950877
H4K20me1	wt	Embryo	0.996494255180988	1.2055663858701984
HP1a	wt	Embryo	0.43214618674932714	0.7284491309808079
HP1b	wt	Embryo	0.2708249598938974	0.6160793762693122
HP1c	wt	Embryo	0.06713486474992726	-5.7480736610771785
HP2	wt	Embryo	0.10826504415976962	0.028623843486023537
HP4	wt	Embryo	0.26942020921091375	-16.609640474436812
JHDM1	wt	Embryo	1.3545248964207788	1.569560828448701
LSD1	wt	Embryo	3.4382753101987227	2.9908113481767367
MBD-R2	wt	Embryo	0.6166069193527427	-4.814252433662827
MOF	wt	Embryo	1.590059920263614	2.069087522396604
NURF301	wt	Embryo	0.7580348155056442	1.1356029531214957
ORC2	wt	Embryo	0.0	-16.609640474436812
POF	wt	Embryo	0.1060118470017723	-10.903445049546596
Pc	wt	Embryo	0.20749274921612487	-16.609640474436812
PolII	wt	Embryo	1.8303882127742088	1.9294833595152205
Psc	wt	Embryo	0.5383800283152739	1.100433367959212
RPD3	wt	Embryo	0.05083173489089459	0.04886153974156315
Su(Hw)	wt	Embryo	0.06624679754177365	-5.933004600951251
Su(var)3-7	wt	Embryo	1.246130016624354	1.4390978254722124
ZW5	wt	Embryo	0.0	-16.609640474436812
dMi-2	wt	Embryo	2.2438135338938436	2.197323543678722
dRING	wt	Embryo	0.575352877059399	0.932495155030236
