Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Larvae	0.08348048566207829	-0.007516139990639344
H2Av	wt	Larvae	1.2756593891496681	-11.889762187203663
H2Bubi	wt	Larvae	0.6338909927314182	0.8982307759116798
H3	wt	Larvae	0.9095075615638368	-1.477615772948205
H3K23ac	wt	Larvae	0.8234338530014057	1.0979823340417918
H3K27ac	wt	Larvae	2.690811901924149	2.2921394323406066
H3K27me1	wt	Larvae	1.8316719143804157	1.8299201231395321
H3K27me2	wt	Larvae	0.34614155635903227	0.5262205421236831
H3K27me3	wt	Larvae	0.6099723733319623	-16.609640474436812
H3K36me1	wt	Larvae	3.0787635931345663	2.492978705021322
H3K36me3	wt	Larvae	1.034105792906648	-16.609640474436812
H3K4me1	wt	Larvae	2.8478149286595826	2.380984747969765
H3K4me2	wt	Larvae	1.411344505525945	1.5958838607440786
H3K4me3	wt	Larvae	0.3079739249481685	0.6442042727745628
H3K79me1	wt	Larvae	1.0242956879278915	1.2205445240021355
H3K79me2	wt	Larvae	1.3011957469248232	1.4665438038633738
H3K79me3	wt	Larvae	1.1887892360126129	1.368911552828589
H3K9ac	wt	Larvae	1.606980256859467	1.6952259550371054
H3K9acS10P	wt	Larvae	2.856042363477996	2.3997308480400616
H3K9me1	wt	Larvae	2.9331965255248815	2.4783840791395044
H3K9me2	wt	Larvae	0.8915443952903926	-16.609640474436812
H3K9me3	wt	Larvae	0.7426143091370286	-16.609640474436812
H4K16ac	wt	Larvae	0.25010682314940896	-5.303493349406192
H4K20me1	wt	Larvae	0.8975931872881739	1.1567041638527236
H4K8ac	wt	Larvae	5.349010528601499	3.50334418424165
HP1a	wt	Larvae	0.4545016603850894	-11.486839091517721
HP1b	wt	Larvae	0.7345385041087104	1.029875356981823
HP1c	wt	Larvae	1.2228096437408682	1.5333501799294698
HP2	wt	Larvae	0.23854881492444954	-0.9594917709999566
KDM4A	wt	Larvae	0.6222135698455372	0.5212351613112497
LSD1	wt	Larvae	4.089492086766833	2.9739709986310294
ORC2	wt	Larvae	0.4856158671186441	1.4098871921698388
POF	wt	Larvae	0.09811890913762301	0.03496369579235777
PolII	wt	Larvae	0.9143849604292651	1.2134296357385217
RPD3	wt	Larvae	0.09840208087831788	-0.16685400035831552
Replication-Origin	wt	Larvae	0.6307112322865954	0.7231942408814205
Smc3	wt	Larvae	0.3970859805637244	-5.648731958002409
Su(var)3-7	wt	Larvae	0.6489476729108623	0.9755912551659559
Su(var)3-9	wt	Larvae	0.03433151981500427	-0.590332952456314
dSFMBT	wt	Larvae	0.6283875694193045	1.0721644321667714
