Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	0.0	-16.609640474436812
H2Av	wt	Adult	0.0	-16.609640474436812
H2Bubi	wt	Adult	0.0	-16.609640474436812
H3	wt	Adult	0.0	-16.609640474436812
H3K18ac	wt	Adult	0.0	-16.609640474436812
H3K23ac	wt	Adult	0.0	-16.609640474436812
H3K27ac	wt	Adult	0.0	-16.609640474436812
H3K27me1	wt	Adult	0.0	-16.609640474436812
H3K27me2	wt	Adult	0.0	-16.609640474436812
H3K27me3	wt	Adult	0.0	-16.609640474436812
H3K36me1	wt	Adult	0.0	-16.609640474436812
H3K36me2	wt	Adult	0.6437373704042828	inf
H3K36me3	wt	Adult	0.7772814823313191	inf
H3K4me1	wt	Adult	0.0	-16.609640474436812
H3K4me2	wt	Adult	0.0	-16.609640474436812
H3K4me3	wt	Adult	0.0	-16.609640474436812
H3K79me1	wt	Adult	0.1665100812583102	inf
H3K79me2	wt	Adult	0.0	-16.609640474436812
H3K79me3	wt	Adult	0.0	-16.609640474436812
H3K9ac	wt	Adult	0.0	-16.609640474436812
H3K9acS10P	wt	Adult	0.0	-16.609640474436812
H3K9me1	wt	Adult	0.0	-16.609640474436812
H3K9me2	wt	Adult	0.0	-16.609640474436812
H3K9me3	wt	Adult	0.8227172024048693	inf
H4K16ac	wt	Adult	0.0	-16.609640474436812
H4K20me1	wt	Adult	0.0	-16.609640474436812
H4K8ac	wt	Adult	0.0	-16.609640474436812
HP1a	wt	Adult	0.8565477652923917	inf
HP1b	wt	Adult	0.0	-16.609640474436812
HP1c	wt	Adult	0.0	-16.609640474436812
HP2	wt	Adult	0.9601780218941128	inf
JHDM1	wt	Adult	0.0	-16.609640474436812
KDM4A	wt	Adult	0.0	-16.609640474436812
LSD1	wt	Adult	0.0	-16.609640474436812
POF	wt	Adult	0.9606844776396604	inf
PolII	wt	Adult	0.25068375691424843	inf
RPD3	wt	Adult	0.0	-16.609640474436812
Su(var)3-7	wt	Adult	0.0	-16.609640474436812
dSFMBT	wt	Adult	0.31292459162696157	inf
