Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Larvae	0.0	-16.609640474436812
H2Av	wt	Larvae	0.39827625326609734	inf
H2Bubi	wt	Larvae	0.0	-16.609640474436812
H3	wt	Larvae	0.0	-16.609640474436812
H3K23ac	wt	Larvae	0.0	-16.609640474436812
H3K27ac	wt	Larvae	0.0	-16.609640474436812
H3K27me1	wt	Larvae	0.0	-16.609640474436812
H3K27me2	wt	Larvae	0.0	-16.609640474436812
H3K27me3	wt	Larvae	0.0	-16.609640474436812
H3K36me1	wt	Larvae	0.0	-16.609640474436812
H3K36me3	wt	Larvae	0.7830982071558864	inf
H3K4me1	wt	Larvae	0.0	-16.609640474436812
H3K4me2	wt	Larvae	0.0	-16.609640474436812
H3K4me3	wt	Larvae	0.0	-16.609640474436812
H3K79me1	wt	Larvae	0.0	-16.609640474436812
H3K79me2	wt	Larvae	0.0	-16.609640474436812
H3K79me3	wt	Larvae	0.0	-16.609640474436812
H3K9ac	wt	Larvae	0.0	-16.609640474436812
H3K9acS10P	wt	Larvae	0.0	-16.609640474436812
H3K9me1	wt	Larvae	0.0	-16.609640474436812
H3K9me2	wt	Larvae	0.8626879946368126	inf
H3K9me3	wt	Larvae	0.8806041128863867	inf
H4K16ac	wt	Larvae	0.0	-16.609640474436812
H4K20me1	wt	Larvae	0.42679589096153386	inf
H4K8ac	wt	Larvae	0.0	-16.609640474436812
HP1a	wt	Larvae	0.919850710957198	inf
HP1b	wt	Larvae	0.6392864758020701	inf
HP1c	wt	Larvae	0.0	-16.609640474436812
HP2	wt	Larvae	0.49664444095751276	inf
KDM4A	wt	Larvae	0.44785513299220936	inf
LSD1	wt	Larvae	0.0	-16.609640474436812
ORC2	wt	Larvae	0.0	-16.609640474436812
POF	wt	Larvae	0.5366203777805688	inf
PolII	wt	Larvae	0.0	-16.609640474436812
RPD3	wt	Larvae	0.0	-16.609640474436812
Replication-Origin	wt	Larvae	0.0	-16.609640474436812
Smc3	wt	Larvae	0.7561506538588053	inf
Su(var)3-7	wt	Larvae	0.2125624015578299	inf
Su(var)3-9	wt	Larvae	0.0	-16.609640474436812
dSFMBT	wt	Larvae	0.0	-16.609640474436812
