Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
BEAF32A-and-BEAF42B	wt	Embryo	0.0	
CP190	wt	Embryo	0.0	
CTCF	wt	Embryo	0.0	
Chriz	wt	Embryo	0.0	
GAF	wt	Embryo	0.0	
H1	wt	Embryo	0.0	
H2Av	wt	Embryo	0.0	
H2Bubi	wt	Embryo	0.0	
H3	wt	Embryo	0.0	
H3K18ac	wt	Embryo	0.0	
H3K23ac	wt	Embryo	0.0	
H3K27ac	wt	Embryo	0.0	
H3K27me2	wt	Embryo	0.0	
H3K27me3	wt	Embryo	0.0	
H3K36me1	wt	Embryo	0.0	
H3K36me2	wt	Embryo	0.0	
H3K36me3	wt	Embryo	0.0	
H3K4me1	wt	Embryo	0.0	
H3K4me3	wt	Embryo	0.0	
H3K79me1	wt	Embryo	0.0	
H3K79me2	wt	Embryo	0.0	
H3K79me3	wt	Embryo	0.0	
H3K9acS10P	wt	Embryo	0.0	
H3K9me1	wt	Embryo	0.0	
H3K9me2	wt	Embryo	0.0	
H3K9me3	wt	Embryo	0.0	
H4	wt	Embryo	0.0	
H4K16ac	wt	Embryo	0.0	
H4K20me1	wt	Embryo	0.0	
HP1a	wt	Embryo	0.0	
HP1b	wt	Embryo	0.0	
HP1c	wt	Embryo	0.0	
HP2	wt	Embryo	0.0	
HP4	wt	Embryo	0.0	
JHDM1	wt	Embryo	0.0	
LSD1	wt	Embryo	0.0	
MBD-R2	wt	Embryo	0.0	
MOF	wt	Embryo	0.0	
NURF301	wt	Embryo	0.0	
ORC2	wt	Embryo	0.0	
POF	wt	Embryo	0.0	
Pc	wt	Embryo	0.0	
PolII	wt	Embryo	0.0	
Psc	wt	Embryo	0.0	
RPD3	wt	Embryo	0.0	
Su(Hw)	wt	Embryo	0.0	
Su(var)3-7	wt	Embryo	0.0	
ZW5	wt	Embryo	0.0	
dMi-2	wt	Embryo	0.0	
dRING	wt	Embryo	0.0	
