Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	0.0	
ASH-1	wt	S2	enriched	0.0	
BEAF-32	wt	S2	enriched	0.0	
CG10630	wt	S2	enriched	0.0	
CP190	wt	S2	enriched	0.0	
CTCF	wt	S2	enriched	0.0	
Chriz	wt	S2	enriched	0.0	
Enhancer-of-zeste	wt	S2	enriched	0.0	
GAF	wt	S2	enriched	0.0	
H1	wt	S2	enriched	0.0	
H2Av	wt	S2	enriched	0.0	
H2BK5ac	wt	S2	enriched	0.0	
H2Bubi	wt	S2	enriched	0.0	
H3	wt	S2	enriched	0.0	
H3K18ac	wt	S2	enriched	0.0	
H3K23ac	wt	S2	enriched	0.0	
H3K27ac	wt	S2	enriched	0.0	
H3K27me1	wt	S2	enriched	0.0	
H3K27me2	wt	S2	enriched	0.0	
H3K27me3	wt	S2	enriched	0.0	
H3K36me1	wt	S2	enriched	0.0	
H3K36me3	wt	S2	enriched	0.0	
H3K4me1	wt	S2	enriched	0.0	
H3K4me2	wt	S2	enriched	0.0	
H3K4me3	wt	S2	enriched	0.0	
H3K79me1	wt	S2	enriched	0.0	
H3K79me2	wt	S2	enriched	0.0	
H3K79me3	wt	S2	enriched	0.0	
H3K9ac	wt	S2	enriched	0.0	
H3K9acS10P	wt	S2	enriched	0.0	
H3K9me1	wt	S2	enriched	0.0	
H3K9me2	wt	S2	enriched	0.0	
H3K9me3	wt	S2	enriched	0.0	
H4	wt	S2	enriched	0.0	
H4K12ac	wt	S2	enriched	0.0	
H4K16ac	wt	S2	enriched	0.0	
H4K20me1	wt	S2	enriched	0.0	
H4K5ac	wt	S2	enriched	0.0	
H4K8ac	wt	S2	enriched	0.0	
H4acTetra	wt	S2	enriched	0.0	
HP1a	wt	S2	enriched	0.0	
HP1b	wt	S2	enriched	0.0	
HP1c	wt	S2	enriched	0.0	
HP2	wt	S2	enriched	0.0	
HP4	wt	S2	enriched	0.0	
ISWI	wt	S2	enriched	0.0	
JHDM1	wt	S2	enriched	0.0	
JIL-1	wt	S2	enriched	0.0	
KDM4A	wt	S2	enriched	0.0	
LSD1	wt	S2	enriched	0.0	
MBD-R2	wt	S2	enriched	0.0	
MCM2-7	wt	S2	enriched	0.0	
MLE	wt	S2	enriched	0.0	
MOF	wt	S2	enriched	0.0	
MRG15	wt	S2	enriched	0.0	
MSL-1	wt	S2	enriched	0.0	
NURF301	wt	S2	enriched	0.0	
ORC2	wt	S2	enriched	0.0	
PCL	wt	S2	enriched	0.0	
POF	wt	S2	enriched	0.0	
PR-Set7	wt	S2	enriched	0.0	
Pc	wt	S2	enriched	0.0	
Pho	wt	S2	enriched	0.0	
PolII	wt	S2	enriched	0.0	
Psc	wt	S2	enriched	0.0	
RPD3	wt	S2	enriched	0.0	
Replication-Origin	wt	S2	enriched	0.0	
Rhino	wt	S2	enriched	0.0	
SPT16	wt	S2	enriched	0.0	
Smc3	wt	S2	enriched	0.0	
Su(Hw)	wt	S2	enriched	0.0	
Su(var)3-7	wt	S2	enriched	0.0	
Su(var)3-9	wt	S2	enriched	0.0	
WDS	wt	S2	enriched	0.0	
ZW5	wt	S2	enriched	0.0	
dMi-2	wt	S2	enriched	0.0	
dRING	wt	S2	enriched	0.0	
dSFMBT	wt	S2	enriched	0.0	
dmTopo-II	wt	S2	enriched	0.0	
mod(mdg4)	wt	S2	enriched	0.0	
