Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Larvae	0.0	
H2Av	wt	Larvae	0.0	
H2Bubi	wt	Larvae	0.0	
H3	wt	Larvae	0.0	
H3K23ac	wt	Larvae	0.0	
H3K27ac	wt	Larvae	0.0	
H3K27me1	wt	Larvae	0.0	
H3K27me2	wt	Larvae	0.0	
H3K27me3	wt	Larvae	0.0	
H3K36me1	wt	Larvae	0.0	
H3K36me3	wt	Larvae	0.0	
H3K4me1	wt	Larvae	0.0	
H3K4me2	wt	Larvae	0.0	
H3K4me3	wt	Larvae	0.0	
H3K79me1	wt	Larvae	0.0	
H3K79me2	wt	Larvae	0.0	
H3K79me3	wt	Larvae	0.0	
H3K9ac	wt	Larvae	0.0	
H3K9acS10P	wt	Larvae	0.0	
H3K9me1	wt	Larvae	0.0	
H3K9me2	wt	Larvae	0.0	
H3K9me3	wt	Larvae	0.0	
H4K16ac	wt	Larvae	0.0	
H4K20me1	wt	Larvae	0.0	
H4K8ac	wt	Larvae	0.0	
HP1a	wt	Larvae	0.0	
HP1b	wt	Larvae	0.0	
HP1c	wt	Larvae	0.0	
HP2	wt	Larvae	0.0	
KDM4A	wt	Larvae	0.0	
LSD1	wt	Larvae	0.0	
ORC2	wt	Larvae	0.0	
POF	wt	Larvae	0.0	
PolII	wt	Larvae	0.0	
RPD3	wt	Larvae	0.0	
Replication-Origin	wt	Larvae	0.0	
Smc3	wt	Larvae	0.0	
Su(var)3-7	wt	Larvae	0.0	
Su(var)3-9	wt	Larvae	0.0	
dSFMBT	wt	Larvae	0.0	
