Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	0.13129223609145685	-0.45007920120741857
H2Av	wt	Adult	0.6323812790619378	-0.8962981413095646
H2Bubi	wt	Adult	0.9821675409490181	-1.2204669271462232
H3	wt	Adult	0.1608229324847816	-11.175611965252585
H3K18ac	wt	Adult	2.4956984065756083	1.5465078650536308
H3K23ac	wt	Adult	1.3451574677682474	1.090905635766376
H3K27ac	wt	Adult	0.5735423641204823	0.6054450042058215
H3K27me1	wt	Adult	0.4896292191946529	0.5368050050964787
H3K27me2	wt	Adult	0.8416114280594726	0.6429760008790376
H3K27me3	wt	Adult	0.8104081113027105	-0.8403401844137731
H3K36me1	wt	Adult	5.8557292984894085	2.559778926056101
H3K36me2	wt	Adult	2.0369196180483455	-2.419436719225177
H3K36me3	wt	Adult	1.8751393903338442	-2.925613041927097
H3K4me1	wt	Adult	0.6179090341324477	0.6630155307751214
H3K4me2	wt	Adult	1.235435763699463	-1.9565215906051499
H3K4me3	wt	Adult	1.8183961790297982	-16.609640474436812
H3K79me1	wt	Adult	1.561854310942864	1.1684860058340523
H3K79me2	wt	Adult	0.7798853537430827	-0.9090071536493459
H3K79me3	wt	Adult	0.40150064516380296	-0.6557273394960724
H3K9ac	wt	Adult	0.04845674207361685	-0.1932023856263995
H3K9acS10P	wt	Adult	0.19731559517831418	-0.5360126874755281
H3K9me1	wt	Adult	0.42015671404227045	0.4725569034341575
H3K9me2	wt	Adult	0.38144733180449003	-0.6845619816312549
H3K9me3	wt	Adult	0.8016168138683687	-1.624883313895652
H4K16ac	wt	Adult	0.24193420124348639	-0.6843644246616511
H4K20me1	wt	Adult	1.0528617537698521	-1.232308601069076
H4K8ac	wt	Adult	1.644503941461038	1.2056824029587514
HP1a	wt	Adult	0.5418173417189907	-1.1266879894879656
HP1b	wt	Adult	0.03171461969795341	-0.06959360980582406
HP1c	wt	Adult	0.0	-0.09383786116507171
HP2	wt	Adult	1.3329366013569517	-11.9280334777362
JHDM1	wt	Adult	1.401868597063455	-2.0905023449794355
KDM4A	wt	Adult	0.8984816569568298	-1.673372899026101
LSD1	wt	Adult	2.3414115862558433	1.488814090035364
POF	wt	Adult	0.1551929912144613	-0.591727239663348
PolII	wt	Adult	2.709567097690165	-16.609640474436812
RPD3	wt	Adult	1.2767948538350307	-6.886355609661272
Su(var)3-7	wt	Adult	0.7210422810144529	-1.3209644674840952
dSFMBT	wt	Adult	0.4383205479187005	-1.0561341875348393
