Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
BEAF32A-and-BEAF42B	wt	Embryo	0.0	-0.5987135563198841
CP190	wt	Embryo	0.39935568631511414	-16.609640474436812
CTCF	wt	Embryo	0.26635291853963833	1.2578746817382824
Chriz	wt	Embryo	0.11319609580391686	-11.661781272757993
GAF	wt	Embryo	0.0	0.09047814605792583
H1	wt	Embryo	0.26093529753737743	-10.693443079369803
H2Av	wt	Embryo	0.40869866381749215	-1.8765940947142097
H2Bubi	wt	Embryo	0.0008281696433743289	-0.5869464428814046
H3	wt	Embryo	0.0	-0.3490680711419862
H3K18ac	wt	Embryo	3.8312205846820135	2.5300156832237004
H3K23ac	wt	Embryo	0.8691213713305818	1.382854098031431
H3K27ac	wt	Embryo	2.5265250408467566	2.0199788661443967
H3K27me2	wt	Embryo	0.012899068516485037	0.10839133948110617
H3K27me3	wt	Embryo	0.0	-0.030829986057037295
H3K36me1	wt	Embryo	4.367693046382196	2.66451387671755
H3K36me2	wt	Embryo	0.3153408429581375	-1.4846288298017034
H3K36me3	wt	Embryo	0.718742437978138	-2.8152318890637678
H3K4me1	wt	Embryo	3.976525210168693	2.5682658068491997
H3K4me3	wt	Embryo	0.4475571476195685	-6.032567098470541
H3K79me1	wt	Embryo	0.5074154806316346	1.0714931973135673
H3K79me2	wt	Embryo	0.8477991293205914	-16.609640474436812
H3K79me3	wt	Embryo	0.0	-0.28251040467067207
H3K9acS10P	wt	Embryo	0.3996194049239483	-1.7411189316610152
H3K9me1	wt	Embryo	0.03773784619354733	0.5117329388031909
H3K9me2	wt	Embryo	0.2983127263127474	-6.544037784795061
H3K9me3	wt	Embryo	0.12173437904094124	-1.8516045283636373
H4	wt	Embryo	0.6174788722114843	-1.5187455899720668
H4K16ac	wt	Embryo	0.0	-6.136544092984047
H4K20me1	wt	Embryo	0.06806006966027033	-0.8568556253660512
HP1a	wt	Embryo	0.8064347421489162	-13.73256235638543
HP1b	wt	Embryo	0.0	-0.13223245163767114
HP1c	wt	Embryo	0.3021206900393937	0.6209167355541213
HP2	wt	Embryo	0.3731600465722278	-16.609640474436812
HP4	wt	Embryo	0.23558161829621962	-16.609640474436812
JHDM1	wt	Embryo	0.6464375387320098	-16.609640474436812
LSD1	wt	Embryo	0.5936129170251835	-4.565965079569302
MBD-R2	wt	Embryo	0.7036634503421343	-11.80781583966021
MOF	wt	Embryo	0.13884660340372826	-11.709909520799437
NURF301	wt	Embryo	0.08812084085207363	-1.1494698133101837
ORC2	wt	Embryo	0.0	-16.609640474436812
POF	wt	Embryo	0.03773784619354733	-11.561726497849596
Pc	wt	Embryo	0.0	-0.6723765007546221
PolII	wt	Embryo	0.48543831611120464	-12.018559723541712
Psc	wt	Embryo	0.0	-0.6635785091617318
RPD3	wt	Embryo	0.7861600077944848	-11.67504781791888
Su(Hw)	wt	Embryo	0.0	-1.443559279474128
Su(var)3-7	wt	Embryo	0.09352742329281775	-0.9472813611804084
ZW5	wt	Embryo	0.0	-11.385710533131506
dMi-2	wt	Embryo	0.0	-0.3713959217620901
dRING	wt	Embryo	0.0	-0.2862395490139717
