Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Larvae	1.5793185807039656	-12.351858710673056
H2Av	wt	Larvae	0.9268691924262679	-1.235847193300273
H2Bubi	wt	Larvae	0.23018321362120742	-0.4839105259277366
H3	wt	Larvae	0.749169643679967	-0.7350187868649044
H3K23ac	wt	Larvae	0.7803295335517658	0.7551621270895899
H3K27ac	wt	Larvae	4.596082096831516	2.1966387452841576
H3K27me1	wt	Larvae	2.9054496910872403	1.647686249604826
H3K27me2	wt	Larvae	0.22923249501944612	-0.34078128704804217
H3K27me3	wt	Larvae	0.14749406111627036	0.19340786547429725
H3K36me1	wt	Larvae	4.804338115480758	2.268594814653015
H3K36me3	wt	Larvae	1.7457496397830534	-2.8858972744530633
H3K4me1	wt	Larvae	2.7618472946483945	1.6161243073816827
H3K4me2	wt	Larvae	1.4831235648283154	-2.691546317784032
H3K4me3	wt	Larvae	1.551998679836897	-16.609640474436812
H3K79me1	wt	Larvae	0.5887616932650064	0.48086339554752716
H3K79me2	wt	Larvae	0.29785171586134296	-0.5279074242023688
H3K79me3	wt	Larvae	0.2369598035503282	-0.4698309790539814
H3K9ac	wt	Larvae	0.3548293243614616	0.26122065855454407
H3K9acS10P	wt	Larvae	0.2203552156745384	0.1729186898861016
H3K9me1	wt	Larvae	4.100805477442351	2.09217935025554
H3K9me2	wt	Larvae	0.8642323959985946	-1.6819615013097395
H3K9me3	wt	Larvae	1.1774162392617076	-2.438781983284382
H4K16ac	wt	Larvae	0.1351118895156551	-0.4698122970992716
H4K20me1	wt	Larvae	0.21001178673108759	-0.4518510359336279
H4K8ac	wt	Larvae	7.316576972494217	2.953883809875396
HP1a	wt	Larvae	1.2027094176109265	-7.0676756680598345
HP1b	wt	Larvae	0.15190568794259185	0.19577666790134385
HP1c	wt	Larvae	0.3515887544232236	0.3921185967838847
HP2	wt	Larvae	1.3832581748457669	-7.187148007255479
KDM4A	wt	Larvae	0.6710073457387621	-0.36310926614143946
LSD1	wt	Larvae	7.1451958420256885	2.9085075181823226
ORC2	wt	Larvae	0.06775075370823262	-16.609640474436812
POF	wt	Larvae	1.5666288841551559	-11.786151064265676
PolII	wt	Larvae	1.2456724297817787	-2.0174474890813054
RPD3	wt	Larvae	1.1251965378528055	-2.1863898532986616
Replication-Origin	wt	Larvae	0.04478178659629891	-0.04705992872829196
Smc3	wt	Larvae	0.8881840873075474	-0.3711748086979452
Su(var)3-7	wt	Larvae	0.9045316959768828	-1.5147608535088182
Su(var)3-9	wt	Larvae	2.0470467680586775	-7.3929304010244925
dSFMBT	wt	Larvae	0.176522117384336	0.04173386499544551
