Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	0.15729093405135827	0.19031143569950323
ASH-1	wt	S2	enriched	2.2936781442416168	2.31163711321146
BEAF-32	wt	S2	enriched	0.2267634306612203	-11.567069719363372
CG10630	wt	S2	enriched	0.0	-16.609640474436812
CP190	wt	S2	enriched	0.4637234175558335	-11.702732068108233
CTCF	wt	S2	enriched	0.5430570119245366	0.9488650048309086
Chriz	wt	S2	enriched	0.4297815445177952	-1.3616195642625444
Enhancer-of-zeste	wt	S2	enriched	0.1127417210418718	-10.827627962854018
GAF	wt	S2	enriched	1.020257497452998	0.8577135942001275
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	1.1779866704635669	-4.019939273155285
H2BK5ac	wt	S2	enriched	2.5054419223159177	1.627611507038085
H2Bubi	wt	S2	enriched	0.17920105763061678	-0.4859838149615859
H3	wt	S2	enriched	0.0	-16.609640474436812
H3K18ac	wt	S2	enriched	7.068867717917307	2.901882494002409
H3K23ac	wt	S2	enriched	0.8657550516786667	1.5165328082443228
H3K27ac	wt	S2	enriched	3.2818267980940066	2.0259190754726117
H3K27me1	wt	S2	enriched	1.5173121741470432	1.2215739750390424
H3K27me2	wt	S2	enriched	0.4130282813578117	0.583778481154614
H3K27me3	wt	S2	enriched	0.09668749410168152	0.14666825453612914
H3K36me1	wt	S2	enriched	8.601053595098694	3.1948765980650187
H3K36me3	wt	S2	enriched	1.1779915600816029	-9.243954439282343
H3K4me1	wt	S2	enriched	4.254261553661211	2.134867211426751
H3K4me2	wt	S2	enriched	2.0727830330349275	1.4837531826383707
H3K4me3	wt	S2	enriched	0.766828966184127	-8.816440465493859
H3K79me1	wt	S2	enriched	0.14989126293058072	0.014228236092536983
H3K79me2	wt	S2	enriched	0.36498136883591936	0.09068126216274597
H3K79me3	wt	S2	enriched	0.5373624574276221	0.8647388448357816
H3K9ac	wt	S2	enriched	1.5780330588900653	1.2742872267337682
H3K9acS10P	wt	S2	enriched	2.6776566388513237	2.3732333681733024
H3K9me1	wt	S2	enriched	3.4307718671763157	2.22193496264279
H3K9me2	wt	S2	enriched	0.5043934163929524	-8.570307073867198
H3K9me3	wt	S2	enriched	0.21199066128266697	0.13899135043629063
H4	wt	S2	enriched	0.0	-0.6281400846187002
H4K12ac	wt	S2	enriched	3.3978097398668106	2.014358863999979
H4K16ac	wt	S2	enriched	2.717009803014947	1.699894319438605
H4K20me1	wt	S2	enriched	0.14148084828236468	-1.155180518986074
H4K5ac	wt	S2	enriched	3.74644393277988	2.090518117287516
H4K8ac	wt	S2	enriched	6.847497619538874	2.807563067326242
H4acTetra	wt	S2	enriched	4.465542353668574	2.290722231255659
HP1a	wt	S2	enriched	0.11088856821346617	-11.774154026778293
HP1b	wt	S2	enriched	3.510496559119299	2.4774524120123953
HP1c	wt	S2	enriched	5.3224655823697535	3.051152926636848
HP2	wt	S2	enriched	0.0	-16.609640474436812
HP4	wt	S2	enriched	0.0	-16.609640474436812
ISWI	wt	S2	enriched	0.6021564553106067	0.7369790099771427
JHDM1	wt	S2	enriched	0.40115301245803825	-7.703686610513663
JIL-1	wt	S2	enriched	1.5801109168946748	-9.39047195397465
KDM4A	wt	S2	enriched	0.3879730818854562	-16.609640474436812
LSD1	wt	S2	enriched	4.7376224078653575	2.530784981761593
MBD-R2	wt	S2	enriched	0.15384394959221892	-0.26132773524832703
MCM2-7	wt	S2	enriched	0.0	-16.609640474436812
MLE	wt	S2	enriched	0.20190495125603597	-8.00754118532315
MOF	wt	S2	enriched	0.13752275459952928	-1.2968638537786987
MRG15	wt	S2	enriched	0.0	-0.2653532781946015
MSL-1	wt	S2	enriched	0.19461469721650748	-16.609640474436812
NURF301	wt	S2	enriched	0.5963328330381511	-5.661874502923286
ORC2	wt	S2	enriched	0.0	-16.609640474436812
PCL	wt	S2	enriched	0.15585684533701488	-7.999465482214164
POF	wt	S2	enriched	0.0	-16.609640474436812
PR-Set7	wt	S2	enriched	0.3682113676577621	0.7672395134680746
Pc	wt	S2	enriched	0.0	-0.07651070108576216
Pho	wt	S2	enriched	0.264536838537619	0.37852272086520755
PolII	wt	S2	enriched	0.6285206079147764	-0.047404671939978674
Psc	wt	S2	enriched	0.0	-16.609640474436812
RPD3	wt	S2	enriched	0.17899770706556692	0.43190104279836466
Replication-Origin	wt	S2	enriched	8.533740521064548	3.292194246640054
Rhino	wt	S2	enriched	1.1346827816579714	1.715897762306646
SPT16	wt	S2	enriched	2.3367138935006544	2.201501033729986
Smc3	wt	S2	enriched	1.0661172890748545	1.6123513629135653
Su(Hw)	wt	S2	enriched	0.3301025997531187	-5.2865660691668825
Su(var)3-7	wt	S2	enriched	0.6916490514132743	1.3138320996572495
Su(var)3-9	wt	S2	enriched	0.06775306534069761	-16.609640474436812
WDS	wt	S2	enriched	0.11810772661509748	0.07040306777874053
ZW5	wt	S2	enriched	0.41909147991615375	-7.674202273354772
dMi-2	wt	S2	enriched	2.9896207125694745	2.0603423908995784
dRING	wt	S2	enriched	0.6429035306064226	1.0022310122930533
dSFMBT	wt	S2	enriched	1.1630369413782788	1.3062680735010979
dmTopo-II	wt	S2	enriched	2.641836637086932	2.1576937468707675
mod(mdg4)	wt	S2	enriched	0.0	-16.609640474436812
