Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	1.6391492594873591	-1.1557372083274218
H2Av	wt	Adult	7.250093050121776	-2.5001140118081917
H2Bubi	wt	Adult	3.081873440652196	0.9869142138068322
H3	wt	Adult	0.625627616850431	-1.15658991515152
H3K18ac	wt	Adult	14.495631016575956	2.310738281828321
H3K23ac	wt	Adult	1.5989263324683847	0.6688382959083632
H3K27ac	wt	Adult	10.092336111143087	1.898926158644337
H3K27me1	wt	Adult	1.502659401331928	0.6360522842810182
H3K27me2	wt	Adult	1.4949611182890161	-0.8106936642576267
H3K27me3	wt	Adult	2.374513909688305	-0.8712858051095417
H3K36me1	wt	Adult	13.798139149594748	2.253519102925202
H3K36me2	wt	Adult	5.159633399320344	-1.9325905652016713
H3K36me3	wt	Adult	5.05352076841256	-2.363996627709236
H3K4me1	wt	Adult	5.501038973714183	1.378123024955862
H3K4me2	wt	Adult	1.0355154607064223	0.5219355642861857
H3K4me3	wt	Adult	0.2630342674686896	-0.3173042205350258
H3K79me1	wt	Adult	0.7354808322751869	-0.5295738652062792
H3K79me2	wt	Adult	1.9453484423903473	0.4600717140562236
H3K79me3	wt	Adult	5.045814700728571	1.2872703632207114
H3K9ac	wt	Adult	1.741014535027719	0.6877175377092085
H3K9acS10P	wt	Adult	2.047006276158227	0.8013759813813447
H3K9me1	wt	Adult	0.39224775532155814	-0.013467699277836587
H3K9me2	wt	Adult	2.957608230864242	-1.3082723282464668
H3K9me3	wt	Adult	4.618894994171236	-2.7156521639006415
H4K16ac	wt	Adult	0.8544176683664495	-0.662131352284613
H4K20me1	wt	Adult	4.821672435927959	1.2437991126753838
H4K8ac	wt	Adult	6.177850729828826	1.4469390100563393
HP1a	wt	Adult	5.307336798289542	-3.251422523514877
HP1b	wt	Adult	1.0644975416208557	0.6011925824682224
HP1c	wt	Adult	1.4501231007708093	0.7662700542764739
HP2	wt	Adult	1.5319400086280754	-1.3181236917370776
JHDM1	wt	Adult	0.44728421174924654	0.27400077976536746
KDM4A	wt	Adult	0.3296317570682333	-0.3102837423266726
LSD1	wt	Adult	11.047164795506882	1.9980585699791131
POF	wt	Adult	2.21230073925232	0.8937799718392947
PolII	wt	Adult	1.7062397378673715	0.7497442130911073
RPD3	wt	Adult	0.8649311671819465	0.34727430532197406
Su(var)3-7	wt	Adult	0.16927983838794217	0.13186888369899522
dSFMBT	wt	Adult	2.0364668315797223	0.8729918384480659
