Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
BEAF32A-and-BEAF42B	wt	Embryo	0.18390375422907587	0.18641799282033125
CP190	wt	Embryo	1.3676608262658745	0.8315696506545619
CTCF	wt	Embryo	0.025530057550249088	-0.15531261345451128
Chriz	wt	Embryo	0.6378437907936706	-0.9648621505249387
GAF	wt	Embryo	6.584501650658276	1.6871114894462318
H1	wt	Embryo	1.53182809555277	-4.784588414204181
H2Av	wt	Embryo	4.704221778433778	-2.249406467034822
H2Bubi	wt	Embryo	3.6954499524218676	1.0879134363861362
H3	wt	Embryo	0.31037102296553104	-0.6111629431224567
H3K18ac	wt	Embryo	20.65048101599539	2.826645657040492
H3K23ac	wt	Embryo	0.6117292142045915	0.2917620382243585
H3K27ac	wt	Embryo	17.279767824043507	2.5397984716652755
H3K27me2	wt	Embryo	1.1219982174918859	-0.5970166718059673
H3K27me3	wt	Embryo	0.5222268492641146	0.37788594973036377
H3K36me1	wt	Embryo	11.84790812430048	2.1017662813096134
H3K36me2	wt	Embryo	3.3606136864249794	-1.5482307368913648
H3K36me3	wt	Embryo	3.3302012271013712	-1.730063901194802
H3K4me1	wt	Embryo	16.141103085973484	2.498402449399505
H3K4me3	wt	Embryo	0.4671146162828877	0.09248175668567865
H3K79me1	wt	Embryo	7.957036261818229	1.6656937153952567
H3K79me2	wt	Embryo	0.13536550567860725	0.09905585904015589
H3K79me3	wt	Embryo	6.2422871326830105	1.4688128562823917
H3K9acS10P	wt	Embryo	0.6299336265131871	-0.11710803884350819
H3K9me1	wt	Embryo	0.5843659955545237	-0.3168306254384825
H3K9me2	wt	Embryo	5.304415850543333	-7.805366370133406
H3K9me3	wt	Embryo	5.5946182607836255	-8.237002257182748
H4	wt	Embryo	4.993689396713756	-1.698200645260347
H4K16ac	wt	Embryo	0.5244072187420833	0.09589572272317215
H4K20me1	wt	Embryo	3.259724143234873	1.0148847445292515
HP1a	wt	Embryo	0.9600338061661005	-0.800919315086327
HP1b	wt	Embryo	2.0289767730119386	0.9657908414523967
HP1c	wt	Embryo	2.615582943020092	1.1112876044361204
HP2	wt	Embryo	1.9674467636446191	-2.1089465284249655
HP4	wt	Embryo	3.4780484271937	-12.293700625763469
JHDM1	wt	Embryo	0.5619131607287057	0.42447252313225975
LSD1	wt	Embryo	8.364780184755189	2.0702571973188437
MBD-R2	wt	Embryo	0.33106189398629415	-0.3506328031841895
MOF	wt	Embryo	2.1257711815287026	1.0822626951191323
NURF301	wt	Embryo	0.11176241256543062	-0.1254542657069673
ORC2	wt	Embryo	0.0	-16.609640474436812
POF	wt	Embryo	0.66004661763325	0.6296021344434714
Pc	wt	Embryo	0.2733146001740224	0.29099116855351065
PolII	wt	Embryo	2.0282862818029685	0.9035945203837237
Psc	wt	Embryo	0.691617083848889	0.552996655095742
RPD3	wt	Embryo	0.9502974955790483	-0.6267509880311503
Su(Hw)	wt	Embryo	0.14995644644144077	-0.2630479324198837
Su(var)3-7	wt	Embryo	0.3191490477081152	-0.31233990339312495
ZW5	wt	Embryo	0.24373380291592447	-6.164655149233905
dMi-2	wt	Embryo	6.341402476562639	1.6834017662951626
dRING	wt	Embryo	2.1680588762706416	1.112657087078128
