Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Larvae	4.4496537345188605	-2.795035099273143
H2Av	wt	Larvae	5.962888869293181	-2.2101630878443994
H2Bubi	wt	Larvae	4.923047537830491	1.2918476583344634
H3	wt	Larvae	10.430447622579775	-2.334896070085003
H3K23ac	wt	Larvae	0.5048951753374792	0.1965785791030148
H3K27ac	wt	Larvae	19.641358055871194	2.7194414469964605
H3K27me1	wt	Larvae	6.484071737149779	1.517995102111131
H3K27me2	wt	Larvae	7.043466485018022	-1.7248116735008836
H3K27me3	wt	Larvae	0.12183233951345128	-0.00605051318640749
H3K36me1	wt	Larvae	19.028266475403413	2.6910382143341884
H3K36me3	wt	Larvae	4.381951482074143	-2.1339519389843224
H3K4me1	wt	Larvae	13.427776134650857	2.2056998486976176
H3K4me2	wt	Larvae	2.4373324564681482	0.9467089295909115
H3K4me3	wt	Larvae	0.20632480894509742	0.18148441596185663
H3K79me1	wt	Larvae	4.01235353038156	1.1200862052877614
H3K79me2	wt	Larvae	10.614154866116968	1.9400104952108477
H3K79me3	wt	Larvae	10.305609625837093	1.9207922968233557
H3K9ac	wt	Larvae	7.757698249994429	1.672173943600577
H3K9acS10P	wt	Larvae	5.5635996460030865	1.3867331500540196
H3K9me1	wt	Larvae	11.18578085922524	1.9338716452468245
H3K9me2	wt	Larvae	8.193835116197556	-12.658407334336738
H3K9me3	wt	Larvae	5.307709652572991	-3.6093810717168426
H4K16ac	wt	Larvae	0.7519197798314091	-0.6097509648520526
H4K20me1	wt	Larvae	10.980506307341003	1.9817948318030487
H4K8ac	wt	Larvae	15.793563513024152	2.4928502272710538
HP1a	wt	Larvae	4.497974270925	-3.389281843846786
HP1b	wt	Larvae	2.0650163632517966	0.9210648988668867
HP1c	wt	Larvae	3.2308440169750896	1.190692101560253
HP2	wt	Larvae	1.5203538181292764	-0.73754862360032
KDM4A	wt	Larvae	2.6234372601391978	0.9153443723718748
LSD1	wt	Larvae	26.560738656486922	3.3965080179934133
ORC2	wt	Larvae	0.7570670991919636	0.8883673193422624
POF	wt	Larvae	1.809355230828282	-1.2135442357350366
PolII	wt	Larvae	3.04398564190445	1.009468902539021
RPD3	wt	Larvae	0.232423424347888	-0.1496587295741657
Replication-Origin	wt	Larvae	1.8354845164177014	-2.3675187885076054
Smc3	wt	Larvae	0.8051357975642585	-0.0342603748468309
Su(var)3-7	wt	Larvae	0.4227611462951783	-0.17402570048678537
Su(var)3-9	wt	Larvae	3.1614112278889253	-1.5199256676836042
dSFMBT	wt	Larvae	1.5938721993979659	0.802815283265163
