Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	5.882761857860181	2.002886108067156
ASH-1	wt	S2	enriched	5.311323439859463	2.448348512802077
BEAF-32	wt	S2	enriched	0.7023413171535914	-5.112947209418473
CG10630	wt	S2	enriched	1.1431322059206444	1.3961649704268788
CP190	wt	S2	enriched	0.3593780401529683	-0.19521336994109686
CTCF	wt	S2	enriched	0.10611270869835825	0.03268667263666797
Chriz	wt	S2	enriched	0.353928729597936	-0.39685926000688476
Enhancer-of-zeste	wt	S2	enriched	0.38021758379254705	0.6324614190974215
GAF	wt	S2	enriched	10.926986264392973	2.4367049846384923
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	3.903313450316628	-2.0340659385557336
H2BK5ac	wt	S2	enriched	9.523516178085536	1.9153335007561922
H2Bubi	wt	S2	enriched	1.397061451585318	0.6590203079332514
H3	wt	S2	enriched	0.7487999445278186	-16.609640474436812
H3K18ac	wt	S2	enriched	25.46050988711024	3.17296908021272
H3K23ac	wt	S2	enriched	0.7572593189706709	1.1191624668778168
H3K27ac	wt	S2	enriched	15.59384273284849	2.5656602885333735
H3K27me1	wt	S2	enriched	4.579961693866822	1.3595267927667603
H3K27me2	wt	S2	enriched	0.10121735987127972	0.005332825127965832
H3K27me3	wt	S2	enriched	0.4854655287196108	-0.5207487403045441
H3K36me1	wt	S2	enriched	17.67007355920455	2.651455876270382
H3K36me3	wt	S2	enriched	2.1898273633637118	-1.8352827224421477
H3K4me1	wt	S2	enriched	17.47762099996795	2.5590035750140796
H3K4me2	wt	S2	enriched	8.05724408687934	1.7373421521667052
H3K4me3	wt	S2	enriched	0.28224686792361203	0.2534806433560138
H3K79me1	wt	S2	enriched	0.19630642939612167	0.08454592594193566
H3K79me2	wt	S2	enriched	4.108184830375392	1.2747401448854683
H3K79me3	wt	S2	enriched	0.5865828748906313	0.543010779187532
H3K9ac	wt	S2	enriched	10.650613244871565	2.083435028644675
H3K9acS10P	wt	S2	enriched	7.632998369161559	2.3892942157646817
H3K9me1	wt	S2	enriched	5.665316074054189	1.6650152985792546
H3K9me2	wt	S2	enriched	3.6333114893671485	-2.3332250537312795
H3K9me3	wt	S2	enriched	0.5856217305718207	-1.2202795847396863
H4	wt	S2	enriched	1.783042792638903	-16.609640474436812
H4K12ac	wt	S2	enriched	7.4981331807197265	1.785763958571294
H4K16ac	wt	S2	enriched	3.21172943940739	0.9029196791789649
H4K20me1	wt	S2	enriched	0.0728607061241307	-0.22430044444535613
H4K5ac	wt	S2	enriched	13.696415196187536	2.347385026240683
H4K8ac	wt	S2	enriched	21.636839469713895	2.8888912849459674
H4acTetra	wt	S2	enriched	11.10044759579325	2.129945680055079
HP1a	wt	S2	enriched	0.37200361554817857	0.5060249391457281
HP1b	wt	S2	enriched	9.908707295205696	2.5233192880847115
HP1c	wt	S2	enriched	8.839588230117457	2.448790347953726
HP2	wt	S2	enriched	0.0	-0.852016077421196
HP4	wt	S2	enriched	0.0	-16.609640474436812
ISWI	wt	S2	enriched	6.262272703615285	1.8325494198772896
JHDM1	wt	S2	enriched	4.174108750003598	1.9628483053297021
JIL-1	wt	S2	enriched	3.2572570004000787	-1.9662674276427157
KDM4A	wt	S2	enriched	0.6918670616654623	0.5545217731608512
LSD1	wt	S2	enriched	16.638774985117198	2.734635100875831
MBD-R2	wt	S2	enriched	1.381423950597607	0.6709346331362479
MCM2-7	wt	S2	enriched	0.43294343724709217	0.5097372897795069
MLE	wt	S2	enriched	4.12081548946228	1.7643898560033842
MOF	wt	S2	enriched	1.306695242764077	0.863153474221259
MRG15	wt	S2	enriched	0.20954715690553988	0.1864598059764675
MSL-1	wt	S2	enriched	0.42017069058046325	-0.9406170317656206
NURF301	wt	S2	enriched	1.4488992406690213	0.7448186395318704
ORC2	wt	S2	enriched	0.18570460646021647	-6.432865302519408
PCL	wt	S2	enriched	0.6875754531812402	0.5854630191896143
POF	wt	S2	enriched	1.0944952029402029	1.2950653158948746
PR-Set7	wt	S2	enriched	1.4190522273121238	0.9782029529881452
Pc	wt	S2	enriched	0.8644720515631622	0.5986501167809827
Pho	wt	S2	enriched	1.8455151629679523	1.5265746681081167
PolII	wt	S2	enriched	3.4186285857317293	1.40090990443126
Psc	wt	S2	enriched	0.3046085107352213	0.39001685260153046
RPD3	wt	S2	enriched	2.8743561076426083	1.5215583555974401
Replication-Origin	wt	S2	enriched	5.296021174991614	1.617773346660346
Rhino	wt	S2	enriched	10.277292056306123	2.9282774569010748
SPT16	wt	S2	enriched	11.573898254691906	2.7256989583563236
Smc3	wt	S2	enriched	8.837418289076725	2.702363630249132
Su(Hw)	wt	S2	enriched	1.3208550555538285	-1.0977858491970909
Su(var)3-7	wt	S2	enriched	0.4346244972859264	0.5270803472408704
Su(var)3-9	wt	S2	enriched	0.07592944935066087	-5.89825334883072
WDS	wt	S2	enriched	3.6537448506386148	1.4043636451253996
ZW5	wt	S2	enriched	4.696496116537341	2.2307389119713408
dMi-2	wt	S2	enriched	15.687948089339265	2.783930094536535
dRING	wt	S2	enriched	2.791237996827545	1.5429186101467616
dSFMBT	wt	S2	enriched	5.393231812127701	1.799091451743452
dmTopo-II	wt	S2	enriched	9.681727919788374	2.435897907544182
mod(mdg4)	wt	S2	enriched	0.06655224190127028	-0.8374363818127593
