Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	5.418807956042412	-1.5822005059120319
H2Av	wt	Adult	2.031969982441368	-0.44557637940138406
H2Bubi	wt	Adult	1.390390647275874	0.339473751742651
H3	wt	Adult	4.546679580131626	-1.5735469242755817
H3K18ac	wt	Adult	20.221973579131937	1.3265000787682864
H3K23ac	wt	Adult	0.7319299821790022	0.22563420235578957
H3K27ac	wt	Adult	13.218391534567443	1.0952443390376676
H3K27me1	wt	Adult	0.2617431436410928	0.09708916469903749
H3K27me2	wt	Adult	5.657599606549359	-0.7944996845008445
H3K27me3	wt	Adult	11.321566193317645	-1.0686879541485363
H3K36me1	wt	Adult	10.950300416896264	0.9913140389063856
H3K36me2	wt	Adult	4.446989339000877	-0.7335500256285843
H3K36me3	wt	Adult	4.24405841774693	-0.8181281892601479
H3K4me1	wt	Adult	4.720084256501875	0.6539257545492517
H3K4me2	wt	Adult	0.9024541604868658	0.2846651748499548
H3K4me3	wt	Adult	0.2604373562078917	-0.17803351676912368
H3K79me1	wt	Adult	0.5678620640567992	-0.17354407231215285
H3K79me2	wt	Adult	1.631790429242456	-0.1938456784615036
H3K79me3	wt	Adult	0.509895539351404	0.16324385512115822
H3K9ac	wt	Adult	2.376628845256968	0.4368957423980504
H3K9acS10P	wt	Adult	2.7058574818788284	0.5308075698543082
H3K9me1	wt	Adult	1.234789667376192	-0.31424638999543847
H3K9me2	wt	Adult	11.083457313999302	-1.244786853069825
H3K9me3	wt	Adult	9.821721705932493	-1.4875133283122814
H4K16ac	wt	Adult	1.887628775875956	0.4466228145003117
H4K20me1	wt	Adult	1.5976391007444084	0.351165241857233
H4K8ac	wt	Adult	5.628478868526547	0.7011360857156624
HP1a	wt	Adult	11.440792569570297	-1.7402644392238906
HP1b	wt	Adult	0.7619529608726291	0.2857332339181177
HP1c	wt	Adult	1.3039896861627838	0.40409880180429303
HP2	wt	Adult	1.8219140542593386	-0.6229040019511035
JHDM1	wt	Adult	1.6007369535191132	0.34135664524371606
KDM4A	wt	Adult	0.30315440282667133	-0.17482994202320926
LSD1	wt	Adult	18.555163544332284	1.262494781901016
POF	wt	Adult	1.6083603847562464	0.2946545816717318
PolII	wt	Adult	1.3734746228086363	0.3719229275102907
RPD3	wt	Adult	0.5407343552915225	0.19776275785445926
Su(var)3-7	wt	Adult	0.36431368201782854	0.16437523194346484
dSFMBT	wt	Adult	1.3291377427995705	0.3803889261430478
