Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
BEAF32A-and-BEAF42B	wt	Embryo	0.10398224622188129	-0.06107427129304414
CP190	wt	Embryo	0.5741281189107876	0.2828505822159472
CTCF	wt	Embryo	2.3507012362363446	0.8280441448670129
Chriz	wt	Embryo	1.4275923702415374	-0.7018790556409563
GAF	wt	Embryo	6.43915734110531	0.9118763853999656
H1	wt	Embryo	3.6594643721626303	-1.3495444005398813
H2Av	wt	Embryo	3.044480938342335	-0.6723512696655318
H2Bubi	wt	Embryo	3.2054343381495887	0.5217414494270728
H3	wt	Embryo	4.125131442770313	-1.1505365950904527
H3K18ac	wt	Embryo	24.369560107201934	1.5834622229431272
H3K23ac	wt	Embryo	0.36742500641680076	-0.06584949598675226
H3K27ac	wt	Embryo	20.54544690481009	1.3545642281458588
H3K27me2	wt	Embryo	2.50483696257264	-0.5012281345631336
H3K27me3	wt	Embryo	0.9229625984488309	-0.42224601122977906
H3K36me1	wt	Embryo	8.140684011414454	0.9087561663118162
H3K36me2	wt	Embryo	6.708574078029851	-1.0032263416928775
H3K36me3	wt	Embryo	4.960473161491631	-0.9280544009052578
H3K4me1	wt	Embryo	15.175511654149451	1.131626125676843
H3K4me3	wt	Embryo	0.11002748979261857	-0.06403256060864905
H3K79me1	wt	Embryo	7.470735930998248	0.7848617574235806
H3K79me2	wt	Embryo	0.0330156612157674	-0.046216963611093585
H3K79me3	wt	Embryo	3.5424290079831295	0.5587046871535203
H3K9acS10P	wt	Embryo	3.5532489410178134	-0.6264698688530451
H3K9me1	wt	Embryo	1.3201896592758449	-0.48267885122243404
H3K9me2	wt	Embryo	15.875712042799734	-2.4001817392454092
H3K9me3	wt	Embryo	11.133389607499565	-1.9514178452169137
H4	wt	Embryo	23.164980796693765	-1.75834853802831
H4K16ac	wt	Embryo	0.4771293806004417	-0.3525633972694233
H4K20me1	wt	Embryo	2.3136665183606984	0.45097393737660063
HP1a	wt	Embryo	3.812608273995843	-0.8682134928414962
HP1b	wt	Embryo	0.863664372436992	0.3486641758290956
HP1c	wt	Embryo	1.1080003609709679	0.4047957379006204
HP2	wt	Embryo	5.088278333574793	-1.4785745230670828
HP4	wt	Embryo	10.429362174582476	-2.774260777757385
JHDM1	wt	Embryo	0.735248666738987	0.31000653770307857
LSD1	wt	Embryo	10.457922731482128	1.2768184926961852
MBD-R2	wt	Embryo	1.0265160991994637	-0.4241859567944521
MOF	wt	Embryo	2.3894602699037315	0.6586531594142682
NURF301	wt	Embryo	0.18767778900171225	-0.15851651398690844
ORC2	wt	Embryo	1.2093764196580858	2.0221186898639902
POF	wt	Embryo	0.12763296923249304	0.09601060640244365
Pc	wt	Embryo	1.6202138052377149	-0.8229966603962188
PolII	wt	Embryo	3.889824670776354	0.7386227905913856
Psc	wt	Embryo	1.1901749107697668	-0.7060078522041854
RPD3	wt	Embryo	4.858976238478949	-0.8690935439567754
Su(Hw)	wt	Embryo	0.16435544902312485	-0.14291968798553917
Su(var)3-7	wt	Embryo	0.7846582264058771	-0.28610402176540245
ZW5	wt	Embryo	0.3229048052216029	0.25393549081732375
dMi-2	wt	Embryo	4.51188415668988	0.8030730278453895
dRING	wt	Embryo	0.8981205451650145	0.4071096354880168
