Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Larvae	8.2759919787405	-1.342370150949116
H2Av	wt	Larvae	1.649645068623517	-0.3136175106656197
H2Bubi	wt	Larvae	1.8481402271725262	0.35529175487456316
H3	wt	Larvae	22.26938535898712	-1.4176586831254048
H3K23ac	wt	Larvae	0.938938879293698	-0.14640046425883843
H3K27ac	wt	Larvae	23.251621901162626	1.4007664572247513
H3K27me1	wt	Larvae	7.209921847214043	0.7731463255283223
H3K27me2	wt	Larvae	11.50529014206242	-0.9545923430302118
H3K27me3	wt	Larvae	5.038654304875377	-1.0403553935680827
H3K36me1	wt	Larvae	20.009572154062084	1.28209781624867
H3K36me3	wt	Larvae	7.023187560630052	-1.0322590922415757
H3K4me1	wt	Larvae	9.580079080514086	0.7933747699178415
H3K4me2	wt	Larvae	0.8823382287620968	0.23627870070277546
H3K4me3	wt	Larvae	1.3683970546538777	-0.43909787858154387
H3K79me1	wt	Larvae	2.7067381634672767	0.4138120024321319
H3K79me2	wt	Larvae	5.836995216027421	0.6524499260288924
H3K79me3	wt	Larvae	6.3843056598239185	0.7165209185720817
H3K9ac	wt	Larvae	5.463211241628514	0.6526674988332167
H3K9acS10P	wt	Larvae	2.8066581574838367	0.46134589244705576
H3K9me1	wt	Larvae	8.965545016420764	0.7724312892592492
H3K9me2	wt	Larvae	14.488731101370634	-1.798109294148074
H3K9me3	wt	Larvae	10.911685015082027	-1.5964356279518315
H4K16ac	wt	Larvae	0.3574387445376428	0.12724340197919173
H4K20me1	wt	Larvae	11.785876501733398	0.9393725182693077
H4K8ac	wt	Larvae	10.597233972588288	1.0196440218755007
HP1a	wt	Larvae	11.94645204083374	-1.8768312374600793
HP1b	wt	Larvae	1.6698699613988381	0.40663899466418335
HP1c	wt	Larvae	1.9532562228775692	0.44671785298789485
HP2	wt	Larvae	6.232424028978258	-0.9615969679146531
KDM4A	wt	Larvae	3.719453751371512	0.4288125852551869
LSD1	wt	Larvae	36.09086903048458	1.7072116013475067
ORC2	wt	Larvae	1.1727531440275176	0.5535236105444102
POF	wt	Larvae	6.501185177741131	-1.0318735456418113
PolII	wt	Larvae	1.5405121578529304	0.29815462117820113
RPD3	wt	Larvae	1.5633509692107646	-0.4327223189271332
Replication-Origin	wt	Larvae	15.038741491947084	-3.614283263916743
Smc3	wt	Larvae	1.3873311198619678	-0.3019318971852865
Su(var)3-7	wt	Larvae	1.9544255380714493	-0.45975827762908317
Su(var)3-9	wt	Larvae	13.804825912723883	-1.460413783762899
dSFMBT	wt	Larvae	0.6437559150350399	0.19870791152501752
