Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	7.857767008205286	1.2418462837422217
ASH-1	wt	S2	enriched	7.105593683903183	1.5515636510715094
BEAF-32	wt	S2	enriched	0.24018444315295187	-0.3589428734580217
CG10630	wt	S2	enriched	0.33718552490614595	-0.5863842556657506
CP190	wt	S2	enriched	0.7423856828446055	-0.40985833950210776
CTCF	wt	S2	enriched	0.31544993212317635	0.03207306194610577
Chriz	wt	S2	enriched	0.9268657432873567	-0.33735534841889125
Enhancer-of-zeste	wt	S2	enriched	0.680283698176478	-5.980560057538011
GAF	wt	S2	enriched	14.691381315652691	1.493521393257315
H1	wt	S2	enriched	0.0	-0.8942951064617248
H2Av	wt	S2	enriched	2.4688426599756617	-0.5443237601564838
H2BK5ac	wt	S2	enriched	8.412457398806382	0.907667518104866
H2Bubi	wt	S2	enriched	0.20855498273800127	0.07588855471893255
H3	wt	S2	enriched	0.7867213700072054	-0.8572336923409261
H3K18ac	wt	S2	enriched	24.428337743823498	1.5854481263092008
H3K23ac	wt	S2	enriched	0.4458203279799563	-0.8043985542499448
H3K27ac	wt	S2	enriched	15.978942486752917	1.348154973446094
H3K27me1	wt	S2	enriched	1.2855864077128787	0.32309332179210004
H3K27me2	wt	S2	enriched	0.2751528321768913	-0.3238575838471925
H3K27me3	wt	S2	enriched	6.795120666239338	-1.2142067527584983
H3K36me1	wt	S2	enriched	16.30174282329286	1.3085996929368344
H3K36me3	wt	S2	enriched	8.8765373252589	-1.7574894982695155
H3K4me1	wt	S2	enriched	18.558665782339993	1.2853630642255363
H3K4me2	wt	S2	enriched	6.754154973677241	0.7936476107147259
H3K4me3	wt	S2	enriched	0.4738176039832497	-0.23203417536853552
H3K79me1	wt	S2	enriched	0.5537384566898483	-0.20131634637680262
H3K79me2	wt	S2	enriched	0.3763937000120816	0.1454682142819051
H3K79me3	wt	S2	enriched	0.0	-0.015942986564783875
H3K9ac	wt	S2	enriched	8.872405656084204	0.9757736386148819
H3K9acS10P	wt	S2	enriched	5.137713543205614	1.1302785451618265
H3K9me1	wt	S2	enriched	2.4377905094221175	0.5587377996686345
H3K9me2	wt	S2	enriched	5.01431999406236	-0.8955948204867104
H3K9me3	wt	S2	enriched	1.0128339785953302	-0.48980797126778347
H4	wt	S2	enriched	10.148277021311431	-16.609640474436812
H4K12ac	wt	S2	enriched	4.436103804124976	0.7092994595192539
H4K16ac	wt	S2	enriched	4.129349866103238	0.5653073371129191
H4K20me1	wt	S2	enriched	2.6858377282900157	-1.0173878490199415
H4K5ac	wt	S2	enriched	8.24818221226312	0.948608322577829
H4K8ac	wt	S2	enriched	19.10027796340288	1.3668173671257464
H4acTetra	wt	S2	enriched	10.954677021213342	1.0895049304051323
HP1a	wt	S2	enriched	0.5112947056118401	-0.6460367257767471
HP1b	wt	S2	enriched	8.08004612540964	1.2916450908459152
HP1c	wt	S2	enriched	8.417281641091979	1.2688961555514402
HP2	wt	S2	enriched	0.1369211272215561	-0.30398837595015626
HP4	wt	S2	enriched	0.36217159523149284	-16.609640474436812
ISWI	wt	S2	enriched	3.70090918989308	0.7523093725559029
JHDM1	wt	S2	enriched	6.7070250944143375	1.4018346300569848
JIL-1	wt	S2	enriched	3.8353138824543715	-0.749880552567374
KDM4A	wt	S2	enriched	0.33515078002717685	-0.29255943774061965
LSD1	wt	S2	enriched	14.781088753534528	1.3910092420958937
MBD-R2	wt	S2	enriched	0.8998103771528395	-0.030180543539498107
MCM2-7	wt	S2	enriched	0.8130717001157449	0.6287791687035468
MLE	wt	S2	enriched	3.405086468439669	0.6058327885376639
MOF	wt	S2	enriched	1.2009835689333859	0.3939762550327785
MRG15	wt	S2	enriched	1.9421763308575304	-0.5924904184874362
MSL-1	wt	S2	enriched	0.07503878684048586	-0.11090032162592177
NURF301	wt	S2	enriched	0.6200211658804238	0.007403947126970419
ORC2	wt	S2	enriched	0.37850835758950474	0.3962904790064596
PCL	wt	S2	enriched	0.5100731483097863	-0.6268589940592443
POF	wt	S2	enriched	0.46249469669047355	0.05706008326664543
PR-Set7	wt	S2	enriched	2.8308253802462566	0.7268399341967366
Pc	wt	S2	enriched	0.8070906328785744	-0.38366762012918293
Pho	wt	S2	enriched	1.7405972718574116	0.82131020452427
PolII	wt	S2	enriched	5.559190146790363	0.9548458664054362
Psc	wt	S2	enriched	0.6013893352803238	-0.8865703145989894
RPD3	wt	S2	enriched	3.7422014708469695	0.9335801916184282
Replication-Origin	wt	S2	enriched	24.007733750515516	1.853600498158918
Rhino	wt	S2	enriched	3.6736641390712483	1.0840710699377119
SPT16	wt	S2	enriched	8.700926009818879	1.519212426972273
Smc3	wt	S2	enriched	7.039412980406327	1.4240455066541973
Su(Hw)	wt	S2	enriched	2.6818925271740106	-0.9380352532181129
Su(var)3-7	wt	S2	enriched	0.1065656074573347	-0.17297772557062288
Su(var)3-9	wt	S2	enriched	0.32896189140281895	-0.7014966003466164
WDS	wt	S2	enriched	3.622256759645994	0.7180963541164792
ZW5	wt	S2	enriched	6.54119251946244	1.065229863327668
dMi-2	wt	S2	enriched	16.663338515999627	1.5824478104141555
dRING	wt	S2	enriched	1.0207470730142814	0.4960888084424489
dSFMBT	wt	S2	enriched	7.82102305270683	1.1414393307831985
dmTopo-II	wt	S2	enriched	16.101900389585435	1.6703916894676278
mod(mdg4)	wt	S2	enriched	0.6493673328125764	-0.7182387142349956
