Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Larvae	0.0	-16.609640474436812
H2Av	wt	Larvae	0.0	-16.609640474436812
H2Bubi	wt	Larvae	0.5988460942312308	inf
H3	wt	Larvae	0.11281744146586357	-16.609640474436812
H3K23ac	wt	Larvae	0.0	-16.609640474436812
H3K27ac	wt	Larvae	0.665524678050228	inf
H3K27me1	wt	Larvae	0.6458606986745222	inf
H3K27me2	wt	Larvae	0.10751301771937993	-16.609640474436812
H3K27me3	wt	Larvae	0.0	-16.609640474436812
H3K36me1	wt	Larvae	0.6262292076792655	inf
H3K36me3	wt	Larvae	0.7238332509400416	inf
H3K4me1	wt	Larvae	0.5092800469115056	inf
H3K4me2	wt	Larvae	0.0	-16.609640474436812
H3K4me3	wt	Larvae	0.0	-16.609640474436812
H3K79me1	wt	Larvae	0.5089496723240082	inf
H3K79me2	wt	Larvae	0.5892666155904458	inf
H3K79me3	wt	Larvae	0.623027754132613	inf
H3K9ac	wt	Larvae	0.0	-16.609640474436812
H3K9acS10P	wt	Larvae	0.75873680565812	inf
H3K9me1	wt	Larvae	0.3129234248628626	inf
H3K9me2	wt	Larvae	0.0	-16.609640474436812
H3K9me3	wt	Larvae	0.0	-16.609640474436812
H4K16ac	wt	Larvae	0.8484884615758128	inf
H4K20me1	wt	Larvae	0.6074363597590623	inf
H4K8ac	wt	Larvae	0.0	-16.609640474436812
HP1a	wt	Larvae	0.0	-16.609640474436812
HP1b	wt	Larvae	0.0	-16.609640474436812
HP1c	wt	Larvae	0.0	-16.609640474436812
HP2	wt	Larvae	0.0	-16.609640474436812
KDM4A	wt	Larvae	0.5118867585745969	inf
LSD1	wt	Larvae	0.5780586958989775	inf
ORC2	wt	Larvae	0.0	-16.609640474436812
POF	wt	Larvae	0.0	-16.609640474436812
PolII	wt	Larvae	0.0	-16.609640474436812
RPD3	wt	Larvae	0.0	-16.609640474436812
Replication-Origin	wt	Larvae	0.0	-16.609640474436812
Smc3	wt	Larvae	0.4369401334880371	inf
Su(var)3-7	wt	Larvae	0.0	-16.609640474436812
Su(var)3-9	wt	Larvae	0.0	-16.609640474436812
dSFMBT	wt	Larvae	0.0	-16.609640474436812
