Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	0.0	-16.609640474436812
ASH-1	wt	S2	enriched	0.44536263088485245	-6.678884205627105
BEAF-32	wt	S2	enriched	0.0	-16.609640474436812
CG10630	wt	S2	enriched	0.0	-16.609640474436812
CP190	wt	S2	enriched	0.0	-16.609640474436812
CTCF	wt	S2	enriched	0.0	-16.609640474436812
Chriz	wt	S2	enriched	0.0	-16.609640474436812
Enhancer-of-zeste	wt	S2	enriched	0.0	-16.609640474436812
GAF	wt	S2	enriched	0.0	-16.609640474436812
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	0.15347252331866804	-9.129046183429303
H2BK5ac	wt	S2	enriched	0.9152807679887024	2.4027249050862944
H2Bubi	wt	S2	enriched	0.0	0.39617045175977733
H3	wt	S2	enriched	0.0	-16.609640474436812
H3K18ac	wt	S2	enriched	1.0754622822245101	2.7497509238153857
H3K23ac	wt	S2	enriched	0.0	-16.609640474436812
H3K27ac	wt	S2	enriched	0.8030222780068739	2.2042268184745994
H3K27me1	wt	S2	enriched	0.9094950585759566	2.389844861682687
H3K27me2	wt	S2	enriched	0.0	-16.609640474436812
H3K27me3	wt	S2	enriched	0.0	-16.609640474436812
H3K36me1	wt	S2	enriched	0.3564387634627778	1.0949184011999231
H3K36me3	wt	S2	enriched	0.0	-16.609640474436812
H3K4me1	wt	S2	enriched	0.8134867086450757	2.1684094391500732
H3K4me2	wt	S2	enriched	0.2738502686061103	0.6714508308689049
H3K4me3	wt	S2	enriched	0.0	-16.609640474436812
H3K79me1	wt	S2	enriched	0.08805654823683694	-10.86701096488134
H3K79me2	wt	S2	enriched	0.6283875247199879	1.755542265251462
H3K79me3	wt	S2	enriched	0.0	-16.609640474436812
H3K9ac	wt	S2	enriched	0.17559076901575085	-7.769965717286878
H3K9acS10P	wt	S2	enriched	0.0	-16.609640474436812
H3K9me1	wt	S2	enriched	0.13767283513149065	-11.969052847188474
H3K9me2	wt	S2	enriched	0.06442872085139739	-8.068613526931715
H3K9me3	wt	S2	enriched	0.0	-16.609640474436812
H4	wt	S2	enriched	0.0	-16.609640474436812
H4K12ac	wt	S2	enriched	0.3783252929806204	1.1997571374816205
H4K16ac	wt	S2	enriched	0.6433524910759942	1.736280003548817
H4K20me1	wt	S2	enriched	0.0	-16.609640474436812
H4K5ac	wt	S2	enriched	0.3542339683925207	1.0847514228092503
H4K8ac	wt	S2	enriched	0.9487316811296148	2.4769026747139766
H4acTetra	wt	S2	enriched	0.3564979746720001	1.0955936590116004
HP1a	wt	S2	enriched	0.0	-16.609640474436812
HP1b	wt	S2	enriched	0.0	-16.609640474436812
HP1c	wt	S2	enriched	0.35845119728138747	-7.0011243035059625
HP2	wt	S2	enriched	0.0	-16.609640474436812
HP4	wt	S2	enriched	0.0	-16.609640474436812
ISWI	wt	S2	enriched	0.0	-16.609640474436812
JHDM1	wt	S2	enriched	0.0	-16.609640474436812
JIL-1	wt	S2	enriched	0.331576820810491	0.9615144339257187
KDM4A	wt	S2	enriched	0.0	-16.609640474436812
LSD1	wt	S2	enriched	0.4940218334678185	1.7111889786894696
MBD-R2	wt	S2	enriched	0.0	-16.609640474436812
MCM2-7	wt	S2	enriched	0.0	-16.609640474436812
MLE	wt	S2	enriched	0.0	-16.609640474436812
MOF	wt	S2	enriched	0.598668400322165	2.146984254602801
MRG15	wt	S2	enriched	0.0	-16.609640474436812
MSL-1	wt	S2	enriched	0.8607822998624141	3.1429051447929033
NURF301	wt	S2	enriched	0.0	-16.609640474436812
ORC2	wt	S2	enriched	0.0	-16.609640474436812
PCL	wt	S2	enriched	0.0	-16.609640474436812
POF	wt	S2	enriched	0.0	-16.609640474436812
PR-Set7	wt	S2	enriched	0.0	-16.609640474436812
Pc	wt	S2	enriched	0.0	-16.609640474436812
Pho	wt	S2	enriched	0.0	-16.609640474436812
PolII	wt	S2	enriched	0.07131071584431863	-12.273781144863882
Psc	wt	S2	enriched	0.0	-16.609640474436812
RPD3	wt	S2	enriched	0.0	-16.609640474436812
Replication-Origin	wt	S2	enriched	1.2537784990152658	3.119523845315908
Rhino	wt	S2	enriched	0.0	-16.609640474436812
SPT16	wt	S2	enriched	0.0	-16.609640474436812
Smc3	wt	S2	enriched	0.0	-16.609640474436812
Su(Hw)	wt	S2	enriched	0.0	-16.609640474436812
Su(var)3-7	wt	S2	enriched	0.0	-16.609640474436812
Su(var)3-9	wt	S2	enriched	0.0	-16.609640474436812
WDS	wt	S2	enriched	0.5110123887526133	1.7882722597427854
ZW5	wt	S2	enriched	0.40683266837352544	-6.819944752283854
dMi-2	wt	S2	enriched	0.40644321590244464	-4.081847044391842
dRING	wt	S2	enriched	0.0	-16.609640474436812
dSFMBT	wt	S2	enriched	0.0	-16.609640474436812
dmTopo-II	wt	S2	enriched	0.0	-16.609640474436812
mod(mdg4)	wt	S2	enriched	0.0	-16.609640474436812
