Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	0.0	-16.609640474436812
H2Av	wt	Adult	0.0	0.19630219448037547
H2Bubi	wt	Adult	1.221658696242992	2.874956394764432
H3	wt	Adult	0.0	-11.272907053479907
H3K18ac	wt	Adult	2.5824847803490276	4.724901382487247
H3K23ac	wt	Adult	0.2046831348695508	1.4596009780098507
H3K27ac	wt	Adult	2.0913709810501278	3.8310702318137495
H3K27me1	wt	Adult	2.327171780252787	4.216487982307665
H3K27me2	wt	Adult	0.0	-0.335337912395458
H3K27me3	wt	Adult	0.17614418187323003	-11.895046547248645
H3K36me1	wt	Adult	1.9183074654048744	3.7692985664979766
H3K36me2	wt	Adult	0.0	-0.8192699054979079
H3K36me3	wt	Adult	0.0	-16.609640474436812
H3K4me1	wt	Adult	2.2588133534506496	4.244877059373222
H3K4me2	wt	Adult	0.8616387834570459	2.4906404074226294
H3K4me3	wt	Adult	0.6103977780182017	2.301299006211929
H3K79me1	wt	Adult	0.0	-0.7122462542811743
H3K79me2	wt	Adult	2.514087113076292	inf
H3K79me3	wt	Adult	3.448082449016054	inf
H3K9ac	wt	Adult	1.0019001976354514	2.582622406498299
H3K9acS10P	wt	Adult	0.4741979974873523	1.9741278027250848
H3K9me1	wt	Adult	0.7408491446392661	2.2729197592670523
H3K9me2	wt	Adult	0.07886579371159329	-16.609640474436812
H3K9me3	wt	Adult	0.0	-16.609640474436812
H4K16ac	wt	Adult	0.0	1.0677933672513218
H4K20me1	wt	Adult	1.43201084015263	3.1240420415192154
H4K8ac	wt	Adult	1.6265217562360004	3.4868333808926146
HP1a	wt	Adult	0.0	-16.609640474436812
HP1b	wt	Adult	0.11228127244181164	1.4277043669067941
HP1c	wt	Adult	0.18314477473705848	1.6525187214950385
HP2	wt	Adult	0.0	0.34194399712128476
JHDM1	wt	Adult	0.14579537353674724	1.2432133537523866
KDM4A	wt	Adult	0.02100296497378859	1.0251133122428993
LSD1	wt	Adult	2.158145863269271	4.1731077975221895
POF	wt	Adult	0.1870816230983532	1.6486762510725583
PolII	wt	Adult	0.0158900518524768	1.0231629756944016
RPD3	wt	Adult	0.045148253506837044	0.9275747837920724
Su(var)3-7	wt	Adult	0.0	-0.2447970202366241
dSFMBT	wt	Adult	0.004522256164594662	0.5567581243074935
