Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
BEAF32A-and-BEAF42B	wt	Embryo	0.0	-4.9228703284494015
CP190	wt	Embryo	0.05651426016093849	1.2976911818509074
CTCF	wt	Embryo	0.003988425758381862	-10.530556480611846
Chriz	wt	Embryo	0.0	-4.839010850389329
GAF	wt	Embryo	1.44331650410786	3.252312416125818
H1	wt	Embryo	0.0	-16.609640474436812
H2Av	wt	Embryo	0.00848098004529497	0.8966842102032859
H2Bubi	wt	Embryo	1.1089683240191472	2.722037136189591
H3	wt	Embryo	0.0	-11.309217939195756
H3K18ac	wt	Embryo	2.579985576623289	4.433069571278473
H3K23ac	wt	Embryo	0.0	-0.13364243981803167
H3K27ac	wt	Embryo	2.026620209390009	3.7601211626690265
H3K27me2	wt	Embryo	0.0	0.2759428129442348
H3K27me3	wt	Embryo	0.0	-16.609640474436812
H3K36me1	wt	Embryo	1.5341808093918032	3.250897543544539
H3K36me2	wt	Embryo	0.0	-16.609640474436812
H3K36me3	wt	Embryo	0.0	-16.609640474436812
H3K4me1	wt	Embryo	1.850200426399418	3.730988881408596
H3K4me3	wt	Embryo	0.42691300890297973	1.8019776688707128
H3K79me1	wt	Embryo	1.4117131402495804	3.145695830430156
H3K79me2	wt	Embryo	0.5981204329207213	2.274279672541727
H3K79me3	wt	Embryo	2.3728886672499465	4.382615305091612
H3K9acS10P	wt	Embryo	0.0	0.6411862680920201
H3K9me1	wt	Embryo	0.0	-11.27950977977538
H3K9me2	wt	Embryo	0.0	-16.609640474436812
H3K9me3	wt	Embryo	0.0	-16.609640474436812
H4	wt	Embryo	0.2913669686616358	-16.609640474436812
H4K16ac	wt	Embryo	0.0	-10.670252482116998
H4K20me1	wt	Embryo	1.05383611456321	2.6492093078373906
HP1a	wt	Embryo	0.0	-6.714826171770395
HP1b	wt	Embryo	1.2882583969566361	3.198430858656098
HP1c	wt	Embryo	1.8618118972342959	3.7504249800725766
HP2	wt	Embryo	0.0	-16.609640474436812
HP4	wt	Embryo	0.0	-16.609640474436812
JHDM1	wt	Embryo	0.12412147748292689	-10.467763874758992
LSD1	wt	Embryo	0.17261785168972066	-4.308101741867753
MBD-R2	wt	Embryo	0.013022706248458834	0.7071790601697664
MOF	wt	Embryo	0.41532503400371507	2.309936859053677
NURF301	wt	Embryo	0.02197252197681511	0.7836673170044154
ORC2	wt	Embryo	0.0	-16.609640474436812
POF	wt	Embryo	0.08751525945430501	1.8075278188015858
Pc	wt	Embryo	0.0	-16.609640474436812
PolII	wt	Embryo	0.10245060114231469	-4.531037328877665
Psc	wt	Embryo	0.0	-16.609640474436812
RPD3	wt	Embryo	0.037793568716745746	0.6033153418813552
Su(Hw)	wt	Embryo	0.0	-5.014034182294967
Su(var)3-7	wt	Embryo	0.0027667544550768184	0.31905173586357144
ZW5	wt	Embryo	0.0	-16.609640474436812
dMi-2	wt	Embryo	1.9652696909046659	3.758843533983786
dRING	wt	Embryo	0.43572128545549127	2.349027787770734
