Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Larvae	0.03883948151726959	-16.609640474436812
H2Av	wt	Larvae	0.0	-5.424278135201823
H2Bubi	wt	Larvae	2.4758555342658166	4.474886979906
H3	wt	Larvae	0.5559079777975677	-16.609640474436812
H3K23ac	wt	Larvae	0.0	-5.505010414689483
H3K27ac	wt	Larvae	3.0080747653131343	5.137851026752701
H3K27me1	wt	Larvae	2.329144237990268	4.217032065277909
H3K27me2	wt	Larvae	0.08663103086275457	-1.8985349480216083
H3K27me3	wt	Larvae	0.0	-16.609640474436812
H3K36me1	wt	Larvae	3.7877596943436846	inf
H3K36me3	wt	Larvae	0.0	-16.609640474436812
H3K4me1	wt	Larvae	1.832914120919239	3.7961582010954706
H3K4me2	wt	Larvae	0.6452757778762067	2.2483116069192155
H3K4me3	wt	Larvae	0.7263632371778787	2.5191589436135895
H3K79me1	wt	Larvae	1.5534549913374098	3.3834508519191844
H3K79me2	wt	Larvae	2.679302385388079	4.815942278016192
H3K79me3	wt	Larvae	2.8224460281714685	4.955074483843401
H3K9ac	wt	Larvae	1.5387845755457459	3.2430111859488187
H3K9acS10P	wt	Larvae	2.0134269213883536	3.731644234731738
H3K9me1	wt	Larvae	1.9814545528726368	4.022502661085131
H3K9me2	wt	Larvae	0.0	-16.609640474436812
H3K9me3	wt	Larvae	0.0	-16.609640474436812
H4K16ac	wt	Larvae	0.0	0.8776176463754289
H4K20me1	wt	Larvae	2.7959193044943915	inf
H4K8ac	wt	Larvae	0.9813225948872426	2.6126031492210573
HP1a	wt	Larvae	0.0	-16.609640474436812
HP1b	wt	Larvae	1.3922081058724556	3.1896215490989035
HP1c	wt	Larvae	1.4398592904849092	3.250074444018152
HP2	wt	Larvae	0.0	-0.0029088547850947277
KDM4A	wt	Larvae	1.7571513938732684	3.517512642968624
LSD1	wt	Larvae	3.1704154674928025	inf
ORC2	wt	Larvae	0.0	-16.609640474436812
POF	wt	Larvae	0.2984378056902954	-4.28817280396249
PolII	wt	Larvae	0.09529205185953198	0.8093641550395277
RPD3	wt	Larvae	0.0	0.4681973679570877
Replication-Origin	wt	Larvae	0.0	-16.609640474436812
Smc3	wt	Larvae	0.1391128559292373	-4.58311733686229
Su(var)3-7	wt	Larvae	0.012342924086283699	0.7088805908912756
Su(var)3-9	wt	Larvae	0.0	-5.891247505112152
dSFMBT	wt	Larvae	0.6377137063992445	2.338208082027981
