Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	0.9014254899742925	1.3961649704268788
ASH-1	wt	S2	enriched	3.961724059602625	3.7875261107221943
BEAF-32	wt	S2	enriched	0.06780161815122283	-11.401632362653592
CG10630	wt	S2	enriched	0.5437402757335277	1.627144541385446
CP190	wt	S2	enriched	0.3274730678478475	-16.609640474436812
CTCF	wt	S2	enriched	0.16098849601233653	-8.068775673660452
Chriz	wt	S2	enriched	0.5527219969338262	-8.647315397350356
Enhancer-of-zeste	wt	S2	enriched	0.3883209822337359	-10.297772025123697
GAF	wt	S2	enriched	2.4239756435577613	2.2516094573841157
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	0.3033207852865232	-2.4340712978451924
H2BK5ac	wt	S2	enriched	1.3977663256135726	1.4797531071609706
H2Bubi	wt	S2	enriched	0.5326139074476496	0.7840935207304126
H3	wt	S2	enriched	0.0	-16.609640474436812
H3K18ac	wt	S2	enriched	2.8243432527183363	2.134224226078168
H3K23ac	wt	S2	enriched	1.169175662118832	2.4235399368213444
H3K27ac	wt	S2	enriched	1.982519710944005	1.7864287128283851
H3K27me1	wt	S2	enriched	0.6106744081825072	0.9038172693813987
H3K27me2	wt	S2	enriched	0.31472597569012417	0.6063569655539243
H3K27me3	wt	S2	enriched	0.0	-0.12341822570162192
H3K36me1	wt	S2	enriched	2.7055117289927435	2.070392762875501
H3K36me3	wt	S2	enriched	0.994658520359651	-16.609640474436812
H3K4me1	wt	S2	enriched	2.622101054064448	1.9349862494295913
H3K4me2	wt	S2	enriched	1.4829325484168911	1.470459456874182
H3K4me3	wt	S2	enriched	0.21789186660083162	-1.3723799253580964
H3K79me1	wt	S2	enriched	0.1826151380951123	0.12149470067696809
H3K79me2	wt	S2	enriched	0.7810608011180866	1.0468719864476324
H3K79me3	wt	S2	enriched	0.640847788553105	0.9523410221387452
H3K9ac	wt	S2	enriched	1.5356507790605094	1.4845787427338064
H3K9acS10P	wt	S2	enriched	1.83597447571216	2.2699338013781523
H3K9me1	wt	S2	enriched	0.7022314176853927	1.0215047783019608
H3K9me2	wt	S2	enriched	0.24524581458139633	-8.543351567102432
H3K9me3	wt	S2	enriched	0.09748077396748621	-16.609640474436812
H4	wt	S2	enriched	0.20487109266676481	-16.609640474436812
H4K12ac	wt	S2	enriched	0.27882439672339127	0.519048677220485
H4K16ac	wt	S2	enriched	0.49763873205629705	0.6955705556124385
H4K20me1	wt	S2	enriched	0.7379287873827068	1.124996384796332
H4K5ac	wt	S2	enriched	2.0745538240167294	1.7811540492456832
H4K8ac	wt	S2	enriched	2.9502007220810134	2.125654407558376
H4acTetra	wt	S2	enriched	2.711102723677434	2.0731381330839382
HP1a	wt	S2	enriched	0.09748517972384221	-14.048647569852092
HP1b	wt	S2	enriched	1.2885900668164059	1.7473125920429253
HP1c	wt	S2	enriched	2.5039209549369374	2.369427602102034
HP2	wt	S2	enriched	0.0	-16.609640474436812
HP4	wt	S2	enriched	0.0	-16.609640474436812
ISWI	wt	S2	enriched	0.8337835172246697	1.2329077804363635
JHDM1	wt	S2	enriched	2.4636628145465713	2.2284182106037997
JIL-1	wt	S2	enriched	0.7213083519917195	-1.9915422613875338
KDM4A	wt	S2	enriched	0.09521340953897393	-8.009933700735061
LSD1	wt	S2	enriched	2.950476669716187	2.3044220961117077
MBD-R2	wt	S2	enriched	0.460912971250037	-4.959120022574777
MCM2-7	wt	S2	enriched	0.6185587330221224	-4.119989457062069
MLE	wt	S2	enriched	0.4446041696144469	0.9020028870541849
MOF	wt	S2	enriched	0.37640961220846775	0.820493512244342
MRG15	wt	S2	enriched	0.29747468817170314	-1.4092513611672082
MSL-1	wt	S2	enriched	0.0	-0.12656474670525258
NURF301	wt	S2	enriched	0.1698959549976812	-5.531067539773119
ORC2	wt	S2	enriched	0.09724464791038952	-13.008918226478059
PCL	wt	S2	enriched	0.894466440391484	-6.982429474170006
POF	wt	S2	enriched	0.46527116082562764	-4.05854622351066
PR-Set7	wt	S2	enriched	1.3703457968458117	1.766387381721229
Pc	wt	S2	enriched	0.18059852422529316	0.4492262038444771
Pho	wt	S2	enriched	1.7882922495933136	2.6433967625290062
PolII	wt	S2	enriched	0.7057026898499629	0.9734580024584428
Psc	wt	S2	enriched	0.0	-16.609640474436812
RPD3	wt	S2	enriched	0.5450941906570408	0.9891462753350186
Replication-Origin	wt	S2	enriched	0.5206982793022765	0.8147636845775829
Rhino	wt	S2	enriched	2.363933563700505	2.796807456997913
SPT16	wt	S2	enriched	2.7727837370626647	2.9388271178656784
Smc3	wt	S2	enriched	1.8301440187504572	2.4422820845775095
Su(Hw)	wt	S2	enriched	0.47089347573536394	-12.794070874095869
Su(var)3-7	wt	S2	enriched	0.3455057978748623	0.7840935207304126
Su(var)3-9	wt	S2	enriched	0.0	-16.609640474436812
WDS	wt	S2	enriched	0.0	-0.0320788783022338
ZW5	wt	S2	enriched	1.7697346268080605	2.6976201884386493
dMi-2	wt	S2	enriched	2.179156690284497	2.107362968019201
dRING	wt	S2	enriched	0.9164344050366269	1.5466300878158612
dSFMBT	wt	S2	enriched	2.4213264145205	2.2744137513218683
dmTopo-II	wt	S2	enriched	2.84536304048158	2.57192188957221
mod(mdg4)	wt	S2	enriched	0.0	-16.609640474436812
