Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	1.8701131251552454	-1.8080893160382843
H2Av	wt	Adult	2.478391709626439	-0.8605194585056184
H2Bubi	wt	Adult	1.0517941718238086	0.4275714457999298
H3	wt	Adult	1.0356278567091362	-0.7613769437712662
H3K18ac	wt	Adult	7.815627896844731	1.3607363171795859
H3K23ac	wt	Adult	0.4585574815378723	0.2461368079892328
H3K27ac	wt	Adult	2.248393992549149	0.6951724006598426
H3K27me1	wt	Adult	0.3606794116442131	-0.17747565672720286
H3K27me2	wt	Adult	3.1880582645925846	-1.072034997988954
H3K27me3	wt	Adult	4.726617117288461	-1.1976991471878575
H3K36me1	wt	Adult	6.415663413308526	1.2292765273862394
H3K36me2	wt	Adult	2.2328364742056124	-0.8242961950962054
H3K36me3	wt	Adult	2.4853087635974798	-1.0231802890023347
H3K4me1	wt	Adult	1.8175464305004114	0.6040078840262915
H3K4me2	wt	Adult	0.02368891122818396	-0.03784062716177306
H3K4me3	wt	Adult	0.44048691801100653	-0.351751530786607
H3K79me1	wt	Adult	0.3215494531292872	-0.04609834101796573
H3K79me2	wt	Adult	0.7138002827439514	-0.11971579808497317
H3K79me3	wt	Adult	0.9647215193058319	0.3708709137703316
H3K9ac	wt	Adult	1.7253679872046686	0.5650106117108898
H3K9acS10P	wt	Adult	0.5781162488109592	0.3081006408528888
H3K9me1	wt	Adult	0.5254219357122679	-0.26561860668820886
H3K9me2	wt	Adult	3.1824262351068295	-1.0682643507059555
H3K9me3	wt	Adult	3.458942543100792	-1.4144326416069577
H4K16ac	wt	Adult	0.9327396930397597	0.45005875878940144
H4K20me1	wt	Adult	2.021886852872742	0.637562786412499
H4K8ac	wt	Adult	3.476279582271481	0.875077954816855
HP1a	wt	Adult	3.69866700336592	-1.5667965853251922
HP1b	wt	Adult	0.25819359744365017	0.1636598469619561
HP1c	wt	Adult	0.47102652133126605	0.22838969300912657
HP2	wt	Adult	2.0944596671400864	-1.2652339908629593
JHDM1	wt	Adult	0.12873512770346757	-0.05987852171267355
KDM4A	wt	Adult	0.9100655186196592	-0.47827567234764246
LSD1	wt	Adult	6.254433942758783	1.1948901542566366
POF	wt	Adult	0.7168140479737654	0.19030525950471752
PolII	wt	Adult	0.4010253956598186	0.23090836650289182
RPD3	wt	Adult	0.07523082947753092	-0.07426338224735486
Su(var)3-7	wt	Adult	0.31475509274630764	-0.23793694108896712
dSFMBT	wt	Adult	0.7218886397911236	0.3892737641249888
