Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
BEAF32A-and-BEAF42B	wt	Embryo	0.9233671434852218	-0.8041139698708685
CP190	wt	Embryo	0.2772907942903976	0.2037922740290501
CTCF	wt	Embryo	0.20292011900602255	-0.4309799224240409
Chriz	wt	Embryo	1.4230026783412069	-1.2540671257726108
GAF	wt	Embryo	4.254891375123223	1.1516900212546386
H1	wt	Embryo	1.6822981436470965	-1.8146526284144895
H2Av	wt	Embryo	2.680783640068011	-1.0932851433032829
H2Bubi	wt	Embryo	1.6598195246194154	0.5778032273730656
H3	wt	Embryo	1.6102577128327835	-1.4308954662751894
H3K18ac	wt	Embryo	10.559499202034335	1.6831465829421408
H3K23ac	wt	Embryo	0.36742197781898783	-0.2640189945340965
H3K27ac	wt	Embryo	7.720599010399781	1.3611821725871842
H3K27me2	wt	Embryo	1.2859924965783216	-0.5427333395338397
H3K27me3	wt	Embryo	0.058990144265584	-0.06616137289803543
H3K36me1	wt	Embryo	5.189934063514773	1.1527512937189421
H3K36me2	wt	Embryo	2.4993188308060934	-0.9686279656857453
H3K36me3	wt	Embryo	2.2247949306194768	-0.9892131932032502
H3K4me1	wt	Embryo	5.249754827813692	1.0746986965257588
H3K4me3	wt	Embryo	0.9975603647229164	-0.6149669658815694
H3K79me1	wt	Embryo	4.061346478414197	0.9319699318773861
H3K79me2	wt	Embryo	0.8854224492486682	-0.5992962842468563
H3K79me3	wt	Embryo	2.7739789859612274	0.7725849786600977
H3K9acS10P	wt	Embryo	2.510376378723537	-0.8669383643956646
H3K9me1	wt	Embryo	1.0641879284352889	-0.6498008227259475
H3K9me2	wt	Embryo	5.615456933719705	-2.8846875179175444
H3K9me3	wt	Embryo	4.771290166506332	-2.32657034214089
H4	wt	Embryo	11.949650105187844	-2.278686510223644
H4K16ac	wt	Embryo	0.2127965332460715	0.015924309620790073
H4K20me1	wt	Embryo	1.9066359951736322	0.6125784965150659
HP1a	wt	Embryo	2.8916841131950326	-1.430352757947431
HP1b	wt	Embryo	0.026740440958911076	-0.021950066141773434
HP1c	wt	Embryo	0.13470423019734842	-0.09499282569652025
HP2	wt	Embryo	3.797218405909814	-5.937961655868644
HP4	wt	Embryo	5.181642220203962	-8.19117267313922
JHDM1	wt	Embryo	0.5698647075282289	0.23099464800999667
LSD1	wt	Embryo	2.7256690319146912	1.0330697439584193
MBD-R2	wt	Embryo	1.1462020894798703	-0.7392132620537071
MOF	wt	Embryo	1.5661742491459787	0.766826602958946
NURF301	wt	Embryo	0.7528090669982997	-0.559268040217121
ORC2	wt	Embryo	0.0	-16.609640474436812
POF	wt	Embryo	0.5968180433995411	0.45840781001220005
Pc	wt	Embryo	0.3133001348740611	-0.43581231637270235
PolII	wt	Embryo	0.40198278074720273	0.24368182182934328
Psc	wt	Embryo	1.0343980083983186	-1.0108078778237792
RPD3	wt	Embryo	2.595952657565079	-1.1724039138775308
Su(Hw)	wt	Embryo	0.08283305723546179	-0.025580648796805664
Su(var)3-7	wt	Embryo	0.6413301684346474	-0.38071851419129926
ZW5	wt	Embryo	0.5025883926428042	-11.292993584298848
dMi-2	wt	Embryo	2.14347753761933	0.7771559126023857
dRING	wt	Embryo	0.300183414507004	0.19560329146121616
