Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Larvae	2.711744123425909	-1.355038047337061
H2Av	wt	Larvae	1.7280838438438453	-0.7050978821917245
H2Bubi	wt	Larvae	0.8154467970751401	0.36441598455206653
H3	wt	Larvae	10.860858195750799	-1.814336088039737
H3K23ac	wt	Larvae	0.5967999899729771	-0.32600916302888916
H3K27ac	wt	Larvae	7.475451375114862	1.3643584846945558
H3K27me1	wt	Larvae	1.608886220524366	0.5769443057146029
H3K27me2	wt	Larvae	5.075567308663131	-1.1014529669626159
H3K27me3	wt	Larvae	0.926685352945443	-0.6482963963237356
H3K36me1	wt	Larvae	8.12893203867421	1.4018262822142675
H3K36me3	wt	Larvae	3.1166941880454977	-1.2352838700922792
H3K4me1	wt	Larvae	3.778559497187755	0.8294590847892763
H3K4me2	wt	Larvae	0.38064891142260265	0.21405991767051777
H3K4me3	wt	Larvae	0.6102768274045105	-0.4769743106807889
H3K79me1	wt	Larvae	1.1925262104309158	0.4490331157380713
H3K79me2	wt	Larvae	1.8815571288885018	0.6173785169333085
H3K79me3	wt	Larvae	2.1196717497511273	0.6775057580882814
H3K9ac	wt	Larvae	2.6204679046264476	0.7697781452911269
H3K9acS10P	wt	Larvae	1.263057061937308	0.4630911413609611
H3K9me1	wt	Larvae	3.4800882047588786	0.8321385314912094
H3K9me2	wt	Larvae	5.773564933914035	-2.187879866404444
H3K9me3	wt	Larvae	4.513463303047009	-1.9757616729932916
H4K16ac	wt	Larvae	0.4187852084149231	0.24324914948784868
H4K20me1	wt	Larvae	4.202422227538326	0.9704969745501039
H4K8ac	wt	Larvae	6.377479573013797	1.312709815401332
HP1a	wt	Larvae	7.190423535379199	-3.5945903995906243
HP1b	wt	Larvae	0.31343381983275925	0.20042776816989746
HP1c	wt	Larvae	0.7767320582887285	0.4299349697497726
HP2	wt	Larvae	3.4444989145548948	-1.4599729216387496
KDM4A	wt	Larvae	0.8879455298934044	0.32807377532697135
LSD1	wt	Larvae	11.513269070061932	1.668123700747332
ORC2	wt	Larvae	0.15501536550953074	0.08292456338859493
POF	wt	Larvae	3.0999415055326067	-1.195853391050371
PolII	wt	Larvae	0.8859240177750275	0.39071156561326426
RPD3	wt	Larvae	0.8859189013519547	-0.557339830582078
Replication-Origin	wt	Larvae	1.6912292858192375	-1.5193139689372577
Smc3	wt	Larvae	1.9781049189168416	-0.8496430630381514
Su(var)3-7	wt	Larvae	1.7978572243127324	-0.8408779462629715
Su(var)3-9	wt	Larvae	7.734520902661072	-2.2931882658236318
dSFMBT	wt	Larvae	0.5416791431453861	0.24302421981832925
