Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	2.297595315185894	0.9545760149806451
ASH-1	wt	S2	enriched	2.336395732522142	1.3820706351904852
BEAF-32	wt	S2	enriched	0.3362378897961873	-0.7771379897295595
CG10630	wt	S2	enriched	0.10898691115404961	-0.7465915581103639
CP190	wt	S2	enriched	0.4025717779925082	-0.38803484700545626
CTCF	wt	S2	enriched	0.40769650174662503	-0.5124937775744451
Chriz	wt	S2	enriched	1.8825959764798252	-0.8638116235717219
Enhancer-of-zeste	wt	S2	enriched	0.16645799029276198	-0.03104156725047776
GAF	wt	S2	enriched	5.263736958408565	1.3200699362010724
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	4.5751543727998865	-1.3447891792606597
H2BK5ac	wt	S2	enriched	3.995205889611288	0.890649025469108
H2Bubi	wt	S2	enriched	0.3392483258528077	0.17888670276934115
H3	wt	S2	enriched	1.0023253467497104	-2.293288224078735
H3K18ac	wt	S2	enriched	16.706173561613824	1.8722417143501082
H3K23ac	wt	S2	enriched	0.46906838806016743	-8.669693321053153
H3K27ac	wt	S2	enriched	7.125514822549891	1.2989342894182028
H3K27me1	wt	S2	enriched	1.2464092816599648	0.4698963928075513
H3K27me2	wt	S2	enriched	0.3667425663000814	-0.6011535218822847
H3K27me3	wt	S2	enriched	0.7419137156720206	-0.4208005388154955
H3K36me1	wt	S2	enriched	10.139895676767324	1.4833695205576303
H3K36me3	wt	S2	enriched	3.8355514774799477	-1.5925654381686414
H3K4me1	wt	S2	enriched	8.88330230558713	1.297192240727933
H3K4me2	wt	S2	enriched	2.7093341285046466	0.7068399985802225
H3K4me3	wt	S2	enriched	1.173045058909978	-0.7180045626504366
H3K79me1	wt	S2	enriched	1.0377634228221801	-0.31081242442291884
H3K79me2	wt	S2	enriched	0.48016828965523217	0.2368486387232191
H3K79me3	wt	S2	enriched	0.28091742609851406	0.20290036769059344
H3K9ac	wt	S2	enriched	4.239506908865575	0.9411579094192222
H3K9acS10P	wt	S2	enriched	3.4083567193610325	1.2678413833436502
H3K9me1	wt	S2	enriched	2.219372795320933	0.6600159724567974
H3K9me2	wt	S2	enriched	2.6652112898401628	-0.9289684773920688
H3K9me3	wt	S2	enriched	2.219141411333541	-2.3303758353687605
H4	wt	S2	enriched	4.380009775808479	-16.609640474436812
H4K12ac	wt	S2	enriched	3.9916127698858412	0.9493556355019517
H4K16ac	wt	S2	enriched	3.0014177865992218	0.6987314720294371
H4K20me1	wt	S2	enriched	4.192613821090588	-2.976986004327334
H4K5ac	wt	S2	enriched	6.708653353310375	1.2097715032932659
H4K8ac	wt	S2	enriched	10.720720992093376	1.4709324619933035
H4acTetra	wt	S2	enriched	6.783675721313332	1.2228107422447054
HP1a	wt	S2	enriched	0.984577872182656	-5.962898069290936
HP1b	wt	S2	enriched	4.0278921419197955	1.2907625392296087
HP1c	wt	S2	enriched	5.183641270052581	1.434135416174029
HP2	wt	S2	enriched	0.7124221909212947	-1.9601036005665116
HP4	wt	S2	enriched	0.09923983523641813	-16.609640474436812
ISWI	wt	S2	enriched	0.33598328037647	0.22412031356756007
JHDM1	wt	S2	enriched	1.5275065587669587	-0.07853812343789612
JIL-1	wt	S2	enriched	2.851486962508068	-1.0088253823278364
KDM4A	wt	S2	enriched	0.7011737970939551	-0.4354417009518394
LSD1	wt	S2	enriched	11.346099160016232	1.6997358126391469
MBD-R2	wt	S2	enriched	0.17590916714901814	-0.2113138630306827
MCM2-7	wt	S2	enriched	0.6327582673608368	-6.61721315398468
MLE	wt	S2	enriched	0.5653430219157224	-0.36660038619906077
MOF	wt	S2	enriched	2.132414673452964	0.8081873230114551
MRG15	wt	S2	enriched	1.6816917972818723	-0.9023723179025156
MSL-1	wt	S2	enriched	0.18328156979211924	-0.2740233206743857
NURF301	wt	S2	enriched	0.8484088696218138	-0.41003124740864116
ORC2	wt	S2	enriched	0.5096687503422052	-13.4882842531275
PCL	wt	S2	enriched	0.16098677679767287	0.12879511191674833
POF	wt	S2	enriched	0.2440032714197962	-0.13280806165022208
PR-Set7	wt	S2	enriched	0.7915317697343827	0.49672821252715876
Pc	wt	S2	enriched	0.2553074076511452	0.09268056341009764
Pho	wt	S2	enriched	0.2940593525952282	0.3740768500857706
PolII	wt	S2	enriched	2.371030379889709	0.7302260923712275
Psc	wt	S2	enriched	0.1728010170108756	-0.7227056132551485
RPD3	wt	S2	enriched	0.9564019699698768	0.6387782102512979
Replication-Origin	wt	S2	enriched	7.116213687656597	1.3901228580245475
Rhino	wt	S2	enriched	4.197068999676055	1.573379374203394
SPT16	wt	S2	enriched	3.8990289170524166	1.3798587360010044
Smc3	wt	S2	enriched	1.8770028259794054	1.0095645690135475
Su(Hw)	wt	S2	enriched	0.5627761880145277	-0.31041339285111597
Su(var)3-7	wt	S2	enriched	1.0100921009338084	0.7638449553031581
Su(var)3-9	wt	S2	enriched	0.5811532416080296	-11.55382135811392
WDS	wt	S2	enriched	0.3811364050924299	0.24976084871665621
ZW5	wt	S2	enriched	1.179881357044039	0.6523701476732771
dMi-2	wt	S2	enriched	4.593036141551455	1.2236994497546236
dRING	wt	S2	enriched	0.5101006590121248	0.2922928867887629
dSFMBT	wt	S2	enriched	4.446214033247445	1.2271310971665408
dmTopo-II	wt	S2	enriched	5.400706571795904	1.4441422586544415
mod(mdg4)	wt	S2	enriched	0.24900767862506068	-0.6385919967928717
