Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Adult	0.0	-16.609640474436812
H2Av	wt	Adult	0.0	-16.609640474436812
H2Bubi	wt	Adult	0.7816562646983872	inf
H3	wt	Adult	0.0	-16.609640474436812
H3K18ac	wt	Adult	0.7926460119842882	inf
H3K23ac	wt	Adult	0.20112161100543557	inf
H3K27ac	wt	Adult	0.8731383190071843	inf
H3K27me1	wt	Adult	0.25346674937165253	inf
H3K27me2	wt	Adult	0.0	-16.609640474436812
H3K27me3	wt	Adult	0.0	-16.609640474436812
H3K36me1	wt	Adult	0.8216713418534501	inf
H3K36me2	wt	Adult	0.0	-16.609640474436812
H3K36me3	wt	Adult	0.0	-16.609640474436812
H3K4me1	wt	Adult	0.8496163399444722	inf
H3K4me2	wt	Adult	0.0	-16.609640474436812
H3K4me3	wt	Adult	0.0	-16.609640474436812
H3K79me1	wt	Adult	0.0	-16.609640474436812
H3K79me2	wt	Adult	0.7711806706811961	inf
H3K79me3	wt	Adult	0.7728083309103209	inf
H3K9ac	wt	Adult	0.498585393311939	inf
H3K9acS10P	wt	Adult	0.6550435531205446	inf
H3K9me1	wt	Adult	0.40129632967003975	inf
H3K9me2	wt	Adult	0.0	-16.609640474436812
H3K9me3	wt	Adult	0.0	-16.609640474436812
H4K16ac	wt	Adult	0.0	-16.609640474436812
H4K20me1	wt	Adult	0.7760214990836314	inf
H4K8ac	wt	Adult	0.7615844938457155	inf
HP1a	wt	Adult	0.0	-16.609640474436812
HP1b	wt	Adult	1.0736900852283948	inf
HP1c	wt	Adult	1.134942299888619	inf
HP2	wt	Adult	0.0	-16.609640474436812
JHDM1	wt	Adult	0.57932214172557	inf
KDM4A	wt	Adult	0.9721190096927623	inf
LSD1	wt	Adult	0.7600015501504808	inf
POF	wt	Adult	0.0	-16.609640474436812
PolII	wt	Adult	0.0	-16.609640474436812
RPD3	wt	Adult	0.0	-16.609640474436812
Su(var)3-7	wt	Adult	0.9956718642137904	inf
dSFMBT	wt	Adult	0.3281016704911606	inf
