Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	0.0	-16.609640474436812
ASH-1	wt	S2	enriched	0.0	-16.609640474436812
BEAF-32	wt	S2	enriched	0.0	-16.609640474436812
CG10630	wt	S2	enriched	0.0	-16.609640474436812
CP190	wt	S2	enriched	0.0	-16.609640474436812
CTCF	wt	S2	enriched	0.0	-16.609640474436812
Chriz	wt	S2	enriched	0.0	-16.609640474436812
Enhancer-of-zeste	wt	S2	enriched	0.0	-16.609640474436812
GAF	wt	S2	enriched	0.0	-16.609640474436812
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	0.0	-16.609640474436812
H2BK5ac	wt	S2	enriched	0.0	-16.609640474436812
H2Bubi	wt	S2	enriched	0.9162824361010523	inf
H3	wt	S2	enriched	0.0	-16.609640474436812
H3K18ac	wt	S2	enriched	1.1097522864159264	inf
H3K23ac	wt	S2	enriched	0.0	-16.609640474436812
H3K27ac	wt	S2	enriched	0.0	-16.609640474436812
H3K27me1	wt	S2	enriched	0.0	-16.609640474436812
H3K27me2	wt	S2	enriched	0.0	-16.609640474436812
H3K27me3	wt	S2	enriched	0.0	-16.609640474436812
H3K36me1	wt	S2	enriched	1.0945711321159999	inf
H3K36me3	wt	S2	enriched	0.0	-16.609640474436812
H3K4me1	wt	S2	enriched	0.0	-16.609640474436812
H3K4me2	wt	S2	enriched	0.0	-16.609640474436812
H3K4me3	wt	S2	enriched	0.0	-16.609640474436812
H3K79me1	wt	S2	enriched	1.0314868784073459	inf
H3K79me2	wt	S2	enriched	0.4931391109744685	inf
H3K79me3	wt	S2	enriched	0.0	-16.609640474436812
H3K9ac	wt	S2	enriched	0.5409690968703369	inf
H3K9acS10P	wt	S2	enriched	0.0	-16.609640474436812
H3K9me1	wt	S2	enriched	0.995438258319259	inf
H3K9me2	wt	S2	enriched	0.0	-16.609640474436812
H3K9me3	wt	S2	enriched	0.0	-16.609640474436812
H4	wt	S2	enriched	0.0	-16.609640474436812
H4K12ac	wt	S2	enriched	0.0	-16.609640474436812
H4K16ac	wt	S2	enriched	0.0	-16.609640474436812
H4K20me1	wt	S2	enriched	0.0	-16.609640474436812
H4K5ac	wt	S2	enriched	0.0	-16.609640474436812
H4K8ac	wt	S2	enriched	1.0392439090982273	inf
H4acTetra	wt	S2	enriched	0.0	-16.609640474436812
HP1a	wt	S2	enriched	0.0	-16.609640474436812
HP1b	wt	S2	enriched	0.0	-16.609640474436812
HP1c	wt	S2	enriched	0.0	-16.609640474436812
HP2	wt	S2	enriched	0.0	-16.609640474436812
HP4	wt	S2	enriched	0.0	-16.609640474436812
ISWI	wt	S2	enriched	0.0	-16.609640474436812
JHDM1	wt	S2	enriched	0.0	-16.609640474436812
JIL-1	wt	S2	enriched	0.0	-16.609640474436812
KDM4A	wt	S2	enriched	0.0	-16.609640474436812
LSD1	wt	S2	enriched	0.0	-16.609640474436812
MBD-R2	wt	S2	enriched	0.0	-16.609640474436812
MCM2-7	wt	S2	enriched	0.0	-16.609640474436812
MLE	wt	S2	enriched	0.0	-16.609640474436812
MOF	wt	S2	enriched	0.0	-16.609640474436812
MRG15	wt	S2	enriched	0.0	-16.609640474436812
MSL-1	wt	S2	enriched	0.0	-16.609640474436812
NURF301	wt	S2	enriched	0.0	-16.609640474436812
ORC2	wt	S2	enriched	0.0	-16.609640474436812
PCL	wt	S2	enriched	0.0	-16.609640474436812
POF	wt	S2	enriched	0.0	-16.609640474436812
PR-Set7	wt	S2	enriched	0.0	-16.609640474436812
Pc	wt	S2	enriched	0.0	-16.609640474436812
Pho	wt	S2	enriched	0.0	-16.609640474436812
PolII	wt	S2	enriched	0.0	-16.609640474436812
Psc	wt	S2	enriched	0.0	-16.609640474436812
RPD3	wt	S2	enriched	0.0	-16.609640474436812
Replication-Origin	wt	S2	enriched	0.0	-16.609640474436812
Rhino	wt	S2	enriched	0.0	-16.609640474436812
SPT16	wt	S2	enriched	0.0	-16.609640474436812
Smc3	wt	S2	enriched	0.0	-16.609640474436812
Su(Hw)	wt	S2	enriched	0.0	-16.609640474436812
Su(var)3-7	wt	S2	enriched	0.0	-16.609640474436812
Su(var)3-9	wt	S2	enriched	0.0	-16.609640474436812
WDS	wt	S2	enriched	0.0	-16.609640474436812
ZW5	wt	S2	enriched	0.0	-16.609640474436812
dMi-2	wt	S2	enriched	0.0	-16.609640474436812
dRING	wt	S2	enriched	0.0	-16.609640474436812
dSFMBT	wt	S2	enriched	0.0	-16.609640474436812
dmTopo-II	wt	S2	enriched	0.0	-16.609640474436812
mod(mdg4)	wt	S2	enriched	0.0	-16.609640474436812
