Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	0.0	-16.609640474436812
ASH-1	wt	S2	enriched	0.2094121614908987	-7.730838041353858
BEAF-32	wt	S2	enriched	0.06909307066288771	-16.609640474436812
CG10630	wt	S2	enriched	0.0	-16.609640474436812
CP190	wt	S2	enriched	0.13824745491417925	-16.609640474436812
CTCF	wt	S2	enriched	0.0	-16.609640474436812
Chriz	wt	S2	enriched	0.5121741919102211	-16.609640474436812
Enhancer-of-zeste	wt	S2	enriched	0.0	-16.609640474436812
GAF	wt	S2	enriched	0.10473427375950438	-16.609640474436812
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	0.29145042739485216	0.31858652025717654
H2BK5ac	wt	S2	enriched	0.14852150143605006	-1.3146967059931778
H2Bubi	wt	S2	enriched	0.12641204346385312	-0.5885520597743822
H3	wt	S2	enriched	0.0	-16.609640474436812
H3K18ac	wt	S2	enriched	0.1576154535816035	0.19787796928531548
H3K23ac	wt	S2	enriched	0.0	-16.609640474436812
H3K27ac	wt	S2	enriched	0.20679637554308689	-8.679327327065936
H3K27me1	wt	S2	enriched	0.1495620801064644	-1.2722624798773194
H3K27me2	wt	S2	enriched	0.18323547470892024	-7.847151574473789
H3K27me3	wt	S2	enriched	0.6236785854527164	-16.609640474436812
H3K36me1	wt	S2	enriched	0.15119529894819625	0.13620451357083163
H3K36me3	wt	S2	enriched	0.40650502786714166	-8.031337210809905
H3K4me1	wt	S2	enriched	0.42012619473786356	-8.557986323889931
H3K4me2	wt	S2	enriched	0.9529973422069031	-16.609640474436812
H3K4me3	wt	S2	enriched	0.30357791396587946	-16.609640474436812
H3K79me1	wt	S2	enriched	0.5191325845349529	-11.568414852815598
H3K79me2	wt	S2	enriched	0.0	-0.5716754631178227
H3K79me3	wt	S2	enriched	0.20950372303289047	-16.609640474436812
H3K9ac	wt	S2	enriched	0.07521659226105834	-1.0087583505936264
H3K9acS10P	wt	S2	enriched	0.0	-16.609640474436812
H3K9me1	wt	S2	enriched	0.21951990922744025	-4.063970152841298
H3K9me2	wt	S2	enriched	1.4129759088906897	1.861343327898567
H3K9me3	wt	S2	enriched	1.5874861847550559	2.8805812739168197
H4	wt	S2	enriched	0.0	-16.609640474436812
H4K12ac	wt	S2	enriched	0.0	-0.9104747310879295
H4K16ac	wt	S2	enriched	0.23028654296282902	-1.3384087794348247
H4K20me1	wt	S2	enriched	0.0	-16.609640474436812
H4K5ac	wt	S2	enriched	0.6246473607672408	-16.609640474436812
H4K8ac	wt	S2	enriched	0.0	-0.08159849902023805
H4acTetra	wt	S2	enriched	0.0	-0.9913410133317058
HP1a	wt	S2	enriched	0.7842237293565776	-3.0211436494083714
HP1b	wt	S2	enriched	0.0	-16.609640474436812
HP1c	wt	S2	enriched	0.0	-16.609640474436812
HP2	wt	S2	enriched	0.6935749724493127	2.247930550693106
HP4	wt	S2	enriched	0.0	-16.609640474436812
ISWI	wt	S2	enriched	0.2046650037895319	-16.609640474436812
JHDM1	wt	S2	enriched	0.0	-16.609640474436812
JIL-1	wt	S2	enriched	0.23601381176734493	-0.6405265442628579
KDM4A	wt	S2	enriched	0.0	-16.609640474436812
LSD1	wt	S2	enriched	0.06922378594174845	-5.847557285837289
MBD-R2	wt	S2	enriched	0.2758605433454506	-16.609640474436812
MCM2-7	wt	S2	enriched	0.0	-16.609640474436812
MLE	wt	S2	enriched	0.0	-16.609640474436812
MOF	wt	S2	enriched	0.20835846621865262	-16.609640474436812
MRG15	wt	S2	enriched	0.4143813857898231	-16.609640474436812
MSL-1	wt	S2	enriched	0.30117768089574065	0.606925414512694
NURF301	wt	S2	enriched	0.27527187623674076	-16.609640474436812
ORC2	wt	S2	enriched	0.0	-16.609640474436812
PCL	wt	S2	enriched	0.0	-16.609640474436812
POF	wt	S2	enriched	0.0	-16.609640474436812
PR-Set7	wt	S2	enriched	0.0	-16.609640474436812
Pc	wt	S2	enriched	0.11256276359042061	-8.200243298295646
Pho	wt	S2	enriched	0.0	-16.609640474436812
PolII	wt	S2	enriched	0.12784798678962317	-12.802426409389302
Psc	wt	S2	enriched	0.0	-16.609640474436812
RPD3	wt	S2	enriched	0.0	-16.609640474436812
Replication-Origin	wt	S2	enriched	0.0	-0.6104111625269224
Rhino	wt	S2	enriched	0.0	-16.609640474436812
SPT16	wt	S2	enriched	0.0	-16.609640474436812
Smc3	wt	S2	enriched	0.0	-16.609640474436812
Su(Hw)	wt	S2	enriched	0.2071427695635527	-12.593681117259223
Su(var)3-7	wt	S2	enriched	0.0	-16.609640474436812
Su(var)3-9	wt	S2	enriched	0.9797933294714664	-3.5274538374362554
WDS	wt	S2	enriched	0.2037796291832474	-16.609640474436812
ZW5	wt	S2	enriched	0.0	-16.609640474436812
dMi-2	wt	S2	enriched	0.13780054804564587	-16.609640474436812
dRING	wt	S2	enriched	0.0	-16.609640474436812
dSFMBT	wt	S2	enriched	0.20902557997621568	-16.609640474436812
dmTopo-II	wt	S2	enriched	0.0	-16.609640474436812
mod(mdg4)	wt	S2	enriched	0.0	-16.609640474436812
