Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	0.0	-16.609640474436812
ASH-1	wt	S2	enriched	0.0	-16.609640474436812
BEAF-32	wt	S2	enriched	0.0	-16.609640474436812
CG10630	wt	S2	enriched	0.0	-16.609640474436812
CP190	wt	S2	enriched	0.0	-16.609640474436812
CTCF	wt	S2	enriched	0.0	-16.609640474436812
Chriz	wt	S2	enriched	0.21577919724645042	-16.609640474436812
Enhancer-of-zeste	wt	S2	enriched	0.0	-16.609640474436812
GAF	wt	S2	enriched	0.0	-16.609640474436812
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	0.4033462100466413	-16.609640474436812
H2BK5ac	wt	S2	enriched	0.43568909003939726	-16.609640474436812
H2Bubi	wt	S2	enriched	0.6643014485017781	-16.609640474436812
H3	wt	S2	enriched	0.0	-16.609640474436812
H3K18ac	wt	S2	enriched	0.21559669824699157	-16.609640474436812
H3K23ac	wt	S2	enriched	0.0	-16.609640474436812
H3K27ac	wt	S2	enriched	0.2158540605308628	-16.609640474436812
H3K27me1	wt	S2	enriched	0.43460086928440245	-16.609640474436812
H3K27me2	wt	S2	enriched	0.397451976210758	-6.95782478387064
H3K27me3	wt	S2	enriched	0.0	-0.25668323571481744
H3K36me1	wt	S2	enriched	0.21427876442192445	-16.609640474436812
H3K36me3	wt	S2	enriched	0.10676626162985874	-16.609640474436812
H3K4me1	wt	S2	enriched	0.43341061635920053	-16.609640474436812
H3K4me2	wt	S2	enriched	0.4363125496903064	-16.609640474436812
H3K4me3	wt	S2	enriched	0.10829478385081834	-16.609640474436812
H3K79me1	wt	S2	enriched	0.28628637087542524	-16.609640474436812
H3K79me2	wt	S2	enriched	0.3263084280265904	-16.609640474436812
H3K79me3	wt	S2	enriched	0.0	-16.609640474436812
H3K9ac	wt	S2	enriched	0.21391989692966007	-16.609640474436812
H3K9acS10P	wt	S2	enriched	0.0	-16.609640474436812
H3K9me1	wt	S2	enriched	0.09529715867718039	-12.19726853544912
H3K9me2	wt	S2	enriched	0.16820497401240453	-0.01117100145458591
H3K9me3	wt	S2	enriched	0.6814188238741035	2.2204228654594313
H4	wt	S2	enriched	0.0	-16.609640474436812
H4K12ac	wt	S2	enriched	0.2159607249030387	-16.609640474436812
H4K16ac	wt	S2	enriched	0.43480931482401786	-16.609640474436812
H4K20me1	wt	S2	enriched	0.0	-16.609640474436812
H4K5ac	wt	S2	enriched	0.21402276583333024	-16.609640474436812
H4K8ac	wt	S2	enriched	0.4307080404714136	-16.609640474436812
H4acTetra	wt	S2	enriched	0.2143997051186076	-16.609640474436812
HP1a	wt	S2	enriched	0.49723904871178426	-3.0890118961296773
HP1b	wt	S2	enriched	0.0	-16.609640474436812
HP1c	wt	S2	enriched	0.0	-16.609640474436812
HP2	wt	S2	enriched	0.8898481714817285	3.038964628200604
HP4	wt	S2	enriched	0.7000420966975213	-5.897826800814649
ISWI	wt	S2	enriched	0.0	-16.609640474436812
JHDM1	wt	S2	enriched	0.0	-16.609640474436812
JIL-1	wt	S2	enriched	0.3264581611705762	-16.609640474436812
KDM4A	wt	S2	enriched	0.0	-16.609640474436812
LSD1	wt	S2	enriched	0.07203690232164385	-16.609640474436812
MBD-R2	wt	S2	enriched	0.0	-16.609640474436812
MCM2-7	wt	S2	enriched	0.0	-16.609640474436812
MLE	wt	S2	enriched	0.0	-16.609640474436812
MOF	wt	S2	enriched	0.0	-16.609640474436812
MRG15	wt	S2	enriched	0.21474495401631521	-16.609640474436812
MSL-1	wt	S2	enriched	0.0	-16.609640474436812
NURF301	wt	S2	enriched	0.071998810073343	-16.609640474436812
ORC2	wt	S2	enriched	0.0	-16.609640474436812
PCL	wt	S2	enriched	0.0	-16.609640474436812
POF	wt	S2	enriched	0.0	-16.609640474436812
PR-Set7	wt	S2	enriched	0.0	-16.609640474436812
Pc	wt	S2	enriched	0.0	-16.609640474436812
Pho	wt	S2	enriched	0.0	-16.609640474436812
PolII	wt	S2	enriched	0.10931975035026395	-16.609640474436812
Psc	wt	S2	enriched	0.0	-16.609640474436812
RPD3	wt	S2	enriched	0.0	-16.609640474436812
Replication-Origin	wt	S2	enriched	0.214940793395562	-16.609640474436812
Rhino	wt	S2	enriched	0.0	-16.609640474436812
SPT16	wt	S2	enriched	0.0	-16.609640474436812
Smc3	wt	S2	enriched	0.0	-16.609640474436812
Su(Hw)	wt	S2	enriched	0.0	-16.609640474436812
Su(var)3-7	wt	S2	enriched	0.0	-16.609640474436812
Su(var)3-9	wt	S2	enriched	0.5731015764438185	-3.596398499916433
WDS	wt	S2	enriched	0.0	-16.609640474436812
ZW5	wt	S2	enriched	0.0	-16.609640474436812
dMi-2	wt	S2	enriched	0.0	-16.609640474436812
dRING	wt	S2	enriched	0.0	-16.609640474436812
dSFMBT	wt	S2	enriched	0.0	-16.609640474436812
dmTopo-II	wt	S2	enriched	0.0	-16.609640474436812
mod(mdg4)	wt	S2	enriched	0.0	-16.609640474436812
