Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
BEAF32A-and-BEAF42B	wt	Embryo	0.0	-16.609640474436812
CP190	wt	Embryo	0.22673570383984973	-10.07015653372158
CTCF	wt	Embryo	0.0	-16.609640474436812
Chriz	wt	Embryo	0.0	-16.609640474436812
GAF	wt	Embryo	0.6928979770009432	3.058729138644177
H1	wt	Embryo	0.0	-16.609640474436812
H2Av	wt	Embryo	0.0	-16.609640474436812
H2Bubi	wt	Embryo	0.38923136913630946	1.7349676424450813
H3	wt	Embryo	0.4895498952025587	-3.451034343107645
H3K18ac	wt	Embryo	0.5690639179334439	2.537602661462961
H3K23ac	wt	Embryo	1.0361393226831843	inf
H3K27ac	wt	Embryo	0.4351877128936386	1.9567968246253062
H3K27me2	wt	Embryo	0.25905060745600283	1.3179437089364794
H3K27me3	wt	Embryo	0.0	-16.609640474436812
H3K36me1	wt	Embryo	0.5036795161430725	2.261736113556379
H3K36me2	wt	Embryo	0.0	-16.609640474436812
H3K36me3	wt	Embryo	0.0	-16.609640474436812
H3K4me1	wt	Embryo	0.342029377701758	1.4927053588450825
H3K4me3	wt	Embryo	0.5813252375077989	2.5932182850910426
H3K79me1	wt	Embryo	0.19600809652080062	-4.716620355515335
H3K79me2	wt	Embryo	0.6268624251895868	2.7938417772083732
H3K79me3	wt	Embryo	0.39283621616554304	1.7546766975401988
H3K9acS10P	wt	Embryo	0.0	-16.609640474436812
H3K9me1	wt	Embryo	1.0065162232575842	inf
H3K9me2	wt	Embryo	0.0	-16.609640474436812
H3K9me3	wt	Embryo	0.0	-16.609640474436812
H4	wt	Embryo	0.3446235697964051	inf
H4K16ac	wt	Embryo	0.0	-16.609640474436812
H4K20me1	wt	Embryo	0.36599018848227693	1.6188431887451298
HP1a	wt	Embryo	0.21804914013810422	-8.984884866121984
HP1b	wt	Embryo	0.19299623234395494	-10.207527301058084
HP1c	wt	Embryo	0.47543217955667005	-3.454156472072814
HP2	wt	Embryo	0.5311573461893333	-1.8147110801144244
HP4	wt	Embryo	0.0	-16.609640474436812
JHDM1	wt	Embryo	0.46243492319400703	-3.5137627109311915
LSD1	wt	Embryo	0.20090687371546911	-10.17465099246044
MBD-R2	wt	Embryo	0.0	-16.609640474436812
MOF	wt	Embryo	0.8633587076564391	3.7071401612789985
NURF301	wt	Embryo	0.0	-16.609640474436812
ORC2	wt	Embryo	0.0	-16.609640474436812
POF	wt	Embryo	0.20028188868059452	-10.177256682880149
Pc	wt	Embryo	0.0	-16.609640474436812
PolII	wt	Embryo	0.1749264390421437	-10.2847151850539
Psc	wt	Embryo	0.0	-16.609640474436812
RPD3	wt	Embryo	0.3577778323812663	inf
Su(Hw)	wt	Embryo	0.7897106763105942	3.4326053304441966
Su(var)3-7	wt	Embryo	0.0	-16.609640474436812
ZW5	wt	Embryo	0.0	-16.609640474436812
dMi-2	wt	Embryo	0.1655665688662428	-10.325914252113643
dRING	wt	Embryo	0.0	-16.609640474436812
