Assay Factor	genotype	Tissue	-log10 p-value	log2_enrichment
H1	wt	Larvae	0.0	-16.609640474436812
H2Av	wt	Larvae	0.0	-16.609640474436812
H2Bubi	wt	Larvae	0.4067137484689309	1.8215623846599838
H3	wt	Larvae	0.5241755166321586	inf
H3K23ac	wt	Larvae	0.7265184271793172	inf
H3K27ac	wt	Larvae	0.46813602877405397	2.11107084019973
H3K27me1	wt	Larvae	0.45061210276137903	2.0071285276834625
H3K27me2	wt	Larvae	0.0	0.5912392223289139
H3K27me3	wt	Larvae	0.0	-16.609640474436812
H3K36me1	wt	Larvae	0.4296011470469728	1.9269171434329049
H3K36me3	wt	Larvae	0.0	-16.609640474436812
H3K4me1	wt	Larvae	0.33056292125205294	1.4294807936803047
H3K4me2	wt	Larvae	0.5606103699151332	2.518879755485747
H3K4me3	wt	Larvae	0.6877145286165515	3.0386586101543753
H3K79me1	wt	Larvae	0.21092796030761027	-4.633865477017034
H3K79me2	wt	Larvae	0.3959691536062144	1.7700449716953897
H3K79me3	wt	Larvae	0.42561595447128536	1.9139873742982771
H3K9ac	wt	Larvae	0.49771041132638044	2.2371486938420726
H3K9acS10P	wt	Larvae	0.548684930264513	2.4608694418491823
H3K9me1	wt	Larvae	0.8442499157094447	inf
H3K9me2	wt	Larvae	0.19705555940786065	-10.1905012178996
H3K9me3	wt	Larvae	0.0	-16.609640474436812
H4K16ac	wt	Larvae	0.0	-16.609640474436812
H4K20me1	wt	Larvae	0.4048950182550053	1.8134108237444237
H4K8ac	wt	Larvae	0.5416831411299757	2.4108043639010472
HP1a	wt	Larvae	0.0	-16.609640474436812
HP1b	wt	Larvae	0.671540751073926	2.9681444684651814
HP1c	wt	Larvae	0.4452698315840377	-3.5636095510347325
HP2	wt	Larvae	0.8904385057004668	inf
KDM4A	wt	Larvae	0.4996317283929483	2.2268619459602004
LSD1	wt	Larvae	0.3767400472615128	1.6627040302779108
ORC2	wt	Larvae	0.0	-16.609640474436812
POF	wt	Larvae	0.8847366306369234	inf
PolII	wt	Larvae	0.505473556825357	2.277210049699429
RPD3	wt	Larvae	0.16851773023953842	-10.312773888845769
Replication-Origin	wt	Larvae	0.0	-16.609640474436812
Smc3	wt	Larvae	0.0	-16.609640474436812
Su(var)3-7	wt	Larvae	0.3181018536600986	-4.1127901686816974
Su(var)3-9	wt	Larvae	0.09499722051122363	-10.679921176367216
dSFMBT	wt	Larvae	0.6602926170342399	2.9178222988574163
