Assay Factor	genotype	Tissue	enriched	-log10 p-value	log2_enrichment
ACF1	wt	S2	enriched	0.595730891094576	2.0527671344168477
ASH-1	wt	S2	enriched	0.3872678203963941	-6.935651404299415
BEAF-32	wt	S2	enriched	0.0	-16.609640474436812
CG10630	wt	S2	enriched	0.0	-16.609640474436812
CP190	wt	S2	enriched	0.0	-16.609640474436812
CTCF	wt	S2	enriched	0.0	-16.609640474436812
Chriz	wt	S2	enriched	0.0	-16.609640474436812
Enhancer-of-zeste	wt	S2	enriched	0.0	-16.609640474436812
GAF	wt	S2	enriched	0.5033711051804141	1.6755294078714336
H1	wt	S2	enriched	0.0	-16.609640474436812
H2Av	wt	S2	enriched	0.16502359703434613	-16.609640474436812
H2BK5ac	wt	S2	enriched	0.0	0.2750189705501126
H2Bubi	wt	S2	enriched	0.0	-0.12499062838246822
H3	wt	S2	enriched	0.0	-16.609640474436812
H3K18ac	wt	S2	enriched	0.28361264261226127	0.6590203079332514
H3K23ac	wt	S2	enriched	0.0	-16.609640474436812
H3K27ac	wt	S2	enriched	0.3287264193048748	0.8885511938511397
H3K27me1	wt	S2	enriched	0.0	0.31499808264892
H3K27me2	wt	S2	enriched	0.0	-16.609640474436812
H3K27me3	wt	S2	enriched	0.0	-16.609640474436812
H3K36me1	wt	S2	enriched	0.2720522904552032	0.5974215228505737
H3K36me3	wt	S2	enriched	0.0	-16.609640474436812
H3K4me1	wt	S2	enriched	0.11437534014214477	-8.22499918643589
H3K4me2	wt	S2	enriched	0.0	0.12647777570691948
H3K4me3	wt	S2	enriched	0.35476274717494793	1.0107378542521013
H3K79me1	wt	S2	enriched	0.0	-11.03965419505486
H3K79me2	wt	S2	enriched	0.14227829445239173	0.4528670917592496
H3K79me3	wt	S2	enriched	0.48679572205301186	1.6069206781767242
H3K9ac	wt	S2	enriched	0.26831706327311533	0.5771635509304442
H3K9acS10P	wt	S2	enriched	0.0	-16.609640474436812
H3K9me1	wt	S2	enriched	0.2305808534490834	-7.562163975165639
H3K9me2	wt	S2	enriched	0.0	-8.33990770001046
H3K9me3	wt	S2	enriched	0.0	-16.609640474436812
H4	wt	S2	enriched	0.0	-16.609640474436812
H4K12ac	wt	S2	enriched	0.2872829711140067	0.6780809219284658
H4K16ac	wt	S2	enriched	0.11208559276769381	-8.184809646938369
H4K20me1	wt	S2	enriched	0.5292955702772119	1.7840893317386664
H4K5ac	wt	S2	enriched	0.26905630657226426	0.5811198188767467
H4K8ac	wt	S2	enriched	0.2332006243806052	0.38074052906806943
H4acTetra	wt	S2	enriched	0.0	-16.609640474436812
HP1a	wt	S2	enriched	0.0	-16.609640474436812
HP1b	wt	S2	enriched	0.29688324431283847	-7.282271770174242
HP1c	wt	S2	enriched	0.30149083647884584	-7.26397828878755
HP2	wt	S2	enriched	0.0	-16.609640474436812
HP4	wt	S2	enriched	0.0	-16.609640474436812
ISWI	wt	S2	enriched	0.43913745211514965	1.3973477929394558
JHDM1	wt	S2	enriched	0.3462091976246852	-7.090345725285196
JIL-1	wt	S2	enriched	0.11404832493706855	-16.609640474436812
KDM4A	wt	S2	enriched	0.0	-16.609640474436812
LSD1	wt	S2	enriched	0.3993266196652104	1.2168436441342283
MBD-R2	wt	S2	enriched	0.24458263033603833	-4.821446860654255
MCM2-7	wt	S2	enriched	1.1639397996466776	4.1267370690593
MLE	wt	S2	enriched	0.3444941255093558	-7.09680437995918
MOF	wt	S2	enriched	0.4522006893895481	1.4583872541284146
MRG15	wt	S2	enriched	0.3468912958343501	0.977819958699058
MSL-1	wt	S2	enriched	0.0	-16.609640474436812
NURF301	wt	S2	enriched	0.11005421667957348	-10.77439838041344
ORC2	wt	S2	enriched	1.281162140790905	4.529840094243478
PCL	wt	S2	enriched	0.0	-16.609640474436812
POF	wt	S2	enriched	0.0	-16.609640474436812
PR-Set7	wt	S2	enriched	0.0	-16.609640474436812
Pc	wt	S2	enriched	0.0	-16.609640474436812
Pho	wt	S2	enriched	0.0	-16.609640474436812
PolII	wt	S2	enriched	0.25436429372884684	-3.260937651729687
Psc	wt	S2	enriched	0.0	-16.609640474436812
RPD3	wt	S2	enriched	0.6607473659673003	2.3074314397247395
Replication-Origin	wt	S2	enriched	0.3470867699662073	0.981129298261315
Rhino	wt	S2	enriched	0.0	-16.609640474436812
SPT16	wt	S2	enriched	0.8072308218760469	2.816249213269481
Smc3	wt	S2	enriched	0.8063084820076867	2.854916827078229
Su(Hw)	wt	S2	enriched	0.2739791948312188	-3.353128216593728
Su(var)3-7	wt	S2	enriched	0.0	-16.609640474436812
Su(var)3-9	wt	S2	enriched	0.0	-16.609640474436812
WDS	wt	S2	enriched	0.41251353458903595	1.2827422499601728
ZW5	wt	S2	enriched	0.3566819606417912	-7.050477879960929
dMi-2	wt	S2	enriched	0.5066145175189689	1.6825909804827577
dRING	wt	S2	enriched	0.0	-16.609640474436812
dSFMBT	wt	S2	enriched	0.5043446748521544	1.6807789254699748
dmTopo-II	wt	S2	enriched	0.5782973810534112	1.983316519760132
mod(mdg4)	wt	S2	enriched	0.0	-16.609640474436812
