BD-10-head	BD-9-head	KD-8-head	KD-6-head	BD-10-tumor	BD-09-tumor	KD-8-tumor	KD-6-tumor
13	4	24	17	9	7	14	31
71	28	49	56	72	85	57	62
17	11	56	42	12	28	63	61
64	43	68	72	79	68	82	85
64	43	68	72	79	68	82	85
64	43	68	72	79	68	82	85
64	43	68	72	79	68	82	85
142	83	138	134	126	143	167	165
89	48	74	105	81	103	83	82
731	397	484	332	619	621	620	308
118	85	100	91	77	100	108	70
123	54	140	110	134	130	135	126
83	47	57	105	85	95	93	103
42	26	37	52	47	47	50	37
106	61	81	96	99	97	131	97
140	98	167	126	139	151	161	142
90	42	87	95	51	85	106	60
148	68	141	131	116	137	151	116
108	63	101	99	90	111	111	96
119	65	66	100	68	80	100	84
107	90	126	130	126	129	128	136
50	35	60	75	65	64	77	61
50	35	60	75	65	64	77	61
92	36	82	88	65	91	93	92
68	24	40	71	26	63	70	53
90	64	127	113	87	87	134	113
104	84	131	109	133	143	161	119
64	40	61	44	54	52	85	58
94	80	101	95	119	143	99	96
88	69	80	135	102	91	107	120
106	58	98	121	98	127	125	97
127	49	94	128	67	102	129	103
98	36	94	130	76	86	130	95
96	57	108	101	74	91	114	77
43	64	58	51	79	92	100	59
87	59	98	117	77	120	131	61
72	40	55	87	81	64	90	50
72	40	55	87	81	64	90	50
74	31	62	68	63	59	87	55
109	69	87	108	97	119	146	101
128	74	86	99	122	80	106	82
128	72	86	99	119	80	106	82
128	72	86	99	119	80	106	82
128	67	84	97	116	79	104	82
128	67	84	97	116	79	104	82
112	70	74	92	96	96	118	115
14	20	27	20	38	27	44	47
21	22	31	21	50	37	52	58
21	22	31	21	50	37	52	58
79	40	64	84	51	74	80	97
72	36	66	63	55	77	91	69
99	47	103	110	67	138	153	94
53	43	44	83	42	61	70	48
168	75	117	141	105	118	170	112
114	79	101	111	152	108	121	82
210	116	166	172	127	176	189	114
154	109	177	187	156	209	214	161
154	109	177	187	156	209	214	161
119	50	94	100	80	108	96	87
96	70	96	113	66	93	113	99
85	27	73	107	51	102	118	84
73	44	47	65	38	49	82	51
122	50	100	97	70	129	113	103
22	7	22	17	27	16	29	37
71	58	101	101	67	85	102	60
69	26	73	73	62	72	74	64
38	23	34	42	27	33	54	31
117	76	103	118	94	90	92	106
112	42	96	116	80	104	98	69
112	64	91	120	100	124	123	88
130	80	73	113	93	122	110	99
69	39	122	83	88	81	132	97
96	75	91	103	101	98	116	102
100	52	58	108	50	91	99	84
56	43	52	64	60	64	78	61
79	53	74	57	62	89	97	73
78	68	73	74	76	78	92	76
76	46	74	85	93	76	117	68
27	9	25	31	32	43	38	33
71	28	42	54	85	71	77	77
102	44	77	82	56	84	91	67
112	46	88	101	86	85	87	86
73	47	64	92	46	92	98	81
66	59	76	90	74	85	114	76
98	71	95	140	88	87	108	85
121	71	109	146	97	111	116	86
89	60	83	91	68	87	82	118
73	36	30	49	48	51	40	35
63	18	49	57	69	75	80	88
82	35	64	76	49	96	101	73
132	52	96	104	85	103	141	96
59	46	64	79	71	73	101	47
65	50	64	73	50	96	84	70
79	17	48	58	49	65	71	69
104	73	108	129	107	117	145	115
86	41	59	84	34	79	78	63
55	50	55	60	28	90	85	75
86	45	49	61	59	71	92	69
30	8	33	56	36	49	83	45
108	50	96	99	84	73	85	98
96	43	93	89	83	63	78	88
96	43	93	89	83	63	78	88
128	65	88	106	91	117	108	75
165	121	169	160	169	142	169	125
105	89	135	128	87	99	131	84
75	23	69	85	47	60	117	72
140	102	131	128	115	134	130	115
93	46	118	109	92	111	128	89
99	49	86	88	68	72	99	70
48	42	52	63	60	66	73	49
74	56	64	91	56	76	85	87
87	48	85	78	75	99	110	79
91	25	49	80	40	74	89	61
181	92	143	133	132	135	193	125
63	34	48	65	47	75	82	75
122	63	139	162	98	150	120	130
96	73	91	146	80	113	117	80
143	82	145	136	149	161	168	129
119	56	109	118	67	83	118	100
111	55	113	72	95	102	112	88
83	65	77	125	113	110	121	93
83	65	88	125	116	110	129	99
57	40	74	79	70	74	87	54
116	94	138	137	123	122	143	105
73	29	63	57	63	67	71	58
68	33	63	68	42	67	68	65
43	18	21	53	15	42	64	48
76	69	92	82	68	111	114	85
