Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	ID
ACF1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ACF1	Late Embryonic stage	Karpen, G.	5056
ASH-1;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ASH-1	Larvae 3rd instar	Karpen, G.	3279
ASH-1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ASH-1	Late Embryonic stage	Karpen, G.	2984
ASH-1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ASH-1	Late Embryonic stage	Karpen, G.	3744
BAB-1;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	BAB-1	Embryos 0-12 hr	White, K.	628
BEAF-32;CG10159-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Larvae 3rd instar	Karpen, G.	3663
BEAF-32;CG6384-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Larvae 3rd instar	Karpen, G.	3664
BEAF-32;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Embryos 0-12 hr	White, K.	21
BEAF-32;Fly-LacZ-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Larvae 3rd instar	Karpen, G.	3665
BEAF-32;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Larvae 3rd instar	Karpen, G.	921
BEAF-32;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Embryos 2-4 hr OR	Karpen, G.	5130
BEAF-32;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Late Embryonic stage	Karpen, G.	274
BEAF-32;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Late Embryonic stage	Karpen, G.	922
BEAF-32;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Late Embryonic stage	Karpen, G.	3745
BEAF32A and BEAF42B;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	BEAF32A and BEAF42B	Embryos 14-16 hr OR	Karpen, G.	3954
bonus;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	bonus	Embryos 16-24 hr	White, K.	3393
brahma;Y cn bw sp;Pupae;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	brahma	Pupae	White, K.	602
Brakeless;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Brakeless	Embryos 0-12 hr	White, K.	609
Brakeless;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Brakeless	Embryos 0-4 hr	White, K.	2569
broad;White prepupae (WPP);ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	broad	White prepupae (WPP)	White, K.	3806
cabut;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	cabut	Embryos 16-24 hr	White, K.	3825
Caudal;7T-CAD;Adult Female 3 days;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Caudal	Adult Female 3 days	White, K.	3231
Caudal;7T-CAD;Adult Female;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Caudal	Adult Female	White, K.	2625
Caudal;7T-CAD;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Caudal	Embryos 0-4 hr	White, K.	902
Caudal;7T-CAD;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Caudal	Embryos 0-4 hr	White, K.	2626
Caudal;7T-CAD;Embryos 4-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Caudal	Embryos 4-8 hr	White, K.	2637
Caudal;7T-CAD;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Caudal	Larvae L3 stage	White, K.	3403
Caudal;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Caudal	Embryos 0-4 hr	White, K.	2570
