	ID	original_filename	Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	Tissue	region_type	basename	genotype	replicate	new_filename
0	964	964_repset.8061136.smoothedM.clusters.gff3.enriched.gff.gz	H3K9ac;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	enriched	964_repset.8061136.smoothedM.clusters.gff3	wt	0	H3K9ac_wt_CME-W1-Cl.8+_Histone-Modification_0_enriched_964
1	964	964_repset.8061136.smoothedM.clusters.gff3.depleted.gff.gz	H3K9ac;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	depleted	964_repset.8061136.smoothedM.clusters.gff3	wt	0	H3K9ac_wt_CME-W1-Cl.8+_Histone-Modification_0_depleted_964
2	794	794_E20-24_H3K4Me3_input_tag36_mfold4_250_peaks_1fdr_filtered.bed.gff3.gz	H3K4me3;Y cn bw sp;Embryos 20-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Embryos 20-24 hr	White, K.	Embryo	enriched	794_E20-24_H3K4Me3_input_tag36_mfold4_250_peaks_1fdr_filtered.bed.gff3.gz	wt	0	H3K4me3_wt_Embryo_Histone-Modification_0_enriched_794
3	5568	5568_2497.enrichment.clusters.gff3.enriched.gff.gz	Smc3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Smc3	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5568_2497.enrichment.clusters.gff3	wt	0	Smc3_wt_Larvae_Non-TF-Chromatin-binding-factor_0_enriched_5568
4	5568	5568_repset.18972797.enrichment.clusters.gff3.depleted.gff.gz	Smc3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Smc3	Larvae 3rd instar	Karpen, G.	Larvae	depleted	5568_repset.18972797.enrichment.clusters.gff3	wt	1	Smc3_wt_Larvae_Non-TF-Chromatin-binding-factor_1_depleted_5568
6	5568	5568_repset.18972797.enrichment.clusters.gff3.enriched.gff.gz	Smc3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Smc3	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5568_repset.18972797.enrichment.clusters.gff3	wt	1	Smc3_wt_Larvae_Non-TF-Chromatin-binding-factor_1_enriched_5568
5	5568	5568_2498.enrichment.clusters.gff3.enriched.gff.gz	Smc3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Smc3	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5568_2498.enrichment.clusters.gff3	wt	2	Smc3_wt_Larvae_Non-TF-Chromatin-binding-factor_2_enriched_5568
7	5139	5139_repset.17402834.smoothedM.clusters.gff3.enriched.gff.gz	H3K4me2;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Embryos 2-4 hr OR	Karpen, G.	Embryo	enriched	5139_repset.17402834.smoothedM.clusters.gff3	wt	0	H3K4me2_wt_Embryo_Histone-Modification_0_enriched_5139
8	5139	5139_repset.17402834.smoothedM.clusters.gff3.depleted.gff.gz	H3K4me2;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Embryos 2-4 hr OR	Karpen, G.	Embryo	depleted	5139_repset.17402834.smoothedM.clusters.gff3	wt	0	H3K4me2_wt_Embryo_Histone-Modification_0_depleted_5139
9	770	770_CTCF_N_1fdr.gff.gz	CTCF;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Embryos 0-12 hr	White, K.	Embryo	enriched	770_CTCF_N_1fdr.gff.gz	wt	0	CTCF_wt_Embryo_Non-TF-Chromatin-binding-factor_0_enriched_770
