chrom	source	feature	start	end	score	strand	frame	sample_id	vaf	autosome
2R	findcluster	mdg1	10529562	10529584	5	+	.	BD-10-tumor	0.13040643338404695	True
2R	findcluster	Tabor	18952594	18952617	2	+	.	BD-10-tumor	0.04877453969028167	True
2R	findcluster	HMS-Beagle	20459725	20459750	5	+	.	BD-10-tumor	0.07057993177273261	True
2R	findcluster	copia	21139893	21139900	10	+	.	BD-10-tumor	0.22218695445167436	True
3L	findcluster	opus	15227866	15227891	9	+	.	BD-10-tumor	0.10255095500576848	True
3L	findcluster	copia	19896041	19896046	8	+	.	BD-10-tumor	0.14542810398109435	True
3R	findcluster	copia	21840182	21840186	6	+	.	BD-10-tumor	0.04210083149142195	True
3R	findcluster	Tabor	26090445	26090476	2	+	.	BD-10-tumor	0.19990004997501248	True
4	findcluster	R1A1-element	629946	629960	2	+	.	BD-10-tumor	0.03998400639744102	False
X	findcluster	roo	7587820	7587824	9	+	.	BD-10-tumor	0.14280614066404854	False
Y	findcluster	mdg1	50331	50347	10	+	.	BD-10-tumor	0.06449532408900355	False
2R	findcluster	opus	12783011	12783034	8	+	.	BD-09-tumor	0.06611023882323774	True
2R	findcluster	blood	15764850	15764853	3	+	.	BD-09-tumor	0.0487685930260912	True
2R	findcluster	Doc	16826956	16826968	15	+	.	BD-09-tumor	0.29027576197387517	True
2R	findcluster	297	17274399	17274403	2	+	.	BD-09-tumor	0.054039448797622264	True
2R	findcluster	297	20316111	20316115	4	+	.	BD-09-tumor	0.11761246692149369	True
3R	findcluster	Tabor	9101071	9101098	12	+	.	BD-09-tumor	0.2465415696479934	True
3R	findcluster	Doc	29256440	29256443	13	+	.	BD-09-tumor	0.05084314888568765	True
X	findcluster	mdg1	5394259	5394290	2	+	.	BD-09-tumor	0.08326394671107411	False
X	findcluster	opus	12677176	12677199	4	+	.	BD-09-tumor	0.10807889759524453	False
2L	findcluster	I-element	15481783	15481796	6	+	.	KD-8-tumor	0.22850614110254214	True
2R	findcluster	297	13979531	13979536	11	+	.	KD-8-tumor	0.33325398714591764	True
2R	findcluster	copia	20125213	20125217	8	+	.	KD-8-tumor	0.12193634922570418	True
2R	findcluster	HMS-Beagle	20459725	20459750	4	+	.	KD-8-tumor	0.06895759108148489	True
2R	findcluster	copia	25000927	25000932	10	+	.	KD-8-tumor	0.06740815638692281	True
3L	findcluster	copia	5704139	5704144	3	+	.	KD-8-tumor	0.07141581860382075	True
3L	findcluster	roo	13498629	13498634	12	+	.	KD-8-tumor	0.19227071716977506	True
3L	findcluster	copia	18189265	18189269	6	+	.	KD-8-tumor	0.1224239951030402	True
3R	findcluster	S-element	3749666	3749677	2	+	.	KD-8-tumor	0.06665555740709882	True
3R	findcluster	copia	5080025	5080030	5	+	.	KD-8-tumor	0.07545746085644219	True
3R	findcluster	roo	20892129	20892136	23	+	.	KD-8-tumor	0.32137118371719336	True
X	findcluster	Tabor	10317207	10317226	7	+	.	KD-8-tumor	0.10807889759524453	False
2L	findcluster	blood	15100994	15100997	6	+	.	KD-6-tumor	0.12119375852143614	True
2R	findcluster	1360	501695	501743	3	+	.	KD-6-tumor	0.10712372790573112	True
2R	findcluster	Stalker4	1413942	1413954	3	+	.	KD-6-tumor	0.0869376222560313	True
2R	findcluster	Tc1-2	5260933	5260964	3	+	.	KD-6-tumor	0.12117540139351712	True
2R	findcluster	copia	19786950	19786954	4	+	.	KD-6-tumor	0.07593975446146058	True
2R	findcluster	copia	20136548	20136554	3	+	.	KD-6-tumor	0.04650622020695268	True
2R	findcluster	mdg1	20459725	20459750	8	+	.	KD-6-tumor	0.16436104643199562	True
3L	findcluster	mdg1	5220307	5220342	5	+	.	KD-6-tumor	0.07691321625432636	True
3L	findcluster	17.6	16242776	16242781	12	+	.	KD-6-tumor	0.31570639305445936	True
3L	findcluster	F-element	22036834	22036859	2	+	.	KD-6-tumor	0.08331597583836702	True
3L	findcluster	roo	25461906	25461931	4	+	.	KD-6-tumor	0.09301244041390536	True
3R	findcluster	invader4	3793288	3793294	3	+	.	KD-6-tumor	0.043473535485273336	True
3R	findcluster	R1A1-element	5783007	5783038	3	+	.	KD-6-tumor	0.05309264666843642	True
3R	findcluster	BS	22931038	22931051	12	+	.	KD-6-tumor	0.05633009435290804	True
X	findcluster	roo	12778933	12778937	4	+	.	KD-6-tumor	0.04164931278633902	False
X	findcluster	opus	17445671	17445695	5	+	.	KD-6-tumor	0.1785076758300607	False
