chrom	source	feature	start	end	score	strand	frame	sample_id	vaf	autosome	notch_vaf	color	order
2R	findcluster	rover	10230074	10230079	8	+	.	R23	0.13788348845225784	True	0.07981234936999522	other	3
2L	findcluster	I-element	8990182	8990188	10	+	.	R23	0.15785319652722968	True	0.07981234936999522	other	4
3R	findcluster	rover	12701432	12701437	17	+	.	R23	0.19990004997501248	True	0.07981234936999522	other	5
2R	findcluster	rover	14337315	14337320	12	+	.	R23	0.22216051096917525	True	0.07981234936999522	other	6
3R	findcluster	rover	23342089	23342093	20	+	.	R23	0.24993751562109473	True	0.07981234936999522	other	7
3R	findcluster	rover	4320369	4320375	17	+	.	R23	0.27770063871146905	True	0.07981234936999522	other	8
2L	findcluster	blood	11084137	11084140	32	+	.	R23	0.31740993493096337	True	0.07981234936999522	other	9
3R	findcluster	jockey	7485203	7485213	17	+	.	R23	0.3234818409057491	True	0.07981234936999522	other	10
2L	findcluster	rover	13887488	13887492	22	+	.	R23	0.3293730149394189	True	0.07981234936999522	other	11
2L	findcluster	rover	4131996	4132001	10	+	.	R23	0.6149116064565718	True	0.07981234936999522	other	12
3R	findcluster	copia	4694377	4694382	21	+	.	R41A	0.361060963755034	True	0.3582870512181363	other	40
3L	findcluster	copia	14962481	14962485	21	+	.	R41A	0.37969877230730287	True	0.3582870512181363	other	41
3R	findcluster	copia	24611458	24611463	13	+	.	R41A	0.4061865333541634	True	0.3582870512181363	other	42
X	findcluster	rover	15080895	15080901	27	+	.	R41A	0.40725657164013324	False	0.3582870512181363	other	43
X	findcluster	copia	12583937	12583942	21	+	.	R41A	0.44427989633469084	False	0.3582870512181363	other	44
3L	findcluster	copia	16893736	16893741	16	+	.	R41A	0.4443621551564525	True	0.3582870512181363	other	45
X	findcluster	rover	15808862	15808869	31	+	.	R41A	0.4544421722335833	False	0.3582870512181363	other	46
2R	findcluster	rover	10227271	10227276	15	+	.	R41A	0.4896959804121608	True	0.3582870512181363	other	47
2R	findcluster	copia	17422117	17422122	25	+	.	R41A	0.5069708491761723	True	0.3582870512181363	other	48
2R	findcluster	rover	9815134	9815140	13	+	.	R41A	0.5260389268805892	True	0.3582870512181363	other	49
3L	findcluster	rover	7052351	7052356	37	+	.	R41A	0.5805515239477503	True	0.3582870512181363	other	50
X	findcluster	rover	10323058	10323064	42	+	.	R41A	0.5852231163130944	False	0.3582870512181363	other	51
3L	findcluster	copia	3542241	3542245	24	+	.	R41A	0.6100660904931368	True	0.3582870512181363	other	52
3L	findcluster	copia	19257705	19257710	11	+	.	R41A	0.6449532408900355	True	0.3582870512181363	other	53
X	findcluster	rover	19455130	19455135	20	+	.	R41A	0.7218212104386451	False	0.3582870512181363	other	54
3R	findcluster	rover	11540396	11540401	12	+	.	R41A	0.8883953359244863	True	0.3582870512181363	other	55
3R	findcluster	rover	26871491	26871495	19	+	.	R63	0.47607712449416806	True	0.36537209807040677	other	77
X	findcluster	I-element	6859243	6859255	18	+	.	R63	0.4998077662437524	False	0.36537209807040677	other	78
X	findcluster	rover	6370605	6370610	24	+	.	R63	0.5515339538090314	False	0.36537209807040677	other	79
2R	findcluster	rover	9536119	9536124	27	+	.	R63	0.6413884172797586	True	0.36537209807040677	other	80
3R	findcluster	rover	31087989	31087993	31	+	.	R63	0.7306287252451452	True	0.36537209807040677	other	81
3R	findcluster	rover	14758186	14758191	30	+	.	R63	0.7892659826361484	True	0.36537209807040677	other	82
2R	findcluster	rover	7628587	7628591	22	+	.	R63	0.8290660814435504	True	0.36537209807040677	other	83
2R	findcluster	rover	19192204	19192209	25	+	.	R63	1.0	True	0.36537209807040677	other	84
2L	findcluster	rover	12010474	12010479	48	+	.	R5	0.7271992728007272	True	0.43584781817406204	other	111
X	findcluster	I-element	1183322	1183334	38	+	.	R33	0.4614201486798257	False	0.44814796570619264	other	164
2L	findcluster	rover	10572766	10572771	27	+	.	R33	0.4665889018496917	True	0.44814796570619264	other	165
3L	findcluster	I-element	83871	83884	26	+	.	R33	0.4704959811801608	True	0.44814796570619264	other	166
3R	findcluster	rover	16358102	16358107	39	+	.	R33	0.4744958481613286	True	0.44814796570619264	other	167
2R	findcluster	rover	10925499	10925504	37	+	.	R33	0.48477503408574457	True	0.44814796570619264	other	168
3L	findcluster	rover	17481612	17481616	32	+	.	R33	0.4930831392959868	True	0.44814796570619264	other	169
X	findcluster	rover	3215140	3215145	12	+	.	R33	0.4996876951905059	False	0.44814796570619264	other	170
X	findcluster	rover	14808807	14808812	22	+	.	R33	0.4997917534360683	False	0.44814796570619264	other	171
3L	findcluster	rover	19257820	19257825	34	+	.	R33	0.5198960207958409	True	0.44814796570619264	other	172
3L	findcluster	rover	24725151	24725155	34	+	.	R33	0.5229964620827564	True	0.44814796570619264	other	173
X	findcluster	rover	11507594	11507599	31	+	.	R33	0.583171341294085	False	0.44814796570619264	other	174
3R	findcluster	blood	11613544	11613548	52	+	.	R33	0.6153254494760119	True	0.44814796570619264	other	175
2L	findcluster	rover	7088363	7088368	31	+	.	R33	0.6339917093391856	True	0.44814796570619264	other	176
X	findcluster	rover	9699886	9699891	25	+	.	R33	0.6360745115856429	False	0.44814796570619264	other	177
3R	findcluster	rover	21830473	21830477	26	+	.	R33	0.6449532408900355	True	0.44814796570619264	other	178
2L	findcluster	rover	21793985	21793988	42	+	.	R33	0.6665656718678987	True	0.44814796570619264	other	179
2L	findcluster	copia	14222144	14222149	30	+	.	R33	0.7016312927556569	True	0.44814796570619264	other	180
X	findcluster	rover	12749476	12749481	12	+	.	R33	0.7132667617689016	False	0.44814796570619264	other	181
2L	findcluster	rover	13760838	13760843	23	+	.	R33	0.7140307033202428	True	0.44814796570619264	other	182
X	findcluster	rover	16851603	16851608	16	+	.	R33	0.7490636704119851	False	0.44814796570619264	other	183
3L	findcluster	rover	20404530	20404534	30	+	.	R33	0.7545746085644218	True	0.44814796570619264	other	184
2R	findcluster	rover	7026672	7026675	16	+	.	R33	0.7773459189339256	True	0.44814796570619264	other	185
3L	findcluster	rover	8398657	8398662	12	+	.	R33	0.7773459189339256	True	0.44814796570619264	other	186
2R	findcluster	rover	16674960	16674965	34	+	.	R33	0.7824386003042817	True	0.44814796570619264	other	187
3L	findcluster	rover	12251039	12251040	19	+	.	R33	0.7996001999000499	True	0.44814796570619264	other	188
2R	findcluster	rover	5360286	5360292	18	+	.	R33	1.0	True	0.44814796570619264	other	189
X	findcluster	I-element	15494599	15494611	85	+	.	R3	0.6460544531610521	False	0.5276588489843772	other	223
2L	findcluster	rover	19411927	19411928	51	+	.	R3	0.6566184151619161	True	0.5276588489843772	other	224
3R	findcluster	copia	30283121	30283125	92	+	.	R3	0.6666066120169354	True	0.5276588489843772	other	225
3R	findcluster	rover	17531861	17531865	50	+	.	R3	0.7032194264366552	True	0.5276588489843772	other	226
3L	findcluster	rover	10510369	10510373	105	+	.	R3	1.0	True	0.5276588489843772	other	227
2R	findcluster	rover	18436832	18436837	19	+	.	R35	0.6426276329882185	True	0.5765776028367319	other	267
3R	findcluster	rover	5575117	5575121	17	+	.	R35	0.742644958583262	True	0.5765776028367319	other	268
2R	findcluster	rover	7738236	7738241	8	+	.	R35	0.8326394671107411	True	0.5765776028367319	other	269
3L	findcluster	rover	19989679	19989690	8	+	.	R35	1.0	True	0.5765776028367319	other	270
3R	findcluster	rover	26083611	26083616	12	+	.	R35	1.0	True	0.5765776028367319	other	271
3R	findcluster	rover	31310737	31310742	5	+	.	R35	1.0	True	0.5765776028367319	other	272
