chrom	source	feature	start	end	score	strand	frame	sample_id	vaf	autosome
2R	findcluster	blood	7492485	7492488	6	+	.	BD-10-tumor	0.11009174311926606	True
2R	findcluster	GATE	7883783	7883806	3	+	.	BD-10-tumor	0.10909090909090909	True
2R	findcluster	Tabor	18952594	18952617	2	+	.	BD-10-tumor	0.09523809523809523	True
2R	findcluster	Stalker4	23141102	23141151	2	+	.	BD-10-tumor	0.03571428571428571	True
3L	findcluster	diver	23261708	23261733	2	+	.	BD-10-tumor	0.09523809523809523	True
3R	findcluster	baggins	3006580	3006615	1	+	.	BD-10-tumor	0.0851063829787234	True
3R	findcluster	gypsy4	4175202	4175237	2	+	.	BD-10-tumor	0.042105263157894736	True
3R	findcluster	invader4	30528541	30528559	2	+	.	BD-10-tumor	0.04938271604938271	True
4	findcluster	R1A1-element	629946	629960	2	+	.	BD-10-tumor	0.07692307692307693	False
X	findcluster	opus	2898246	2898262	2	+	.	BD-10-tumor	0.06382978723404255	False
X	findcluster	jockey	19247074	19247085	2	+	.	BD-10-tumor	0.04	False
2L	findcluster	297	11174969	11174974	2	+	.	BD-09-tumor	0.12121212121212122	True
2L	findcluster	INE-1	22241999	22242044	1	+	.	BD-09-tumor	0.0449438202247191	True
2L	findcluster	Porto1	22567924	22567951	2	+	.	BD-09-tumor	0.07017543859649122	True
2R	findcluster	copia	6168158	6168163	2	+	.	BD-09-tumor	0.08	True
2R	findcluster	297	17274399	17274403	2	+	.	BD-09-tumor	0.10526315789473684	True
3L	findcluster	297	12093322	12093327	2	+	.	BD-09-tumor	0.11428571428571428	True
X	findcluster	mdg1	4441300	4441325	3	+	.	BD-09-tumor	0.09803921568627451	False
X	findcluster	opus	5211440	5211460	4	+	.	BD-09-tumor	0.10909090909090909	False
X	findcluster	jockey	5435174	5435187	2	+	.	BD-09-tumor	0.08	False
2L	findcluster	297	2734465	2734470	4	+	.	KD-8-tumor	0.14285714285714285	True
2R	findcluster	HMS-Beagle2	6268726	6268751	1	+	.	KD-8-tumor	0.08888888888888889	True
2R	findcluster	Tabor	19031033	19031058	1	+	.	KD-8-tumor	0.056338028169014086	True
2R	findcluster	297	19420179	19420184	4	+	.	KD-8-tumor	0.09523809523809523	True
2R	findcluster	HMS-Beagle	20459725	20459750	4	+	.	KD-8-tumor	0.15384615384615385	True
3L	findcluster	copia	5704139	5704144	3	+	.	KD-8-tumor	0.10526315789473684	True
3R	findcluster	S-element	3749666	3749677	2	+	.	KD-8-tumor	0.12903225806451613	True
3R	findcluster	copia	9919653	9919658	10	+	.	KD-8-tumor	0.17094017094017094	True
3R	findcluster	roo	20060921	20060925	4	+	.	KD-8-tumor	0.10666666666666667	True
3R	findcluster	297	21601987	21601991	4	+	.	KD-8-tumor	0.11428571428571428	True
X	findcluster	copia	1184124	1184130	2	+	.	KD-8-tumor	0.047619047619047616	False
Y	findcluster	Tc3	501595	501612	1	+	.	KD-8-tumor	0.125	False
2L	findcluster	Stalker2	13127100	13127123	3	+	.	KD-6-tumor	0.057692307692307696	True
2L	findcluster	F-element	14892264	14892302	2	+	.	KD-6-tumor	0.06153846153846154	True
2L	findcluster	jockey	18084425	18084436	2	+	.	KD-6-tumor	0.03508771929824561	True
2L	findcluster	Max-element	22695346	22695380	2	+	.	KD-6-tumor	0.056338028169014086	True
2R	findcluster	1360	7490079	7490081	2	+	.	KD-6-tumor	0.08333333333333333	True
2R	findcluster	roo	9002707	9002711	3	+	.	KD-6-tumor	0.06315789473684211	True
2R	findcluster	pogo	12247012	12247014	1	+	.	KD-6-tumor	0.07547169811320754	True
2R	findcluster	copia	19786950	19786954	4	+	.	KD-6-tumor	0.0759493670886076	True
2R	findcluster	copia	20136548	20136554	3	+	.	KD-6-tumor	0.06896551724137931	True
2R	findcluster	Tabor	20646267	20646294	3	+	.	KD-6-tumor	0.09411764705882353	True
3L	findcluster	Doc	4120897	4120909	3	+	.	KD-6-tumor	0.1111111111111111	True
3L	findcluster	roo	14178860	14178864	2	+	.	KD-6-tumor	0.05714285714285714	True
3R	findcluster	invader4	3793288	3793294	3	+	.	KD-6-tumor	0.0851063829787234	True
3R	findcluster	R1A1-element	5783007	5783038	3	+	.	KD-6-tumor	0.05309734513274336	True
3R	findcluster	F-element	27282477	27282480	3	+	.	KD-6-tumor	0.08333333333333333	True
X	findcluster	roo	18448482	18448487	2	+	.	KD-6-tumor	0.06896551724137931	False
