chrom	source	feature	start	end	score	strand	frame	sample_id	vaf	autosome	notch_vaf	color	order
2L	findcluster	jockey	18084425	18084436	2	+	.	KD-6-tumor	0.03508771929824561	True	0.353823584680256	other	0
3R	findcluster	R1A1-element	5783007	5783038	3	+	.	KD-6-tumor	0.05309734513274336	True	0.353823584680256	other	1
2L	findcluster	Max-element	22695346	22695380	2	+	.	KD-6-tumor	0.056338028169014086	True	0.353823584680256	other	2
3L	findcluster	roo	14178860	14178864	2	+	.	KD-6-tumor	0.05714285714285714	True	0.353823584680256	other	3
2L	findcluster	Stalker2	13127100	13127123	3	+	.	KD-6-tumor	0.057692307692307696	True	0.353823584680256	other	4
2L	findcluster	F-element	14892264	14892302	2	+	.	KD-6-tumor	0.06153846153846154	True	0.353823584680256	other	5
2R	findcluster	roo	9002707	9002711	3	+	.	KD-6-tumor	0.06315789473684211	True	0.353823584680256	other	6
2R	findcluster	copia	20136548	20136554	3	+	.	KD-6-tumor	0.06896551724137931	True	0.353823584680256	other	7
X	findcluster	roo	18448482	18448487	2	+	.	KD-6-tumor	0.06896551724137931	False	0.353823584680256	other	8
2R	findcluster	pogo	12247012	12247014	1	+	.	KD-6-tumor	0.07547169811320754	True	0.353823584680256	other	9
2R	findcluster	copia	19786950	19786954	4	+	.	KD-6-tumor	0.0759493670886076	True	0.353823584680256	other	10
2R	findcluster	1360	7490079	7490081	2	+	.	KD-6-tumor	0.08333333333333333	True	0.353823584680256	other	11
3R	findcluster	F-element	27282477	27282480	3	+	.	KD-6-tumor	0.08333333333333333	True	0.353823584680256	other	12
3R	findcluster	invader4	3793288	3793294	3	+	.	KD-6-tumor	0.0851063829787234	True	0.353823584680256	other	13
2R	findcluster	Tabor	20646267	20646294	3	+	.	KD-6-tumor	0.09411764705882353	True	0.353823584680256	other	14
3L	findcluster	Doc	4120897	4120909	3	+	.	KD-6-tumor	0.1111111111111111	True	0.353823584680256	other	15
3L	findcluster	roo	25461906	25461931	4	+	.	KD-6-tumor	0.11494252873563218	True	0.353823584680256	other	16
2R	findcluster	roo	6026458	6026466	2	+	.	KD-6-tumor	0.12121212121212122	True	0.353823584680256	other	17
3L	findcluster	F-element	22036834	22036859	2	+	.	KD-6-tumor	0.12244897959183673	True	0.353823584680256	other	18
2R	findcluster	1360	501695	501743	3	+	.	KD-6-tumor	0.14035087719298245	True	0.353823584680256	other	19
X	findcluster	roo	12778933	12778937	4	+	.	KD-6-tumor	0.14814814814814814	False	0.353823584680256	other	20
X	findcluster	Rt1b	19297794	19297826	2	+	.	KD-6-tumor	0.15384615384615385	False	0.353823584680256	other	21
2R	findcluster	Stalker4	1413942	1413954	3	+	.	KD-6-tumor	0.16666666666666666	True	0.353823584680256	other	22
3L	findcluster	mdg1	5220307	5220342	5	+	.	KD-6-tumor	0.17073170731707318	True	0.353823584680256	other	23
2L	findcluster	blood	15100994	15100997	6	+	.	KD-6-tumor	0.17647058823529413	True	0.353823584680256	other	24
3L	findcluster	Stalker4	5062296	5062333	5	+	.	KD-6-tumor	0.2	True	0.353823584680256	other	25
2R	findcluster	Tc1-2	5260933	5260964	3	+	.	KD-6-tumor	0.22857142857142856	True	0.353823584680256	other	26
X	findcluster	opus	17445671	17445695	5	+	.	KD-6-tumor	0.30303030303030304	False	0.353823584680256	other	27
3R	findcluster	BS	22931038	22931051	12	+	.	KD-6-tumor	0.3373493975903614	True	0.353823584680256	other	28
2R	findcluster	mdg1	20459725	20459750	8	+	.	KD-6-tumor	0.345679012345679	True	0.353823584680256	other	29
X	findcluster	copia	1184124	1184130	2	+	.	KD-8-tumor	0.047619047619047616	False	0.4335580573516804	other	52
2R	findcluster	Tabor	19031033	19031058	1	+	.	KD-8-tumor	0.056338028169014086	True	0.4335580573516804	other	53
2R	findcluster	HMS-Beagle2	6268726	6268751	1	+	.	KD-8-tumor	0.08888888888888889	True	0.4335580573516804	other	54
